search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
Android 개발자,(주)차세대아이씨티융합센터,Android 개발자 모집(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507773&location=ts&searchword=Android+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=80e245f2-5c49-479d-82bd-61d85e208fdb,2024-12-06 20:43:11,경북 경주시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Android 개발자,(주)유에이치씨,[(주)UHC] DT팀 Android 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49387034&location=ts&searchword=Android+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=80e245f2-5c49-479d-82bd-61d85e208fdb,2024-12-06 20:43:15,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Android 개발자,(주)시큐리온,[경력]  Android 개발자 채용(내일채움공제가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49246740&location=ts&searchword=Android+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=80e245f2-5c49-479d-82bd-61d85e208fdb,2024-12-06 20:43:20,서울 송파구,경력 3~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Android 개발자,(주)헬릭스테크,[신입/경력] iOS/Android 앱 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49219952&location=ts&searchword=Android+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=80e245f2-5c49-479d-82bd-61d85e208fdb,2024-12-06 20:43:23,서울 서초구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Android 개발자,(주)멸치,[Android/IOS] 앱개발자를 모십니다.(최고대우),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516930&location=ts&searchword=Android+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=80e245f2-5c49-479d-82bd-61d85e208fdb,2024-12-06 20:43:28,서울 송파구,경력5년↑,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Android 개발자,(주)멸치,[Android/IOS] 앱개발자를 모십니다.(최고 대우),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516740&location=ts&searchword=Android+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=80e245f2-5c49-479d-82bd-61d85e208fdb,2024-12-06 20:43:31,서울 송파구,경력5년↑,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Android 개발자,(주)애드포러스,Android/iOS SDK 선임 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484183&location=ts&searchword=Android+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=80e245f2-5c49-479d-82bd-61d85e208fdb,2024-12-06 20:43:35,서울 강남구,경력5년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Android 개발자,(주)엔터미디어,Android 앱 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49433472&location=ts&searchword=Android+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=80e245f2-5c49-479d-82bd-61d85e208fdb,2024-12-06 20:43:38,서울 강서구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Android 개발자,(주)파더스랩,안드로이드(Android) 개발자 채용 (경력 3년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49447817&location=ts&searchword=Android+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=80e245f2-5c49-479d-82bd-61d85e208fdb,2024-12-06 20:43:41,서울 강남구,경력2년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Android 개발자,㈜프랭클린테크놀로지,Android/iOS app개발자 모집공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49402282&location=ts&searchword=Android+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=80e245f2-5c49-479d-82bd-61d85e208fdb,2024-12-06 20:43:45,서울 금천구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
