search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
CS매니저,(주)사람인에이치에스,[정규직전환가능/월240만/중식제공/성장률上] IT기업 CS매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512962&location=ts&searchword=CS%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=6a4eb8db-e618-4619-9b05-bc10948ec60f,2024-12-07 03:19:55,서울 용산구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
CS매니저,(주)세알남,유튜브 세알남 온라인 쇼핑몰 CS매니저 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49533204&location=ts&searchword=CS%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=6a4eb8db-e618-4619-9b05-bc10948ec60f,2024-12-07 03:19:59,대전 서구,경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
CS매니저,패스트레인(여신티켓),서비스운영/CS매니저 - 경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465036&location=ts&searchword=CS%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=6a4eb8db-e618-4619-9b05-bc10948ec60f,2024-12-07 03:20:04,서울 강남구,경력5년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
CS매니저,(주)세이프닥,[경력] 헬스케어 스타트업 CS매니저 (1년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49386794&location=ts&searchword=CS%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=6a4eb8db-e618-4619-9b05-bc10948ec60f,2024-12-07 03:20:08,서울 강남구,경력 1~8년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
CS매니저,민뷰티본점,[민뷰티샵] 편한 근무환경에서 함께하실 'CS웹매니저님' 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49430567&location=ts&searchword=CS%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=6a4eb8db-e618-4619-9b05-bc10948ec60f,2024-12-07 03:20:12,대구 중구,경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
CS매니저,(주)싸파에프앤씨,쇼핑몰고객상담 CS매니저 채용합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49456213&location=ts&searchword=CS%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=6a4eb8db-e618-4619-9b05-bc10948ec60f,2024-12-07 03:20:16,경기 부천시,경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
CS매니저,케어오브,[린바디랩] 서비스 운영 및 CS매니저 채용 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484233&location=ts&searchword=CS%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=6a4eb8db-e618-4619-9b05-bc10948ec60f,2024-12-07 03:20:19,서울 성동구,경력1년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
CS매니저,(주)케이원파트너스컴퍼니,H. 해외근무. 해외여행CS매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496715&location=ts&searchword=CS%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=6a4eb8db-e618-4619-9b05-bc10948ec60f,2024-12-07 03:20:21,아시아·중동 말레이시아,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
CS매니저,(주)피코이노베이션,"Java, Spring 개발/물류영업/CS 매니저/영업 제휴/물류관리자",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49401344&location=ts&searchword=CS%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=6a4eb8db-e618-4619-9b05-bc10948ec60f,2024-12-07 03:20:26,서울 서초구,신입·경력,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
CS매니저,(주)라이프위드코퍼레이션,[피캄] CS 매니저 신입/경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490528&location=ts&searchword=CS%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=6a4eb8db-e618-4619-9b05-bc10948ec60f,2024-12-07 03:20:30,서울 구로구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
