search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
ERP컨설턴트,(주)웅진,ERP컨설턴트(SAP Business One / MS D365) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539880&location=ts&searchword=ERP%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=c0e1be1e-ee2c-4dcc-b05e-1c9ddbb8ad80,2024-12-07 23:56:25,서울 중구,경력 3~25년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ERP컨설턴트,(주)웅진,ERP컨설턴트(SAP Business One / MS D365) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49361626&location=ts&searchword=ERP%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=c0e1be1e-ee2c-4dcc-b05e-1c9ddbb8ad80,2024-12-07 23:56:29,서울 중구,경력 3~25년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ERP컨설턴트,비에스지파트너스,[BSG] SAP ERP 구축 및 운영 컨설턴트 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49245767&location=ts&searchword=ERP%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=c0e1be1e-ee2c-4dcc-b05e-1c9ddbb8ad80,2024-12-07 23:56:32,서울 강남구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ERP컨설턴트,에이케이아이에스(주),[애경그룹] AK아이에스 더존ERP 컨설턴트 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49438332&location=ts&searchword=ERP%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=c0e1be1e-ee2c-4dcc-b05e-1c9ddbb8ad80,2024-12-07 23:56:36,서울 마포구,경력 4~12년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ERP컨설턴트,(주)케이엔아이씨,ERP · IT 컨설턴트 정규직 채용 (경력직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49428765&location=ts&searchword=ERP%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=c0e1be1e-ee2c-4dcc-b05e-1c9ddbb8ad80,2024-12-07 23:56:39,경남 창원시,경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ERP컨설턴트,주식회사 지니어스,[대기업자회사/디지털컨설팅업계] 구매/SCM ERP 구축 컨설턴트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492972&location=ts&searchword=ERP%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=c0e1be1e-ee2c-4dcc-b05e-1c9ddbb8ad80,2024-12-07 23:56:42,서울 종로구,경력 3~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ERP컨설턴트,이든비즈텍(주),ERP 교육/컨설턴트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49345864&location=ts&searchword=ERP%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=c0e1be1e-ee2c-4dcc-b05e-1c9ddbb8ad80,2024-12-07 23:56:47,서울 영등포구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ERP컨설턴트,(주)에이치에스오코리아,ERP 회계 컨설턴트 유경험자 모집 [HSO 한국지사],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539587&location=ts&searchword=ERP%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=c0e1be1e-ee2c-4dcc-b05e-1c9ddbb8ad80,2024-12-07 23:56:51,서울 마포구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ERP컨설턴트,비에스엔씨(주),ERP/SAP B1 컨설턴트 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506381&location=ts&searchword=ERP%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=c0e1be1e-ee2c-4dcc-b05e-1c9ddbb8ad80,2024-12-07 23:56:54,서울 강서구,경력4년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ERP컨설턴트,(주)에이비,[ERP 컨설턴트] 경력직 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49386251&location=ts&searchword=ERP%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=c0e1be1e-ee2c-4dcc-b05e-1c9ddbb8ad80,2024-12-07 23:56:58,서울 강서구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
