search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
Frontend 개발자,(주)픽셀소프트웨어,[픽셀소프트웨어] Frontend 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49462342&location=ts&searchword=Frontend+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fc3febbf-0cbb-4d4f-97da-957166073d7f,2024-12-06 19:54:46,서울 강남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Frontend 개발자,(주)긱스튜디오,[GeekStudio] Season 5 Frontend 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49380417&location=ts&searchword=Frontend+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fc3febbf-0cbb-4d4f-97da-957166073d7f,2024-12-06 19:54:50,서울 강서구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Frontend 개발자,(주)인텔리즈,제조산업을 위한  WEB Frontend 개발자(AI 웹 플랫폼 개발),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512819&location=ts&searchword=Frontend+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fc3febbf-0cbb-4d4f-97da-957166073d7f,2024-12-06 19:54:53,서울 성동구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Frontend 개발자,(주)잉카인터넷,[DevGroup] Frontend 개발자 모집 - 주 4.5일제,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451513&location=ts&searchword=Frontend+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fc3febbf-0cbb-4d4f-97da-957166073d7f,2024-12-06 19:54:58,서울 강서구,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Frontend 개발자,(주)티라로보틱스,웹 FrontEnd 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49192848&location=ts&searchword=Frontend+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fc3febbf-0cbb-4d4f-97da-957166073d7f,2024-12-06 19:55:03,경기 성남시 중원구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Frontend 개발자,주식회사월드와이드비즈니스웹,Frontend 개발자 경력자 모집 (경력 3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49217546&location=ts&searchword=Frontend+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fc3febbf-0cbb-4d4f-97da-957166073d7f,2024-12-06 19:55:06,경기 성남시 분당구,경력 3~10년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Frontend 개발자,(주)브이씨에이테크놀로지,Frontend 개발자(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49234533&location=ts&searchword=Frontend+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fc3febbf-0cbb-4d4f-97da-957166073d7f,2024-12-06 19:55:11,서울 금천구,경력 2~3년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Frontend 개발자,(주)심비즈코리아,Web FrontEnd 개발자 (React),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49459127&location=ts&searchword=Frontend+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fc3febbf-0cbb-4d4f-97da-957166073d7f,2024-12-06 19:55:15,경기 화성시,경력 3~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Frontend 개발자,(주)셀버스,[셀버스] FrontEnd/BackEnd 개발 및 유지보수 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49370294&location=ts&searchword=Frontend+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fc3febbf-0cbb-4d4f-97da-957166073d7f,2024-12-06 19:55:19,서울 중구,경력3년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Frontend 개발자,(주)워드바이스,[Wordvice] Frontend 리드 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49342857&location=ts&searchword=Frontend+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=fc3febbf-0cbb-4d4f-97da-957166073d7f,2024-12-06 19:55:24,서울 강남구,경력5년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
