search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
Full Stack 개발자,(주)엔키화이트햇,[엔키화이트햇] 플랫폼 개발팀: 프로덕트 Full Stack 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49267140&location=ts&searchword=Full+Stack+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ba10f582-4c6f-4544-80b7-94e43ea1de53,2024-12-06 20:51:27,서울 송파구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Full Stack 개발자,(주)몽키소프트,[경력]Full-Stack개발자 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49477941&location=ts&searchword=Full+Stack+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ba10f582-4c6f-4544-80b7-94e43ea1de53,2024-12-06 20:51:30,서울 금천구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Full Stack 개발자,HeNny & McCoy,Full-Stack 개발자(7년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484311&location=ts&searchword=Full+Stack+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ba10f582-4c6f-4544-80b7-94e43ea1de53,2024-12-06 20:51:33,서울 강남구,경력7년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Full Stack 개발자,(주)데이터트리,[경력AI 개발] Full stack 개발자/React/Python,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458928&location=ts&searchword=Full+Stack+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ba10f582-4c6f-4544-80b7-94e43ea1de53,2024-12-06 20:51:37,서울 금천구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Full Stack 개발자,(주)넥스트코어테크놀로지,열정 가득한 풀스택[Full-Stack] 개발자  모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49369822&location=ts&searchword=Full+Stack+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ba10f582-4c6f-4544-80b7-94e43ea1de53,2024-12-06 20:51:40,서울 송파구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Full Stack 개발자,(주)엔에스데블,Full Stack Web 개발자 모집(정규직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476129&location=ts&searchword=Full+Stack+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ba10f582-4c6f-4544-80b7-94e43ea1de53,2024-12-06 20:51:43,부산 사하구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Full Stack 개발자,NIMBYX CAPITAL INC.,"Full Stack Engineer (Python, C# Developer) 풀스택 개발자",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49448256&location=ts&searchword=Full+Stack+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ba10f582-4c6f-4544-80b7-94e43ea1de53,2024-12-06 20:51:47,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Full Stack 개발자,(주)에스에이티정보,[Full-Stack] 연구개발부 뷰어개발팀 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49452643&location=ts&searchword=Full+Stack+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ba10f582-4c6f-4544-80b7-94e43ea1de53,2024-12-06 20:51:51,서울 구로구,경력7년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Full Stack 개발자,(주)워드바이스,[Wordvice] Full Stack Senior 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49342548&location=ts&searchword=Full+Stack+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ba10f582-4c6f-4544-80b7-94e43ea1de53,2024-12-06 20:51:54,서울 강남구,경력8년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Full Stack 개발자,(주)시안솔루션,Full stack 웹 개발자 채용 (경력2년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49355121&location=ts&searchword=Full+Stack+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ba10f582-4c6f-4544-80b7-94e43ea1de53,2024-12-06 20:51:58,인천 연수구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Full Stack 개발자,(주)대흥정보,[대흥정보] 웹개발자(Full stack) 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49364996&location=ts&searchword=Full+Stack+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ba10f582-4c6f-4544-80b7-94e43ea1de53,2024-12-06 20:52:02,서울 영등포구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
