search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
ML 엔지니어,(주)퍼블릭에이아이,[퍼블릭에이아이] ML엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49172840&location=ts&searchword=ML+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f0a23203-91a0-4351-9816-7afd3292e6af,2024-12-06 21:21:22,서울 서초구,경력2년↑,대졸↑,정규직·무기계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ML 엔지니어,(주)라이앤캐처스,추천엔지니어(ML 엔지니어)를 모집합니다(경력 5년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390535&location=ts&searchword=ML+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f0a23203-91a0-4351-9816-7afd3292e6af,2024-12-06 21:21:25,서울 영등포구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ML 엔지니어,소프트아이(SOFTEYE),ML 엔지니어 채용 - TinyML & Edge Scale,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49387500&location=ts&searchword=ML+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f0a23203-91a0-4351-9816-7afd3292e6af,2024-12-06 21:21:29,서울 성동구,경력1년↑,석사↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ML 엔지니어,소프트아이(SOFTEYE),ML 엔지니어 채용 - Cloud Scale,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388876&location=ts&searchword=ML+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f0a23203-91a0-4351-9816-7afd3292e6af,2024-12-06 21:21:32,서울 성동구,경력1년↑,석사↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ML 엔지니어,(주)휴톰,[휴톰/의료기기 소프트웨어] 데이터 / ML 엔지니어(3년~),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49330744&location=ts&searchword=ML+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f0a23203-91a0-4351-9816-7afd3292e6af,2024-12-06 21:21:36,서울 마포구,경력 3~7년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ML 엔지니어,(주)덴컴,[AI 전문기업 덴컴] ML Optimization 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333366&location=ts&searchword=ML+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f0a23203-91a0-4351-9816-7afd3292e6af,2024-12-06 21:21:39,서울 강남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ML 엔지니어,(주)덴컴,ML Optimization 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451002&location=ts&searchword=ML+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f0a23203-91a0-4351-9816-7afd3292e6af,2024-12-06 21:21:42,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ML 엔지니어,(주)라이앤캐처스,[추천엔지니어 ML]추천엔지니어(경력) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49392418&location=ts&searchword=ML+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f0a23203-91a0-4351-9816-7afd3292e6af,2024-12-06 21:21:45,서울전체,경력 5~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ML 엔지니어,주식회사크로사이트,ML/AI 엔지니어 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49442470&location=ts&searchword=ML+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f0a23203-91a0-4351-9816-7afd3292e6af,2024-12-06 21:21:50,경기 수원시 영통구,경력10년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
ML 엔지니어,엠클라우드브리지(주),MS 데이터엔지니어(Fabric/ML) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49358779&location=ts&searchword=ML+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f0a23203-91a0-4351-9816-7afd3292e6af,2024-12-06 21:21:54,서울 강남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
