search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
Node.js 개발자,(주)문토,[시리즈A투자유치/문토] Node.js 개발자 (역삼역 도보 2분),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49279477&location=ts&searchword=Node.js+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=95728cec-2e4b-4da4-82bd-86c0560e5727,2024-12-06 20:11:09,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Node.js 개발자,(주)문토,[시리즈A투자유치/문토] 백엔드 Node.js 개발자 (시니어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49395053&location=ts&searchword=Node.js+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=95728cec-2e4b-4da4-82bd-86c0560e5727,2024-12-06 20:11:13,서울 강남구,경력7년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Node.js 개발자,(주)스타일씨코퍼레이션,node.js 개발자 (3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49373015&location=ts&searchword=Node.js+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=95728cec-2e4b-4da4-82bd-86c0560e5727,2024-12-06 20:11:17,서울 마포구,경력 3~20년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Node.js 개발자,(주)에이핀아이앤씨,NODE.JS 개발자 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49415400&location=ts&searchword=Node.js+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=95728cec-2e4b-4da4-82bd-86c0560e5727,2024-12-06 20:11:21,서울 금천구,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Node.js 개발자,(주)아이비에스티,Node.js 백엔드 개발자(신입/경력) 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535665&location=ts&searchword=Node.js+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=95728cec-2e4b-4da4-82bd-86c0560e5727,2024-12-06 20:11:25,경남 창원시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Node.js 개발자,(주)페칭,[페칭] 패션 플랫폼 Node.js 백엔드 개발자 (신입·경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49320667&location=ts&searchword=Node.js+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=95728cec-2e4b-4da4-82bd-86c0560e5727,2024-12-06 20:11:29,서울 서초구,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Node.js 개발자,(주)게임스프링,Node.js 백엔드 개발자 모집 - 병역특례 가능,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49259903&location=ts&searchword=Node.js+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=95728cec-2e4b-4da4-82bd-86c0560e5727,2024-12-06 20:11:33,서울 강남구,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Node.js 개발자,(주)파인티처,Bactend(Node.js) 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49515185&location=ts&searchword=Node.js+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=95728cec-2e4b-4da4-82bd-86c0560e5727,2024-12-06 20:11:36,인천 남동구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Node.js 개발자,(주)리피치,"교육웹 LMS 백엔드(vue.js, node.js) 개발자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49279015&location=ts&searchword=Node.js+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=95728cec-2e4b-4da4-82bd-86c0560e5727,2024-12-06 20:11:40,서울 서초구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
Node.js 개발자,주식회사하이퍼브레인랩,node.js / java / nest.js 백엔드 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521611&location=ts&searchword=Node.js+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=95728cec-2e4b-4da4-82bd-86c0560e5727,2024-12-06 20:11:43,서울 서초구,경력2년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
