search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
PM,(주)윤성에프앤씨,각 분야 신입/경력 채용 (PLC/설계/PM 등),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508083&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:55:40,경기전체,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,현대엘리베이터설치(주),"인사, 회계 및 승강기 설치 PM 경력 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525865&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:55:44,경기 구리시,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,(주)위즈코리아,"㈜위즈코리아/㈜위즈COK SE(시스템 엔지니어), PM 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536432&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:55:46,서울 강서구,신입·경력,학력무관,정규직·병역특례,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,에이테크솔루션(주),"[중견, 금형업계1위] ]금형영업/PM 인재모집(화성)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49533929&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:55:50,경기 화성시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,범한메카텍(주),[범한메카텍(구.두산메카텍)] PM 엔지니어 정규직 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528196&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:55:53,경남 창원시,경력7년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,(주)뉴붐,E-commerce 반려동물PM 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521145&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:55:56,인천 남동구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,삼진식품(주),[삼진어묵] 식품 마케팅 PM 신입사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523744&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:00,부산 동구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,쿠팡(주),[쿠팡] 데이터 분석 PM (Taxonomy),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394068&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:05,서울 송파구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,에스디바이오센서(주),에스디바이오센서(주) 브랜드마케팅PM 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529917&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:09,경기 용인시 기흥구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,현대오토에버(주),프로젝트 pm/pmo/pl 경력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49292601&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:14,서울 강남구,경력5년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,인지컨트롤스(주),[경력] 자동차 부품개발 PM 팀원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517312&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:17,경기 시흥시,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,정우산기(주),[정우산기] 사업관리(PM) 신입사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530681&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:21,충남 천안시 동남구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,(주)에스티엔인포텍,[신입/경력] 정보통신(PM/PL) 사업관리자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451030&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:24,경기 과천시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,(주)엠씨넥스,(주)엠씨넥스 전장사업부문 PM팀 직원 채용의 건,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521776&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:28,인천 연수구,경력 4~16년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,㈜삼미정공,(주)삼미정공 생산관리&PM(프로젝트매니저) 인원모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49369226&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:31,울산 북구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,(주)한성에프아이,(주)한성에프아이 프로젝트 매니저(PM) 신입사원 및 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504050&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:35,서울 동대문구,경력무관,학력무관,계약직·아르바이트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,(주)한성에프아이,(주)한성에프아이 프로젝트 매니저(PM) 신입사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504034&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:39,서울 동대문구,신입,학력무관,계약직·아르바이트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,(주)엑스페릭스,국내외 인프라 구축 사업 담당 PM 및 SE 모집 [4.5일제],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526062&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:43,서울 송파구,경력 3~10년,대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,(주)팬딩,버추얼 아이돌 팬덤 비즈니스 기획 PM,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49454860&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:48,서울 강남구,경력 2~7년,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,트리노드 주식회사,[부산/신입 또는 경력 1년 이상] ID팀 - TM(PM),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49386068&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:52,부산 해운대구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,(주)사람인에이치에스,[정규직/복지우수/기숙사] 자동화 설비 프로젝트매니저(PM) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394582&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:56:55,경기 안산시 단원구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,(주)하이브,[HYBE Media Studio] 미디어프로덕트PM(Product Manager),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49346484&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:57:00,서울 용산구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,에스케이티(주),자동차 부품 개발 및 개발PM 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525239&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:57:03,경기 화성시,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM,(주)이에이엔테크놀로지,[기후테크기업] 자산의 탄소중립 데이터 서비스 PM/PO/기획자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525651&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=f4587f61-0396-477b-9ddc-a039793a448f,2024-12-07 02:57:08,서울 강남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
