search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
PM컨설턴트,(주)라이언앤코,[신입/경력/PM급] 경영컨설턴트 모집 [주4일근무],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49280066&location=ts&searchword=PM%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7a7844ab-f799-4813-82c6-033fd95a95b6,2024-12-07 23:48:24,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM컨설턴트,(주)클로비스,2024년 클로비스 Salesforce 프로젝트 PM/컨설턴트 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49261888&location=ts&searchword=PM%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7a7844ab-f799-4813-82c6-033fd95a95b6,2024-12-07 23:48:28,서울 강남구,경력 5~10년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM컨설턴트,(주)엘프스,기후변화/온실가스 ESG 분야 컨설턴트 경력직(PM급) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49454726&location=ts&searchword=PM%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7a7844ab-f799-4813-82c6-033fd95a95b6,2024-12-07 23:48:31,서울 강남구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM컨설턴트,(주)엘프스,기후변화/온실가스 ESG 분야 컨설턴트 경력직(PM급) 채용 (10년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489994&location=ts&searchword=PM%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7a7844ab-f799-4813-82c6-033fd95a95b6,2024-12-07 23:48:33,서울 강남구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM컨설턴트,(주)투비파트너즈,[코스닥/TOP보안솔루션] 정보보호 컨설턴트 PM/PL(7~10년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49473016&location=ts&searchword=PM%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7a7844ab-f799-4813-82c6-033fd95a95b6,2024-12-07 23:48:36,서울 서초구,경력 7~12년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM컨설턴트,(주)지에스씨넷,(충북대학교)취업 컨설턴트(PM) 채용(경력자),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541657&location=ts&searchword=PM%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7a7844ab-f799-4813-82c6-033fd95a95b6,2024-12-07 23:48:40,충북 청주시 서원구,경력3년↑,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM컨설턴트,헌터스그룹(주),[여의도][IT 기업] 정보보호 컨설턴트 PM 또는 PL(7년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500168&location=ts&searchword=PM%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7a7844ab-f799-4813-82c6-033fd95a95b6,2024-12-07 23:48:42,서울 영등포구,경력7년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM컨설턴트,(주)베스트에치알 (Best HR),ㅣICTㅣ정보보호 컨설턴트 PM 또는 PL (과장/차장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49546891&location=ts&searchword=PM%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7a7844ab-f799-4813-82c6-033fd95a95b6,2024-12-07 23:48:47,서울전체,경력7년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM컨설턴트,그레이스앤파트너스(주),IT 보안인증 코스닥기업 정보보호컨설턴트 PM 또는 PL,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501398&location=ts&searchword=PM%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7a7844ab-f799-4813-82c6-033fd95a95b6,2024-12-07 23:48:51,서울 영등포구,경력7년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
PM컨설턴트,한국이콜랩(유),[외국계 화학] 각 부문 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49453909&location=ts&searchword=PM%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7a7844ab-f799-4813-82c6-033fd95a95b6,2024-12-07 23:48:55,서울 송파구,신입·경력,고졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
