search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
R&D,(주)큐노바,[R&D/제품개발/자금회계] 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526611&location=ts&searchword=R%26D&searchType=search&paid_fl=n&search_uuid=1df918a0-d7bf-4b66-bc78-c748a97dcfa4,2024-12-07 12:08:57,대전 유성구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
R&D,퍼시스그룹,R&D 직군 수시 채용 2024,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49170103&location=ts&searchword=R%26D&searchType=search&paid_fl=n&search_uuid=1df918a0-d7bf-4b66-bc78-c748a97dcfa4,2024-12-07 12:09:01,서울전체,신입,대졸↑,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
R&D,(유)스태츠칩팩코리아,[스태츠칩팩코리아] R&D부문 신입/경력 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484860&location=ts&searchword=R%26D&searchType=search&paid_fl=n&search_uuid=1df918a0-d7bf-4b66-bc78-c748a97dcfa4,2024-12-07 12:09:05,인천 중구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
R&D,(주)세경하이테크,R&D 연구개발 인재 모집 (BIZ 영어회화 가능자),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49387447&location=ts&searchword=R%26D&searchType=search&paid_fl=n&search_uuid=1df918a0-d7bf-4b66-bc78-c748a97dcfa4,2024-12-07 12:09:09,경기 수원시 권선구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
R&D,(주)캐프,(주)캐프 R&D 특허관리 담당 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49262310&location=ts&searchword=R%26D&searchType=search&paid_fl=n&search_uuid=1df918a0-d7bf-4b66-bc78-c748a97dcfa4,2024-12-07 12:09:13,경북 상주시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
R&D,(주)신광화학산업,"[연구원] [신입, 경력] 연구소·R&D 정규직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49438701&location=ts&searchword=R%26D&searchType=search&paid_fl=n&search_uuid=1df918a0-d7bf-4b66-bc78-c748a97dcfa4,2024-12-07 12:09:17,경기 평택시,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
R&D,(주)알토켐,[연구원] [R&D] 연구개발 (경력 및 신입) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49178855&location=ts&searchword=R%26D&searchType=search&paid_fl=n&search_uuid=1df918a0-d7bf-4b66-bc78-c748a97dcfa4,2024-12-07 12:09:22,경기 용인시 처인구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
R&D,(주)나노필리아,(주)나노필리아 R&D 연구원 모집(신입 및 경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49513135&location=ts&searchword=R%26D&searchType=search&paid_fl=n&search_uuid=1df918a0-d7bf-4b66-bc78-c748a97dcfa4,2024-12-07 12:09:25,경기 과천시,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
R&D,(주)엠앤씨솔루션,"[MNC솔루션] 신입/경력사원 채용 (R&D, 생산기술, 품질, IPS)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471761&location=ts&searchword=R%26D&searchType=search&paid_fl=n&search_uuid=1df918a0-d7bf-4b66-bc78-c748a97dcfa4,2024-12-07 12:09:30,경남 창원시,경력,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
R&D,(주)아이투프럼,[아이투프럼] R&D 연구소 연구원 모집 (신입/경력무관),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490000&location=ts&searchword=R%26D&searchType=search&paid_fl=n&search_uuid=1df918a0-d7bf-4b66-bc78-c748a97dcfa4,2024-12-07 12:09:34,서울 강남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
