search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
React 개발자,(주)엠씨비글로벌컨설팅,React 앱개발자 모집 (풀스택 가능자 우대),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540867&location=ts&searchword=React+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=098093ab-e1c2-4925-9e8c-06a4a12eac54,2024-12-06 20:19:12,서울 서초구,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
React 개발자,(주)아스트론시큐리티,프론트엔드 react 개발자 경력직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490121&location=ts&searchword=React+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=098093ab-e1c2-4925-9e8c-06a4a12eac54,2024-12-06 20:19:16,서울 강남구,경력5년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
React 개발자,(주)메인,프런트엔드 React 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500867&location=ts&searchword=React+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=098093ab-e1c2-4925-9e8c-06a4a12eac54,2024-12-06 20:19:19,서울 서초구,경력5년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
React 개발자,(주)미래아이씨티,"[강서구 증미역] JAVA 리액트, React 개발자(프리랜서, 정규직)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49272845&location=ts&searchword=React+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=098093ab-e1c2-4925-9e8c-06a4a12eac54,2024-12-06 20:19:24,서울 강서구,경력 6~15년,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
React 개발자,(주)리드넘버,[리드넘버] React Native 프론트 개발자 채용 (경력무관),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498931&location=ts&searchword=React+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=098093ab-e1c2-4925-9e8c-06a4a12eac54,2024-12-06 20:19:28,서울 구로구,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
React 개발자,비코어(주),"프론트엔드(React, NextJS) 개발자를 모십니다.",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499782&location=ts&searchword=React+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=098093ab-e1c2-4925-9e8c-06a4a12eac54,2024-12-06 20:19:33,서울 성동구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
React 개발자,행복쇼핑(주),[재택근무] REACT · PHP · PYTHON 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476675&location=ts&searchword=React+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=098093ab-e1c2-4925-9e8c-06a4a12eac54,2024-12-06 20:19:37,서울 양천구,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
React 개발자,(주)앱플러,"[AOS/iOS, flutter, React-native] 앱 개발자 정규직 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49359739&location=ts&searchword=React+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=098093ab-e1c2-4925-9e8c-06a4a12eac54,2024-12-06 20:19:41,서울 강서구,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
React 개발자,(주)데이터랩스,[데이터랩스] React 프론트엔드 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526769&location=ts&searchword=React+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=098093ab-e1c2-4925-9e8c-06a4a12eac54,2024-12-06 20:19:45,경기 성남시 분당구,경력1년↑,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
React 개발자,(주)아이케미스트,[아이케미스트] React-Native  프론트엔드 개발자 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539808&location=ts&searchword=React+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=098093ab-e1c2-4925-9e8c-06a4a12eac54,2024-12-06 20:19:48,서울 금천구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
