search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
SNS마케터,씨비씨지(주),프로모션 SNS마케터 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516401&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:20:52,서울 강남구,경력 3~20년,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,씨비씨지(주),프로모션 SNS마케터 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516229&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:20:55,서울 강남구,신입,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)에그글로벌,광고 대행사 온라인&SNS마케터 신입&경력자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49256880&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:00,충북 제천시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,미라셀(주),미라셀(주) sns마케터 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49407697&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:02,서울 강남구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)플러스위시드,(정규직) 위시드 SNS마케터 신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504310&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:06,서울 구로구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)프로덕트온라인,"[프로덕트온라인] 이커머스, SNS 마케터 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49386547&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:10,경기 수원시 영통구,경력2년↑,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)주군컴퍼니,[하반기 채용] (주)주군컴퍼니 SNS 마케터 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490708&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:14,서울 구로구,경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,브릿지트래이딩컴퍼니(BridgeTradingCompany),"[3,300+] 온라인 마케팅 SNS 마케터 광고 홍보 디지털 마케팅",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49531632&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:18,서울 서초구,경력무관,학력무관,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)위버스마인드,[위버스마인드] 온라인마케터/SNS바이럴마케터 채용 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504300&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:21,서울 구로구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)메이튼,[자동차용품 1위 스타트업 메이튼] 이커머스 SNS 바이럴 마케터,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49366129&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:26,인천 부평구,경력2년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)메이튼,[자동차용품 1위 스타트업] SNS 콘텐츠 마케터(숏폼/틱톡/릴스),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49485405&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:29,인천 부평구,경력4년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)아정네트웍스,아정당 부산 마케팅팀 기획(경력) / SNS 기획(경력무관) 마케터,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49505068&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:32,부산 북구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)도브투래빗,[마케팅그룹] 광고AE & SNS 콘텐츠 마케터 (경력/3년 ),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49459049&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:35,서울 성동구,경력 2~10년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)다비앙,"인스타그램, SNS 기획 브랜드 마케터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487875&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:38,서울 용산구,경력,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,럽디(주),"연애테크회사 SNS 마케터 모집 (연애, 사람심리 관심자 우대)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49324098&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:41,서울 관악구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)카카오스타일,카카오스타일에서 'SNS 마케터(일본)'를 모집합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49236975&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:45,경기 성남시 분당구,경력1년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)올리브인터내셔널,[역삼역/1위커머스] 북미시장 SNS 마케터,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49445740&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:50,서울 강남구,경력 2~13년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)에이치알그룹,[국내유명 글로벌 유통사] 북미타겟 SNS 바이럴마케터,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541650&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:54,서울 서초구,경력 2~11년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)행어,"[SNS마케팅] 컨텐츠 크리에이터, 퍼포먼스 마케터 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49431216&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:21:58,서울 성동구,경력2년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)핏투게더,"[핏투게더] CEO Staff, SNS 콘텐츠 제작 마케터 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516455&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:22:01,서울 용산구,경력 2~5년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)이공이공,[그로스마케팅팀] 북미 타겟 SNS 바이럴 마케터 신입채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49402300&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:22:05,서울 서초구,신입,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)이공이공,[그로스마케팅팀] 북미 타겟 SNS 바이럴 마케터 경력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49402310&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:22:09,서울 서초구,경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
SNS마케터,(주)구하다,[크리에이터마케팅팀] 북미 SNS(틱톡 및 인스타그램) 바이럴 마케터,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486072&location=ts&searchword=SNS%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=d29b852c-bf54-4f1f-95ba-3d60b054a3e5,2024-12-07 01:22:13,서울 강남구,경력2년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
