search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
UI디자이너,(주)케이티피,[핀테크 스타트업] UX/UI디자이너 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49510428&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:18:00,서울 서초구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)하이브랩,[하이브랩] 게임 광고 및 게임 웹 UI디자이너 신입 및 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465914&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:18:04,경기 성남시 분당구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)레이존,[3D콘텐츠디자이너] 3 / [UX&UI디자이너] 1 / [개발자]1,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394555&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:18:08,서울 송파구,경력무관,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)한국해양벤처투자,웹/앱 UI디자이너 및 서비스기획자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49427350&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:18:12,부산 남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,템프인(주),[강남/~4500만/정규직]유명기업(인테리어분야) UX/UI디자이너,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388632&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:18:15,서울 강남구,경력3년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)이노케어플러스,UX/UI디자이너 (5년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49389897&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:18,서울 서초구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,에스와이엔24주식회사,"앱개발자, UI디자이너, 온오프라인 마케팅 영업 경력자 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49238030&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:22,서울 구로구,경력3년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,주식회사딱좋은푸드,딱좋은푸드 부문별 채용 [ 앱개발 / UI디자이너 / AI개발 ],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404973&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:25,서울 관악구,경력1년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)카카오게임즈,[카카오게임즈 자회사] 메타보라-캐주얼게임 UI디자이너(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49332347&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:29,경기 성남시 수정구,경력5년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)핏프레임,교육콘텐츠[이러닝] UI디자이너 경력자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49405076&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:32,서울 송파구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,나라아이넷(주),UX/UI디자이너  웹퍼블리셔 경력자 모집(단기 근무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49446295&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:36,대전 유성구,경력,학력무관,아르바이트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)지비소프트,UX/UI 디자이너 신규채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49293511&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:40,서울 강남구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,아이비커리어(주),[종각역/대기업/중식제공] UI/UX 디자이너 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476822&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:45,서울 종로구,경력무관,학력무관,파견직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)잇올,[잇올 본사] UI/UX 디자이너 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496696&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:48,서울 서초구,경력 4~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)아정네트웍스,[아정당] 강남 UI/UX 디자이너 (7년~리더급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49514376&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:52,서울 강남구,경력7년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)플랜티엠,[플랜티엠] - UI/UX 디자이너 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49514914&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:55,경기 성남시 분당구,경력 3~5년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)오스랩스,UI / UX 디자이너 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49429062&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:35:58,서울 마포구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,(주)스쿨버스,스쿨버스 UI/UX 기획 및 디자이너 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49425601&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:36:01,서울 강서구,경력무관,학력무관,정규직·기간제,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UI디자이너,행복쇼핑(주),[재택근무] UI 기획 · 디자이너 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476680&location=ts&searchword=UI%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=bcec1457-e41e-4b0e-a230-b39ecae5fad7,2024-12-07 04:36:06,서울 양천구,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
