search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
UX디자이너,(주)정상제이엘에스,㈜정상제이엘에스 본사 UX디자이너 및 UX기획자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516667&location=ts&searchword=UX%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=cb9892bc-ba3a-4545-b0f3-13efd345d5e7,2024-12-07 04:43:14,서울 강남구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UX디자이너,에이에스티글로벌,[신입/경력] 디지털트윈/메타버스 관련 UI/UX디자이너 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535212&location=ts&searchword=UX%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=cb9892bc-ba3a-4545-b0f3-13efd345d5e7,2024-12-07 04:43:18,경기 수원시 영통구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UX디자이너,(주)쓰리디오토메이션,UI/UX디자이너 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541807&location=ts&searchword=UX%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=cb9892bc-ba3a-4545-b0f3-13efd345d5e7,2024-12-07 04:43:22,대구 북구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UX디자이너,주식회사 오링,신규플랫폼 UI/UX디자이너분을 모십니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471641&location=ts&searchword=UX%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=cb9892bc-ba3a-4545-b0f3-13efd345d5e7,2024-12-07 04:43:26,서울 강남구,경력 2~5년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UX디자이너,레이팩트,레이팩트에서 함께할 UI/UX디자이너를 찾습니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543609&location=ts&searchword=UX%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=cb9892bc-ba3a-4545-b0f3-13efd345d5e7,2024-12-07 04:43:29,서울 마포구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UX디자이너,코넥시오에이치(주),[UX디자이너] 경력 3년 이상 모집(핀테크/데이터 스타트업),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49482743&location=ts&searchword=UX%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=cb9892bc-ba3a-4545-b0f3-13efd345d5e7,2024-12-07 04:43:33,서울 강남구,경력 3~7년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UX디자이너,레드앤주식회사,"앱개발, 마케팅, UI/UX디자이너 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49231471&location=ts&searchword=UX%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=cb9892bc-ba3a-4545-b0f3-13efd345d5e7,2024-12-07 04:43:36,서울 서대문구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UX디자이너,라온피플(주),UX디자이너 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49422324&location=ts&searchword=UX%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=cb9892bc-ba3a-4545-b0f3-13efd345d5e7,2024-12-07 04:43:38,경기 과천시,경력3년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UX디자이너,(주)씨아이템프러리,[롯데카드/자체계약직] 롯데카드 본사 內 UX디자이너 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49427452&location=ts&searchword=UX%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=cb9892bc-ba3a-4545-b0f3-13efd345d5e7,2024-12-07 04:43:42,서울 종로구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
UX디자이너,(주)바이널씨,UX디자이너(기획자) 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49439729&location=ts&searchword=UX%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=cb9892bc-ba3a-4545-b0f3-13efd345d5e7,2024-12-07 04:43:46,서울 강남구,경력 6~15년,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
