search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
iOS 개발자,(주)페이타랩,[패스오더] iOS 개발자 (신입~10년 이하),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537244&location=ts&searchword=iOS+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=304f3f68-1bfe-4bf7-9c7f-16d2b4b51eff,2024-12-06 20:35:24,서울 강남구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
iOS 개발자,스왈라비(주),IOS 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507081&location=ts&searchword=iOS+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=304f3f68-1bfe-4bf7-9c7f-16d2b4b51eff,2024-12-06 20:35:28,서울 강남구,경력 2~9년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
iOS 개발자,(주)다이아애드,다이아애드에서 PM / 안드로이드 / IOS 개발자 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49357226&location=ts&searchword=iOS+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=304f3f68-1bfe-4bf7-9c7f-16d2b4b51eff,2024-12-06 20:35:31,서울 강남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
iOS 개발자,바이엇(주),[IOS 개발자 모집] 글로벌 서비스 앱 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49351171&location=ts&searchword=iOS+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=304f3f68-1bfe-4bf7-9c7f-16d2b4b51eff,2024-12-06 20:35:35,서울 구로구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
iOS 개발자,(주)포니링크,(주)포니링크 자회사 iOS 개발자 5년 이상 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49459920&location=ts&searchword=iOS+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=304f3f68-1bfe-4bf7-9c7f-16d2b4b51eff,2024-12-06 20:35:39,서울 영등포구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
iOS 개발자,한국전자인증㈜,iOS 개발자 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46552267&location=ts&searchword=iOS+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=304f3f68-1bfe-4bf7-9c7f-16d2b4b51eff,2024-12-06 20:35:42,서울 서초구,경력 1~10년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
iOS 개발자,(주)유에이치씨,[(주)UHC] DT팀 IOS 앱개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49387019&location=ts&searchword=iOS+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=304f3f68-1bfe-4bf7-9c7f-16d2b4b51eff,2024-12-06 20:35:46,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
iOS 개발자,(주)위즈베라,[위즈베라/IOS/개발/경력] 기업부설연구소 IOS 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49347628&location=ts&searchword=iOS+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=304f3f68-1bfe-4bf7-9c7f-16d2b4b51eff,2024-12-06 20:35:50,서울 성동구,경력 3~10년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
iOS 개발자,(주)스푼랩스,[Spoon] iOS 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483760&location=ts&searchword=iOS+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=304f3f68-1bfe-4bf7-9c7f-16d2b4b51eff,2024-12-06 20:35:54,서울 강남구,경력 3~5년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
iOS 개발자,(주)페이타랩,[패스오더] iOS 개발자 (경력 11~20년 이하),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537246&location=ts&searchword=iOS+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=304f3f68-1bfe-4bf7-9c7f-16d2b4b51eff,2024-12-06 20:35:58,서울 강남구,경력 11~20년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
