search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
간호사,현대모비스(주),현대모비스 안전보건담당 간호사 계약직 채용 (경남 창원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542647&location=ts&searchword=%EA%B0%84%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=337bba8b-da8c-44e4-867c-eb24366c9d1d,2024-12-07 19:21:25,경남 창원시,경력무관,초대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
간호사,(주)호텔신라,서울 신라호텔 보건관리자(건강관리실) 간호사 서비스크루 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49510150&location=ts&searchword=%EA%B0%84%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=337bba8b-da8c-44e4-867c-eb24366c9d1d,2024-12-07 19:21:29,서울 중구,경력무관,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
간호사,(학)연세대학교 강남세브란스병원,강남세브란스병원 간호사/방사선사/임상병리사(소아청소년과),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512246&location=ts&searchword=%EA%B0%84%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=337bba8b-da8c-44e4-867c-eb24366c9d1d,2024-12-07 19:21:33,서울 강남구,경력무관,초대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
간호사,경북대학교병원,경북대병원 대구광역시 응급의료지원단 응급의료 전원전담간호사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495315&location=ts&searchword=%EA%B0%84%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=337bba8b-da8c-44e4-867c-eb24366c9d1d,2024-12-07 19:21:37,대구 중구,경력무관,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
간호사,경북대학교병원,경북대학교병원 알레르기내과 연구간호사 및 사무직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524532&location=ts&searchword=%EA%B0%84%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=337bba8b-da8c-44e4-867c-eb24366c9d1d,2024-12-07 19:21:41,대구 중구,경력무관,초대졸↑,아르바이트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
간호사,기아(주),[기아][계약직] AutoLand광명 산업간호사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527797&location=ts&searchword=%EA%B0%84%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=337bba8b-da8c-44e4-867c-eb24366c9d1d,2024-12-07 19:21:45,경기 광명시,경력무관,대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
간호사,경북대학교병원,"칠곡경북대학교병원 영상의학과 연구 간호사 (CRC), CRA모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49514139&location=ts&searchword=%EA%B0%84%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=337bba8b-da8c-44e4-867c-eb24366c9d1d,2024-12-07 19:21:49,대구 북구,경력무관,학력무관,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
간호사,(주)케이티아이에스,[월312만/용인세브란스병원] 진료예약센터 상담간호사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478607&location=ts&searchword=%EA%B0%84%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=337bba8b-da8c-44e4-867c-eb24366c9d1d,2024-12-07 19:21:52,경기 용인시 기흥구,경력1년↑,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
간호사,고신대학교복음병원,[정규직] 2025년 신규간호사 모집공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49511844&location=ts&searchword=%EA%B0%84%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=337bba8b-da8c-44e4-867c-eb24366c9d1d,2024-12-07 19:21:56,부산 서구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
간호사,(의)한마음의료재단하나병원,[간호사] 건강검진센터 내시경실 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541025&location=ts&searchword=%EA%B0%84%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=337bba8b-da8c-44e4-867c-eb24366c9d1d,2024-12-07 19:21:59,충북 청주시 흥덕구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
