search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
건축가,(주)티섹,[건축가] (주)티섹 캐드(구조도면) 사원모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49514663&location=ts&searchword=%EA%B1%B4%EC%B6%95%EA%B0%80&searchType=search&paid_fl=n&search_uuid=62dccc7e-e896-4dfa-a888-79d461ebf2c7,2024-12-07 14:52:53,서울 성동구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
건축가,(주)녹색건축인증연구소,[건축가] 장애물 없는 생활환경 인증부 초대합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467401&location=ts&searchword=%EA%B1%B4%EC%B6%95%EA%B0%80&searchType=search&paid_fl=n&search_uuid=62dccc7e-e896-4dfa-a888-79d461ebf2c7,2024-12-07 14:52:57,서울 동작구,경력 2~7년,대졸↑,정규직·기간제,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
건축가,주식회사강인기업,[건축가]전문건설 금속창호 현장관리자 및 도면 캐드 설계사모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49402571&location=ts&searchword=%EA%B1%B4%EC%B6%95%EA%B0%80&searchType=search&paid_fl=n&search_uuid=62dccc7e-e896-4dfa-a888-79d461ebf2c7,2024-12-07 14:53:00,경기 성남시 중원구,경력 5~10년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
건축가,현대오토에버(주),Technical Architect 경력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48717057&location=ts&searchword=%EA%B1%B4%EC%B6%95%EA%B0%80&searchType=search&paid_fl=n&search_uuid=62dccc7e-e896-4dfa-a888-79d461ebf2c7,2024-12-07 14:53:04,서울 강남구,경력5년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
건축가,(주)맨파워코리아,[플랫폼 기업] Application Architect(AA) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478139&location=ts&searchword=%EA%B1%B4%EC%B6%95%EA%B0%80&searchType=search&paid_fl=n&search_uuid=62dccc7e-e896-4dfa-a888-79d461ebf2c7,2024-12-07 14:53:07,서울 강남구,경력 3~16년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
건축가,(주)맨파워코리아,[ICT 솔루션 기업] Technical Architect,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49491929&location=ts&searchword=%EA%B1%B4%EC%B6%95%EA%B0%80&searchType=search&paid_fl=n&search_uuid=62dccc7e-e896-4dfa-a888-79d461ebf2c7,2024-12-07 14:53:10,서울 강서구,경력12년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
건축가,한국휴렛팩커드(유),[한국 휴렛팩커드]Private Cloud AI Solution Architect(차장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49454483&location=ts&searchword=%EA%B1%B4%EC%B6%95%EA%B0%80&searchType=search&paid_fl=n&search_uuid=62dccc7e-e896-4dfa-a888-79d461ebf2c7,2024-12-07 14:53:15,서울 영등포구,경력4년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
건축가,슈어소프트테크(주),[동적분석기술팀] 제품 아키텍트/전문연구요원 우대,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540239&location=ts&searchword=%EA%B1%B4%EC%B6%95%EA%B0%80&searchType=search&paid_fl=n&search_uuid=62dccc7e-e896-4dfa-a888-79d461ebf2c7,2024-12-07 14:53:18,경기전체,경력 5~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
건축가,지멘스인더스트리소프트웨어(주),Services Consulting - Solution Architect 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49151464&location=ts&searchword=%EA%B1%B4%EC%B6%95%EA%B0%80&searchType=search&paid_fl=n&search_uuid=62dccc7e-e896-4dfa-a888-79d461ebf2c7,2024-12-07 14:53:21,서울 강남구,경력10년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
건축가,(주)미라콤아이앤씨,(주)미라콤아이앤씨 '24년 경력사원 채용(테크니컬 아키텍트),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49443161&location=ts&searchword=%EA%B1%B4%EC%B6%95%EA%B0%80&searchType=search&paid_fl=n&search_uuid=62dccc7e-e896-4dfa-a888-79d461ebf2c7,2024-12-07 14:53:25,서울 송파구,경력3년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
