search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
견적,(주)다원아이디앤씨,[실내인테리어] 견적부/현장 안전관리자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49436985&location=ts&searchword=%EA%B2%AC%EC%A0%81&searchType=search&paid_fl=n&search_uuid=d097b8b4-a0cc-4203-99f0-cf7a2275e1b7,2024-12-07 18:26:12,서울 서초구,경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
견적,농심엔지니어링(주),농심엔지니어링(주) 건설시공팀 경력(공사/공무/전기/견적) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530772&location=ts&searchword=%EA%B2%AC%EC%A0%81&searchType=search&paid_fl=n&search_uuid=d097b8b4-a0cc-4203-99f0-cf7a2275e1b7,2024-12-07 18:26:15,서울 동작구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
견적,(주)리엘에스앤디,하반기 경력 · 신입사원 채용 [현장소장/건축/공무·견적],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49356108&location=ts&searchword=%EA%B2%AC%EC%A0%81&searchType=search&paid_fl=n&search_uuid=d097b8b4-a0cc-4203-99f0-cf7a2275e1b7,2024-12-07 18:26:18,서울 강남구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
견적,(주)용연산업,[정규직] 자차필수 / 사무직 / 사무보조 및 견적보조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49531492&location=ts&searchword=%EA%B2%AC%EC%A0%81&searchType=search&paid_fl=n&search_uuid=d097b8b4-a0cc-4203-99f0-cf7a2275e1b7,2024-12-07 18:26:22,경기 평택시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
견적,휴먼플러스(주),[구매관리] 원가/견적서 관리자 채용 中,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530275&location=ts&searchword=%EA%B2%AC%EC%A0%81&searchType=search&paid_fl=n&search_uuid=d097b8b4-a0cc-4203-99f0-cf7a2275e1b7,2024-12-07 18:26:25,대구 달서구,경력1년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
견적,한국정보공학(주),[한국정보공학] 견적 및 영업지원업무(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481330&location=ts&searchword=%EA%B2%AC%EC%A0%81&searchType=search&paid_fl=n&search_uuid=d097b8b4-a0cc-4203-99f0-cf7a2275e1b7,2024-12-07 18:26:29,경기 성남시 분당구,신입·경력,초대졸↑,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
견적,(주)한솔에이치더블유디,사무직 직원 모집(견적 및 공무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496741&location=ts&searchword=%EA%B2%AC%EC%A0%81&searchType=search&paid_fl=n&search_uuid=d097b8b4-a0cc-4203-99f0-cf7a2275e1b7,2024-12-07 18:26:33,충북 충주시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
견적,(주)원상사,회계/경리/견적 관련,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540366&location=ts&searchword=%EA%B2%AC%EC%A0%81&searchType=search&paid_fl=n&search_uuid=d097b8b4-a0cc-4203-99f0-cf7a2275e1b7,2024-12-07 18:26:37,전남 순천시,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
견적,행복쇼핑(주),[재택근무] PC견적 및 고객 상담 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475925&location=ts&searchword=%EA%B2%AC%EC%A0%81&searchType=search&paid_fl=n&search_uuid=d097b8b4-a0cc-4203-99f0-cf7a2275e1b7,2024-12-07 18:26:41,서울 양천구,경력1년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
견적,(주)하나계기,(사무직 추가인원 모집) 계측기 견적서 작성 / 엑셀 작업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49349069&location=ts&searchword=%EA%B2%AC%EC%A0%81&searchType=search&paid_fl=n&search_uuid=d097b8b4-a0cc-4203-99f0-cf7a2275e1b7,2024-12-07 18:26:45,대구 서구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
