search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
경영지원,(주)네오플,[네오플][제주도민 특별채용]경영지원실 총무팀 복리후생 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519580&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%A7%80%EC%9B%90&searchType=search&paid_fl=n&search_uuid=1b716f14-e3b5-454a-8e4c-3397160c8de7,2024-12-06 21:53:29,제주 제주시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영지원,오스템임플란트(주),영업/마케팅 및 경영지원 분야 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49364448&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%A7%80%EC%9B%90&searchType=search&paid_fl=n&search_uuid=1b716f14-e3b5-454a-8e4c-3397160c8de7,2024-12-06 21:53:33,전국,신입·경력,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영지원,오스템임플란트(주),영업/마케팅 및 경영지원 분야 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543557&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%A7%80%EC%9B%90&searchType=search&paid_fl=n&search_uuid=1b716f14-e3b5-454a-8e4c-3397160c8de7,2024-12-06 21:53:37,전국,신입·경력,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영지원,(주)화이트생명과학,[화이트생명과학] 경영지원팀 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528768&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%A7%80%EC%9B%90&searchType=search&paid_fl=n&search_uuid=1b716f14-e3b5-454a-8e4c-3397160c8de7,2024-12-06 21:53:40,서울 강남구,경력 3~5년,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영지원,동아전기공업(주),[경영지원본부] 재무&인사총무,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534777&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%A7%80%EC%9B%90&searchType=search&paid_fl=n&search_uuid=1b716f14-e3b5-454a-8e4c-3397160c8de7,2024-12-06 21:53:43,부산 사하구,경력 3~15년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영지원,(주)아이넵,경영지원 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49531576&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%A7%80%EC%9B%90&searchType=search&paid_fl=n&search_uuid=1b716f14-e3b5-454a-8e4c-3397160c8de7,2024-12-06 21:53:45,서울 성동구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영지원,에빈코리아(유),경영지원/뷰티상품기획개발/구매개발/해외온라인 아마존MD/영상콘텐츠작가/온라인마케팅/영상제작PD(연출),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496923&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%A7%80%EC%9B%90&searchType=search&paid_fl=n&search_uuid=1b716f14-e3b5-454a-8e4c-3397160c8de7,2024-12-06 21:53:50,서울 강남구,신입·경력,학력무관,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영지원,(주)끄레델,[정규직] 경영지원팀 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502856&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%A7%80%EC%9B%90&searchType=search&paid_fl=n&search_uuid=1b716f14-e3b5-454a-8e4c-3397160c8de7,2024-12-06 21:53:53,경기 하남시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영지원,주식회사 레보록스,2024년도 하반기 경영지원 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524570&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%A7%80%EC%9B%90&searchType=search&paid_fl=n&search_uuid=1b716f14-e3b5-454a-8e4c-3397160c8de7,2024-12-06 21:53:56,경기 화성시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영지원,(주)콘텐츠브릿지,경영지원팀 인사/총무 담당자 채용 (신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49438256&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%A7%80%EC%9B%90&searchType=search&paid_fl=n&search_uuid=1b716f14-e3b5-454a-8e4c-3397160c8de7,2024-12-06 21:54:00,서울 강남구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
