search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
경영컨설팅,(주)사람인에이치에스,[서울/스타트업/워라벨] 경영컨설팅 매니저 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468441&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=85761edb-9ad4-47ae-8c2a-219a53979219,2024-12-07 23:38:22,서울 종로구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영컨설팅,유한회사 노박앤드파트너,한남동 경영컨설팅사 경영지원직무 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539641&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=85761edb-9ad4-47ae-8c2a-219a53979219,2024-12-07 23:38:25,서울 용산구,신입·경력,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영컨설팅,주식회사더타임즈,[경영컨설팅] 경영컨설턴트 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49205071&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=85761edb-9ad4-47ae-8c2a-219a53979219,2024-12-07 23:38:28,서울 영등포구,경력무관,학력무관,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영컨설팅,캡스톤브릿지(주),바이오·헬스케어·의료 경영컨설팅사 경영지원팀,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49469811&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=85761edb-9ad4-47ae-8c2a-219a53979219,2024-12-07 23:38:32,서울 서초구,경력1년↑,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영컨설팅,(주)인티그레이션,[한의사 대표 스타트업] 한의원 경영컨설팅 그로스 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49461620&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=85761edb-9ad4-47ae-8c2a-219a53979219,2024-12-07 23:38:37,서울 강남구,경력 2~7년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영컨설팅,제이엔에스 메디컬컨설턴시(JNS MC),병원경영컨설팅 관련 업무진행 가능자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474067&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=85761edb-9ad4-47ae-8c2a-219a53979219,2024-12-07 23:38:41,부산 금정구,경력무관,초대졸↑,정규직·파트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영컨설팅,엘에스지파트너즈(주),글로벌 경영컨설팅펌 운영전략 컨설팅,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396814&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=85761edb-9ad4-47ae-8c2a-219a53979219,2024-12-07 23:38:44,서울 중구,경력 6~20년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영컨설팅,효율경영자문(주),경영컨설팅 신규 직원 채용 공고문 (경력 무관),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49306956&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=85761edb-9ad4-47ae-8c2a-219a53979219,2024-12-07 23:38:48,충북 청주시 서원구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영컨설팅,이디피솔루션,경영컨설팅 영업사원을 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49321376&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=85761edb-9ad4-47ae-8c2a-219a53979219,2024-12-07 23:38:51,인천 연수구,경력무관,학력무관,정규직·프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영컨설팅,스톤브릿지파트너스(주),[경영컨설팅] 대기업 IT서비스기업 PI/ISP컨설턴트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451314&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=85761edb-9ad4-47ae-8c2a-219a53979219,2024-12-07 23:38:55,서울 용산구,경력 8~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
경영컨설팅,스톤브릿지파트너스(주),[경영컨설팅] 대기업 IT서비스기업 SAP 모듈 컨설턴트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451298&location=ts&searchword=%EA%B2%BD%EC%98%81%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=85761edb-9ad4-47ae-8c2a-219a53979219,2024-12-07 23:38:58,서울 용산구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
