search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
계리사,(주)맨파워그룹코리아,[시청역/신입가능] 글로벌 생명보험사 선임계리사 지원팀 (1.5M),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49400226&location=ts&searchword=%EA%B3%84%EB%A6%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e7fe2e9c-e235-4439-8b93-c2740cc2c1df,2024-12-07 21:22:55,서울 중구,신입,대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
계리사,(주)유니코써치,[외국계 보험사] 선임계리사지원팀 정규직 포지션,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534071&location=ts&searchword=%EA%B3%84%EB%A6%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e7fe2e9c-e235-4439-8b93-c2740cc2c1df,2024-12-07 21:22:59,서울 강남구,경력 3~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
계리사,베스트네트워크㈜,13. 선임계리사지원팀 [외국계 보험사/대기업],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539100&location=ts&searchword=%EA%B3%84%EB%A6%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e7fe2e9c-e235-4439-8b93-c2740cc2c1df,2024-12-07 21:23:01,서울 강남구,경력 3~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
계리사,메리츠화재해상보험(주),2024년 메리츠화재 하반기 각 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525317&location=ts&searchword=%EA%B3%84%EB%A6%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e7fe2e9c-e235-4439-8b93-c2740cc2c1df,2024-12-07 21:23:04,서울전체,신입·경력,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
계리사,한영회계법인,금융컨설팅부문 계리팀(Actuarial) 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49545058&location=ts&searchword=%EA%B3%84%EB%A6%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e7fe2e9c-e235-4439-8b93-c2740cc2c1df,2024-12-07 21:23:08,서울 영등포구,신입,대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
계리사,한영회계법인,금융컨설팅부문 보험 계리 컨설팅 정규전환형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49513014&location=ts&searchword=%EA%B3%84%EB%A6%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e7fe2e9c-e235-4439-8b93-c2740cc2c1df,2024-12-07 21:23:12,서울 영등포구,신입,대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
계리사,에이스아메리칸화재해상보험(주),[라이나손해보험] 장기상품 Business Plan Manager (차장-부장),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527132&location=ts&searchword=%EA%B3%84%EB%A6%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e7fe2e9c-e235-4439-8b93-c2740cc2c1df,2024-12-07 21:23:16,서울 종로구,경력 11~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
계리사,에이온코리아보험중개(주),"[Aon Korea] (대리·과장급) Account Manager, Trade Credit",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529605&location=ts&searchword=%EA%B3%84%EB%A6%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e7fe2e9c-e235-4439-8b93-c2740cc2c1df,2024-12-07 21:23:20,서울 중구,경력2년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
계리사,안진회계법인,[안진회계법인]회계감사부문 AIS(계리 및 보험 전문 그룹) 경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333348&location=ts&searchword=%EA%B3%84%EB%A6%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e7fe2e9c-e235-4439-8b93-c2740cc2c1df,2024-12-07 21:23:24,서울 영등포구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
계리사,(주)에이치알그룹,"그룹 계열 상장 보험사 -장기보험 상품개발 (팀장,팀원)채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508356&location=ts&searchword=%EA%B3%84%EB%A6%AC%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e7fe2e9c-e235-4439-8b93-c2740cc2c1df,2024-12-07 21:23:28,서울 서초구,경력 5~20년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
