search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
고객관리,(주)비티엑스,"(주)비티엑스 영업, 고객관리 사원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49531867&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=4f1716bf-106f-4f89-957b-f082652475c8,2024-12-07 03:11:45,경남 김해시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
고객관리,더원안과의원,[더원 안과] 고객관리팀원 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467772&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=4f1716bf-106f-4f89-957b-f082652475c8,2024-12-07 03:11:49,경북 구미시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
고객관리,(주)바로크레디트대부,[신입/경력] 금융사무/고객관리 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507039&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=4f1716bf-106f-4f89-957b-f082652475c8,2024-12-07 03:11:52,서울 영등포구,신입·경력,고졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
고객관리,(주)도스코,영업관리&거래처관리&고객관리 경력무관 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481314&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=4f1716bf-106f-4f89-957b-f082652475c8,2024-12-07 03:11:56,충남 아산시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
고객관리,(주)미디어윌네트웍스,[알바천국본사 정규직] B2B영업 및 고객관리 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490458&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=4f1716bf-106f-4f89-957b-f082652475c8,2024-12-07 03:11:59,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
고객관리,씨제이푸드빌(주),[CJ푸드빌] 고객만족팀 고객관리(클레임) 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542527&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=4f1716bf-106f-4f89-957b-f082652475c8,2024-12-07 03:12:04,서울 중구,경력3년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
고객관리,(주) 티디지,온라인쇼핑몰 사무직 재고관리/배송관리/CS고객관리 사원모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544647&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=4f1716bf-106f-4f89-957b-f082652475c8,2024-12-07 03:12:07,대전 서구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
고객관리,(주)에이엠네트웍스,고객관리 및 영업관리 직원 모집[신입/경력],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504213&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=4f1716bf-106f-4f89-957b-f082652475c8,2024-12-07 03:12:11,서울 금천구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
고객관리,스타법무법인,[대구] 영업관리본부 고객관리파트 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49533725&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=4f1716bf-106f-4f89-957b-f082652475c8,2024-12-07 03:12:15,대구 중구,경력무관,학력무관,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
고객관리,(주)대한계전,[경기도 김포] 구매관리/고객관리/사무직 (경력무관 모집),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475847&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=4f1716bf-106f-4f89-957b-f082652475c8,2024-12-07 03:12:19,경기 김포시,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
