search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
공무,(주)신세계푸드,"오산공장, 음성공장 공무관리 경력사원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526303&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:13,경기 오산시,경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,오성첨단소재(주),생산/공무/품질/안전환경 부문 신입&경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49381828&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:16,전북 익산시,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,한국광해광업공단,2024년 한국광해광업공단 공무직 및 일반계약직 운전 공개채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49453923&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:19,강원 원주시,신입·경력,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,동서식품(주),동서식품 창원공장 공무직(기계) 근무자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534699&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:23,경남 창원시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,(주)아데코코리아,[보은/정규직/기숙사] 외국계기업 공무팀 전기/기계관리 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49436976&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:27,충북 보은군,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,(주)탑머티리얼,평택공장 공무/시설(전기안전관리자) 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524514&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:31,경기 이천시,경력2년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,(주)해성기공,㈜해성기공 본사 공무팀/현장 공사관리자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523358&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:34,서울전체,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,다우실란트산업(주),"[영업, 연구, 생산, 공무, 금속가공, 품질(QA/QC)] 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49494475&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:39,경기 화성시,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,(주)크리오,공무팀 채용[경력],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49522914&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:43,충남 천안시 서북구,경력2년↑,초대졸↑,,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,우암건설(주),"건축공무,본사 재무회계팀 경력직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476054&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:46,서울전체,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,(주)보미건설,(주)보미건설 공사/공무 경력직 모집 (시공기술사 우대),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490658&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:49,서울 성북구,경력3년↑,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,(주)디엔오토모티브,디엔오토모티브 진주공장 자동차부품/공무파트(정규직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541213&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:53,경남 진주시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,농심엔지니어링(주),농심엔지니어링(주) 건설시공팀 경력(공사/공무/전기/견적) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530772&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:18:57,서울 동작구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,코오롱글로벌(주),코오롱글로벌 청라연장선 지하철현장 채용(공사/공무/품질/안전),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49505419&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:19:00,인천 서구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,(주)한창종합건설,"건설현장 공사 및 공무 ,안전관리자을 모십니다.",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543748&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:19:04,인천 서구,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공무,(주)에코앤드림,[코스닥기업] 설비 관리 업무(공무) 담당자 경력 채용-군산,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518501&location=ts&searchword=%EA%B3%B5%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=c6d33750-cc4b-4898-9f06-e41d7b5e294f,2024-12-07 18:19:07,전북 군산시,경력7년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
