search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
공정관리,(주)에이스나노켐,(주) 에이스나노켐 관리직 수시채용 [공정관리파트],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49545055&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:09:46,경북 영천시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)참코청하,기계제조회사 총괄관리자(생산관리 공정관리)을 모십니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529330&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:09:49,부산 강서구,경력10년↑,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,대한메디칼씨스템(주),생산관리/공정관리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526041&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:09:53,경기 시흥시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)비엠씨,[BMC 천안사업장] 천안생산팀 생산/공정관리 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526773&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:09:56,충남 천안시 서북구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)진코스텍,화장품 생산관리/기계조작 및 공정관리 외 (신입/경력) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544015&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:00,경기 시흥시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)사람인에이치에스,[정규직/외국계/월세지원] 화학계열 생산관리/공정관리 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504400&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:04,세종특별자치시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,산일전기(주),[생산팀] 변압기 공정관리 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49433086&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:08,경기 안산시 단원구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,㈜대우루컴즈,생산기술 / 공정관리/ 제조관리 모집 (신입 및 경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49408367&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:11,경기 용인시 처인구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,에스앤케이항공㈜,에스앤케이항공(주) 공정관리 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49477813&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:16,경남 사천시,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)피엠티,[삼성1차협력사] (주)피엠티 공정관리 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451634&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:19,충남 아산시,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)정화엔지니어링,"생산관리 및 공정관리 / 신입,경력 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49416048&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:22,경북 구미시,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,일진하이솔루스(주),[생산부문] 생산팀 공정관리 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49477528&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:27,전북 완주군,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,에스티엠(주),"생산관리팀  (공정관리, MES)사원 모집 (군위공장)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49505220&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:30,대구전체,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)대유글로벌 전주지점,(주)대유글로벌 생산팀 공정관리 신입/경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49431015&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:34,전북 완주군,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)데이웰즈,[식품공장] 생산관리 공정관리 담당자 신입 및 경력직 채용 중,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523428&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:36,경북 영천시,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)화인세라텍,공정관리 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49515084&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:39,경기 수원시 권선구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,제주팜이십일(주),[공정관리] 제주팜이십일 정규직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49520081&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:43,제주 제주시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)초록웰푸드,"식품회사 공정관리(품질), 생산관리, 자재관리 사원모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474270&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:46,대구 달성군,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,주식회사내일식품,[품질관리] 품질관리 및 공정관리 인력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49424226&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:50,충북 음성군,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,티피에이코리아(주),출판/인쇄 제작관리자(인쇄공정관리) 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497827&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:54,경기 파주시,신입,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,코스맥스아이큐어(주),품질팀 공정관리 업무 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49357169&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:10:58,경기 평택시,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,제이비에너지서비스(주),(경력무관) 4조2교대/공정관리 정규직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49426279&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:11:02,충남 천안시 동남구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,케이테크솔루션,"방산 제조업 사업관리팀 캐드원 채용(도면관리,생산공정관리)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483201&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:11:06,경북 구미시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)테크노휴먼,[문지동] 자동차부품 제조업체/생산직/현장공정관리자 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49430637&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:11:10,대전 유성구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)청심이엔지,공정관리/생산관리 채용(공학전공 우대),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506461&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:11:13,경북 구미시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,대흥특수화학(주),[돼지표본드] 공정관리·환경관리·안전관리 직원채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49398130&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:11:16,충남 천안시 동남구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)케이엠이,생산공정관리 및 설계 모집 (신입 / 경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517166&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:11:20,경남 김해시,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
공정관리,(주)알머스,제조기술그룹 경력직(생산기술 및 공정관리) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49477008&location=ts&searchword=%EA%B3%B5%EC%A0%95%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=856f8b05-0497-4530-a6c9-919bcd5f0ad3,2024-12-07 14:11:24,경기 수원시 영통구,경력5년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
