search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
교육매니저,(주)코멘토,커리어문제를 해결하는 코멘토교육매니저(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49392188&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:03:17,서울 중구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)업라이트컨설팅,[업라이트컨설팅 가산지사] 스타트업 교육매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49233736&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:03:22,서울 금천구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,아모레퍼시픽동대문점,아모레퍼시픽 동대문점 교육매니저를 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49356035&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:03:25,서울 동대문구,경력무관,고졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,뉴(NEW) 국제직업전문학교,직업훈련기관 교육매니저 (모집전문 경력자),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49374388&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:03:29,광주 서구,경력,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)오픈놀,[구로 청년이룸] 교육 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516086&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:03:33,서울 구로구,신입·경력,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)에이블런,교육사업운영매니저 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450269&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:03:36,서울 마포구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)엘리스그룹,기업 교육 프로젝트 매니저 (신입) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49434490&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:03:41,서울 강남구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,메가넥스트(주),[메가넥스트] 집합 교육운영 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523009&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:03:46,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)구름,[구름] 교육 운영 매니저 모집 (판교),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463681&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:03:48,경기 성남시 분당구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)더하이에듀,온라인 교육 커뮤니티 기획 및 운영 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468517&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:03:52,서울 강남구,경력1년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)펜타플로,기업 및 공공기관 대상 교육운영 매니저 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49303622&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:03:56,서울 마포구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)유메이커스,2024년 하반기 미래교육사업부 교육운영매니저 채용(서울마감),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539359&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:00,서울 서초구,경력무관,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)피플즈,디지털교육격차를 해소해나갈 교육사업운영매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49414097&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:03,서울 노원구,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)셀비오,[셀비오] 화장품 에스테틱 프랜차이즈 교육 매니저(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404937&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:07,서울 송파구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,에이치알서비스(주),/[강남]유명교육기업 / 교육 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483632&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:12,서울 강남구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)아이코어이앤씨,아이코어이앤씨 교육 운영 매니저 채용(연수 운영 지원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49302245&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:15,서울 서초구,경력무관,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)스터닝,[라우드소싱] 디자인 교육서비스 운영 매니저(인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532974&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:19,서울 강남구,신입,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)블루타이거,교육 운영 매니저 신입 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49373332&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:22,서울 관악구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)유밥,(주)유밥 교육운영팀 기업교육 운영매니저 신입·경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49429537&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:25,서울 영등포구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)케이에이치정보교육원,KH정보교육원 부산지원 IT 직업 훈련 취업 지원 매니저 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499512&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:28,부산 부산진구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)디지털헤럴드,교육관리 학습매니저 계약직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49505855&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:31,서울 중구,경력,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)모두의연구소,교육 운영 매니저 (퍼실리테이터),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49373361&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:34,서울 강남구,경력 1~7년,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)블루타이거,교육 운영매니저 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49466824&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:38,서울 관악구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,주식회사더넥스트에듀,[더넥스트에듀]교육 운영 매니저 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49362242&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:41,서울 강남구,경력무관,초대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)클래스팅,[클래스팅/AI/삼성역] 콘텐츠팀 사회 교육 콘텐츠 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49356737&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:44,서울 강남구,경력 3~5년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)더파운더즈,교육/조직문화 기획 Sr.매니저 채용 [더파운더즈_피플],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49407555&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:49,서울 강남구,경력 5~10년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,리딩스타(주),운영 기획 매니저 & 교육 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49515799&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:53,서울 송파구,경력2년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,베러슬립주식회사,의료기기 환자 상담/교육 & 치료장비 관리 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404487&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:04:57,서울 송파구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)페이히어,[페이히어] 세일즈 교육 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49256006&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:05:01,서울 강남구,경력 1~2년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)라이프플래닝연구소,IT 교육 회사 - 교육운영 매니저 (중장년 우대),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49461224&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:05:03,서울 강서구,경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육매니저,(주)멋쟁이사자처럼,[멋쟁이사자처럼] IT교육 운영 매니저(계약직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49336556&location=ts&searchword=%EA%B5%90%EC%9C%A1%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=97ef0db3-778e-4db6-9d5b-af2ed80e30e5,2024-12-07 23:05:07,서울 종로구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
