search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
교육운영,(주)함소아,(주)함소아 교육팀(한의원 교육운영 및 관리지원)  담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489739&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:11,서울 강남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,한국가이던스,꼼꼼하고 성실한 교육운영팀을 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49513236&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:15,대구 달서구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)한국에이치알디훈련지원센터,원격평생교육원 교육운영 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541005&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:19,부산 동래구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)월드클래스에듀케이션,"대학교육(진로,취업) 교육기획 및 교육운영 학사/석사/박사 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49368499&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:23,서울 강남구,경력무관,대졸↑,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)멀티캠퍼스,"교육운영 경력 채용 (계약직, 서울 관악구)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519902&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:26,서울 강남구,경력2년↑,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,아이비커리어(주),[통근버스]삼성물산 본사 교육운영 직원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49445464&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:30,서울 강동구,경력무관,학력무관,파견직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,메가넥스트(주),[메가넥스트] 집합 교육운영 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523009&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:34,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)하이테커,오프라인 교육운영 담당자(KDT) 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49520000&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:38,서울 성동구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)에스테이트,[미래내일 일경험]시앤피컨설팅 교육운영/디자인 직무 인턴 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49440181&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:43,서울 강서구,경력무관,초대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,피피에이치알,CESCO Lifecare 2024년 정규직 공채[교육운영] 경력직 / [정규직-수탁전문업체 PPHR],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496240&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:46,서울 강동구,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)펜타플로,기업 및 공공기관 대상 교육운영 매니저 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49303622&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:50,서울 마포구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)퍼브,2024 (주)퍼브 공공기관·민간기업 교육운영팀 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543867&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:53,경기 과천시,신입·경력,초대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)유메이커스,2024년 하반기 미래교육사업부 교육운영매니저 채용(서울마감),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539359&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:39:58,서울 서초구,경력무관,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(사)한국아이씨티기술협회,직업훈련센터 교육운영(행정사무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49327428&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:00,서울 마포구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)한경이아카데미,경영지원 (회계/총무/교육운영) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483002&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:04,서울 중구,경력 1~8년,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)유소년교육연구소,교육운영 관리 및 사무 채용공고(대전 지역),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49491102&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:07,대전 중구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,실무프로젝트(주),교육운영팀 팀원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49423398&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:10,서울 마포구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(사)한국식품콜드체인협회,한국식품콜드체인협회 교육운영 및 협회행사 지원직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476003&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:13,서울 마포구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)맨파워그룹코리아,[여의도] 외국계 소프트웨어 대기업 교육운영 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396451&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:18,서울 영등포구,경력무관,대졸↑,파견직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)엔코아,IT 교육(부트캠프) 교육운영 지원 포지션 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49522115&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:22,서울 금천구,경력무관,학력무관,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)하이테커,오프라인 교육운영 담당자(KDT) 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49520109&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:25,서울 성동구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)유밥,(주)유밥 교육운영팀 기업교육 운영매니저 신입·경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49429537&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:29,서울 영등포구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,에이드컨설팅(주),[AID컨설팅] 삼성계열사 교육운영자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49378258&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:33,경기 평택시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(주)한컴아카데미,[사세확장](분당)교육운영 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544407&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:38,경기 성남시 분당구,경력2년↑,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,(사)에듀케어,(사)에듀케어  교육운영 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544592&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:42,경기 안양시 동안구,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육운영,아리솔유치원,[교육운영] 유치원 정담임 및 부담임 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49438193&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%9A%B4%EC%98%81&searchType=search&paid_fl=n&search_uuid=e7c2ad41-d046-4e36-b91b-0bb2382dc448,2024-12-07 22:40:46,울산 중구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
