search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
교육컨텐츠,(주)디지털대성,(주)디지털대성 컨텐츠팀(교육컨텐츠기획/운영) 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492230&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:13,서울 서초구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,한국청소년중독예방연구소주식회사,[교육컨텐츠개발] 청소년 관련 컨텐츠개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535944&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:16,서울 강남구,신입,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,모션파크,"모션파크에서 교육컨텐츠 디자이너, 촬영/편집 직원을 구합니다",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49369381&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:21,서울 서초구,신입·경력,초대졸↑,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)버크만코리아,[버크만코리아] 자격교육부문 교육컨텐츠 기획 및 개발담당 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49407786&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:25,서울 영등포구,경력 3~3년,대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,이투스에듀(주),[이투스에듀] 교육평가연구소 입시컨텐츠팀 발간물 컨텐츠 기획/제작 신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497356&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:28,서울 서초구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)디오,㈜디오 교육팀 교육 컨텐츠 개발 담당 경력자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49454230&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:32,부산 해운대구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,루키스,교육 컨텐츠 기획자 구인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49480402&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:36,서울 관악구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,주은교육(주),[주은교육] 컨텐츠팀 경력 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489220&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:40,서울 송파구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)애드투,온라인교육 서비스 및 컨텐츠 기획/운영 경력자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49342261&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:43,서울 서초구,경력 3~8년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)매스프레소,수학 교육 컨텐츠 기획자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49453908&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:48,서울 강남구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,윤훈관영어,교육인학원 조교 & 관리 & 컨텐츠 제작 조교 /주5일근무 (수~일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49469041&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:51,부산 해운대구,경력무관,초대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,주식회사 마음주의 심리상담센터,'교육' 관련 컨텐츠 작성자 모집 [프리랜서],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534686&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:55,서울 강남구,경력무관,대졸↑,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,HR컨설팅(주),중견상장교육그룹 수학 컨텐츠개발 차부장 10년이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49470230&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:20:59,서울 강남구,경력 4~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,라이드(주),자동차 상품 교육 기획&컨텐츠 개발 담당자 모집 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49445023&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:03,서울 서초구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주) 케이와이씨지(KYCG),[서초] 코스닥 상장 중견 교육기업 컨텐츠기획팀(고등),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526326&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:07,서울 서초구,경력 2~5년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)하이컨시,[하이컨시] 컨텐츠 및 강사 기획 (성인 교육) 채용 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49520354&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:11,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,어스얼라이언스(주),"교육콘텐츠 기획/운영 (신입,경력 모집)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529413&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:14,서울 마포구,신입·경력,대졸↑,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)천재교육,[천재교육] AI디지털교과서 수학 콘텐츠 기획자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49460453&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:18,서울 금천구,경력무관,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)퍼플아카데미,영어교육 이러닝 학습 콘텐츠 연구개발 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527739&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:22,서울 양천구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)가베,"[주식회사 가베]유아, 초등 교육 콘텐츠 개발 담당자 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471781&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:26,대구 서구,경력2년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)큐피플,교육 이러닝 콘텐츠 기획팀,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465327&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:30,서울 금천구,경력무관,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,글로벌소프트웨어캠퍼스(주),교육콘텐츠 기획 경력자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536369&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:34,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)한국공교육원,[한국공교육원] 교육 콘텐츠 기획/제작 담당자 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536121&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:38,서울 송파구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,아이디자인랩,"[한국어 학습 앱 ] 펀픽, '한국어 교육 콘텐츠 개발 팀원' 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49373595&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:41,서울 마포구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,위너넷평생교육원,"이러닝 교육콘텐츠 영상제작 및 편집, 촬영 담당자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516770&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:43,서울 서초구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)월드클래스에듀케이션,"대학교육(스피치, 글쓰기) 교육과정 및 교육 콘텐츠 개발 담당자",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521993&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:46,서울 강남구,경력무관,대졸↑,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)플립온코리아,[플립온코리아]교육용(이러닝) 콘텐츠 디자이너 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540310&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:50,서울 영등포구,경력 1~9년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,리오프로덕션,"교육콘텐츠 등 다양한 영상, 모션그래픽 디자이너 구인합니다.",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49434178&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:54,서울 마포구,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)비즈엠디지,온라인 교육콘텐츠 이러닝 기획 및 제작(PM/PL/교수설계/기획),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468658&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:21:58,서울 금천구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(사)보험연수원,보험연수원 이러닝교육 콘텐츠개발/교수설계 신입채용(정규직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49477171&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:22:02,서울 성북구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)스윙크,"[신입] 교육용 콘텐츠 기획자 - 앱/게임 기획, 스토리보드 작성",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49513485&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:22:04,서울 마포구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)에듀콥,이러닝 교육콘텐츠 기획자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49237664&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:22:08,서울 마포구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)단꿈아이,[단꿈아이] 교육사업실 한국사 콘텐츠 개발/검수 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49452124&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:22:13,경기 성남시 분당구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)일공일랩,[신입/경력] 외국어교육서비스 '콘텐츠 마케터' 모집 :),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484713&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:22:17,서울 송파구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,에코마이스(주),"ICT, 콘텐츠 제작 교육 기획 및 운영",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49375496&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:22:22,서울 강남구,경력무관,대졸↑,정규직·무기계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)뤼이드,[Riiid][인턴] 영어 교육 콘텐츠 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542131&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:22:25,서울 강남구,경력무관,학력무관,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,엘캠퍼스(주),[엘캠퍼스] 기업교육 콘텐츠 기획 담당자 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49482322&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:22:28,서울 금천구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)이디그로,교육 디지털 콘텐츠 기획,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49491558&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:22:31,서울 성동구,경력,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육컨텐츠,(주)렛유인에듀,[렛유인에듀 콘텐츠LAB.] 교육 콘텐츠 기획자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541269&location=ts&searchword=%EA%B5%90%EC%9C%A1%EC%BB%A8%ED%85%90%EC%B8%A0&searchType=search&paid_fl=n&search_uuid=6b1f1ad4-a91b-47ba-8cb7-9a9db12435bb,2024-12-07 22:22:34,서울 강남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
