search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
교육프로그램,(주)엠공사이,융합형 교육프로그램 기획 및 운영 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49377097&location=ts&searchword=%EA%B5%90%EC%9C%A1%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8&searchType=search&paid_fl=n&search_uuid=24633a12-8d81-4308-b6a3-43a63ef9d4a9,2024-12-07 22:47:11,대전 서구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육프로그램,풀짚공예박물관,[풀짚공예박물관] 2025년 박물관 교육프로그램 강사 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525406&location=ts&searchword=%EA%B5%90%EC%9C%A1%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8&searchType=search&paid_fl=n&search_uuid=24633a12-8d81-4308-b6a3-43a63ef9d4a9,2024-12-07 22:47:15,경기 광주시,경력무관,학력무관,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육프로그램,(주)삼양문화,삼양문화 진로교육프로그램 프리랜서 강사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471964&location=ts&searchword=%EA%B5%90%EC%9C%A1%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8&searchType=search&paid_fl=n&search_uuid=24633a12-8d81-4308-b6a3-43a63ef9d4a9,2024-12-07 22:47:18,서울 영등포구,경력무관,대졸↑,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육프로그램,한국가이던스(주),[한국가이던스]교육프로그램 기획 및 운영자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49296108&location=ts&searchword=%EA%B5%90%EC%9C%A1%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8&searchType=search&paid_fl=n&search_uuid=24633a12-8d81-4308-b6a3-43a63ef9d4a9,2024-12-07 22:47:22,경기 성남시 분당구,경력 3~7년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육프로그램,(주)코리아이앤피,[고려대학교 영어교육프로그램 EiE] 교육본부 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49444012&location=ts&searchword=%EA%B5%90%EC%9C%A1%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8&searchType=search&paid_fl=n&search_uuid=24633a12-8d81-4308-b6a3-43a63ef9d4a9,2024-12-07 22:47:27,서울 성북구,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육프로그램,제이엔에스아카데미(주),리딩스타 (주) 교육프로그램 영업 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49251634&location=ts&searchword=%EA%B5%90%EC%9C%A1%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8&searchType=search&paid_fl=n&search_uuid=24633a12-8d81-4308-b6a3-43a63ef9d4a9,2024-12-07 22:47:29,광주 남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육프로그램,(주)코리아이앤피,[고려대학교영어교육프로그램EiE] FC사업본부 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49218393&location=ts&searchword=%EA%B5%90%EC%9C%A1%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8&searchType=search&paid_fl=n&search_uuid=24633a12-8d81-4308-b6a3-43a63ef9d4a9,2024-12-07 22:47:33,서울 성북구,경력1년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육프로그램,(주)코리아이앤피,[고려대학교영어교육프로그램EiE] 학원전략기획단 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49443992&location=ts&searchword=%EA%B5%90%EC%9C%A1%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8&searchType=search&paid_fl=n&search_uuid=24633a12-8d81-4308-b6a3-43a63ef9d4a9,2024-12-07 22:47:38,서울 성북구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육프로그램,(주)렛츠,교육 프로그램 운영 지원 및 행정 업무 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541502&location=ts&searchword=%EA%B5%90%EC%9C%A1%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8&searchType=search&paid_fl=n&search_uuid=24633a12-8d81-4308-b6a3-43a63ef9d4a9,2024-12-07 22:47:42,대전 유성구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
교육프로그램,(주)한국미래진로센터,청소년 진로 교육 프로그램 운영 지원 및 행정 업무 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49400812&location=ts&searchword=%EA%B5%90%EC%9C%A1%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8&searchType=search&paid_fl=n&search_uuid=24633a12-8d81-4308-b6a3-43a63ef9d4a9,2024-12-07 22:47:45,서울 양천구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
