search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
구조설계,하이에어공조(주),냉동공조 기술설계/구조설계/배관설계/3D 설계 우대 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49366206&location=ts&searchword=%EA%B5%AC%EC%A1%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=127c8634-2182-4276-9e43-c297bf502bb7,2024-12-07 18:57:53,경남 김해시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
구조설계,(주)맥이에이,2025년 상반기 건축구조설계 신입/경력사원 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49381393&location=ts&searchword=%EA%B5%AC%EC%A1%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=127c8634-2182-4276-9e43-c297bf502bb7,2024-12-07 18:57:56,서울 송파구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
구조설계,(주)힐엔지니어링,건축구조설계 직원 채용(서울사무소),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49538577&location=ts&searchword=%EA%B5%AC%EC%A1%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=127c8634-2182-4276-9e43-c297bf502bb7,2024-12-07 18:57:59,서울 금천구,경력 3~7년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
구조설계,(주)홈체크,건축구조사업부 구조설계 및 안전진단 채용 [20억+투자유치],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504146&location=ts&searchword=%EA%B5%AC%EC%A1%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=127c8634-2182-4276-9e43-c297bf502bb7,2024-12-07 18:58:03,경기 용인시 기흥구,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
구조설계,한국재해예방기술원,"건축 안전진단, 구조설계  채용공고(신입/경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49373591&location=ts&searchword=%EA%B5%AC%EC%A1%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=127c8634-2182-4276-9e43-c297bf502bb7,2024-12-07 18:58:06,서울 송파구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
구조설계,(주)아이디엘그룹비아이엠,건설·건축(건축구조설계/BIM/Revit) 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49281655&location=ts&searchword=%EA%B5%AC%EC%A1%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=127c8634-2182-4276-9e43-c297bf502bb7,2024-12-07 18:58:10,서울 강남구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
구조설계,모델솔루션(주),[코스닥 상장] 모델솔루션(주) 구조설계 담당 경력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49386378&location=ts&searchword=%EA%B5%AC%EC%A1%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=127c8634-2182-4276-9e43-c297bf502bb7,2024-12-07 18:58:14,서울 금천구,경력5년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
구조설계,에이치디현대플라스포(주),[HD현대플라스포] 구조설계 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49327170&location=ts&searchword=%EA%B5%AC%EC%A1%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=127c8634-2182-4276-9e43-c297bf502bb7,2024-12-07 18:58:17,경기 고양시 일산동구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
구조설계,(주)티에스에스구조엔지니어링,건축구조설계 경력(2~10년) 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432214&location=ts&searchword=%EA%B5%AC%EC%A1%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=127c8634-2182-4276-9e43-c297bf502bb7,2024-12-07 18:58:20,경기 부천시,경력 2~10년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
구조설계,(주)티에스에스구조엔지니어링,건축구조설계 경력(15~20년) 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49494378&location=ts&searchword=%EA%B5%AC%EC%A1%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=127c8634-2182-4276-9e43-c297bf502bb7,2024-12-07 18:58:23,서울 구로구,경력 15~20년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
