search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
그래픽디자이너,(주)아이아이컴바인드,[탬버린즈] 그래픽디자이너 보조업무 (계약직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49448346&location=ts&searchword=%EA%B7%B8%EB%9E%98%ED%94%BD%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=f9e3dd66-fb86-41b6-ad26-1c54027474a0,2024-12-07 04:59:20,서울 마포구,경력무관,학력무관,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
그래픽디자이너,(주)레어로우,콘텐츠디자인팀 그래픽디자이너 경력직 채용 (3년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490778&location=ts&searchword=%EA%B7%B8%EB%9E%98%ED%94%BD%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=f9e3dd66-fb86-41b6-ad26-1c54027474a0,2024-12-07 04:59:23,서울 강남구,경력3년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
그래픽디자이너,(주)레어로우,콘텐츠디자인팀 그래픽디자이너 경력직 채용 (5년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490795&location=ts&searchword=%EA%B7%B8%EB%9E%98%ED%94%BD%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=f9e3dd66-fb86-41b6-ad26-1c54027474a0,2024-12-07 04:59:27,서울 강남구,경력5년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
그래픽디자이너,(주)티니위니코리아,캐릭터 그래픽디자이너 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49410900&location=ts&searchword=%EA%B7%B8%EB%9E%98%ED%94%BD%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=f9e3dd66-fb86-41b6-ad26-1c54027474a0,2024-12-07 04:59:30,서울 강남구,경력 5~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
그래픽디자이너,(주)제이스마트솔루션,[그래픽디자인] 그래픽디자이너,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49420193&location=ts&searchword=%EA%B7%B8%EB%9E%98%ED%94%BD%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=f9e3dd66-fb86-41b6-ad26-1c54027474a0,2024-12-07 04:59:35,서울 금천구,경력무관,학력무관,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
그래픽디자이너,(주)지에이치코리아,[정규직] 그래픽디자이너(시각디자이너) 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528901&location=ts&searchword=%EA%B7%B8%EB%9E%98%ED%94%BD%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=f9e3dd66-fb86-41b6-ad26-1c54027474a0,2024-12-07 04:59:39,서울 강남구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
그래픽디자이너,디자인스튜디오케나즈,그래픽디자이너 경력 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49361033&location=ts&searchword=%EA%B7%B8%EB%9E%98%ED%94%BD%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=f9e3dd66-fb86-41b6-ad26-1c54027474a0,2024-12-07 04:59:43,서울 강남구,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
그래픽디자이너,"주식회사비건제이(VeganJ.Co.,Ltd)",그래픽디자이너 경력(1~2년) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506549&location=ts&searchword=%EA%B7%B8%EB%9E%98%ED%94%BD%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=f9e3dd66-fb86-41b6-ad26-1c54027474a0,2024-12-07 04:59:45,서울 강남구,경력 1~2년,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
그래픽디자이너,디자인오유,양재 디자인오유 그래픽디자이너 모집함. (신입/경력직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49372135&location=ts&searchword=%EA%B7%B8%EB%9E%98%ED%94%BD%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=f9e3dd66-fb86-41b6-ad26-1c54027474a0,2024-12-07 04:59:50,서울 서초구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
그래픽디자이너,굳디자인연구소,[디자인사업부] 편집 및 그래픽디자이너 인턴 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483649&location=ts&searchword=%EA%B7%B8%EB%9E%98%ED%94%BD%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88&searchType=search&paid_fl=n&search_uuid=f9e3dd66-fb86-41b6-ad26-1c54027474a0,2024-12-07 04:59:53,부산 연제구,신입,초대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
