search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
기술연구,산일전기(주),[기술연구소] 변압기 경력연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49374070&location=ts&searchword=%EA%B8%B0%EC%88%A0%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=85bcf105-116a-44aa-a2ec-b16ebd86fb5d,2024-12-07 13:11:02,경기 안산시 단원구,경력 3~5년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
기술연구,(주)삼현,[기술연구소] 연구기획 담당 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475277&location=ts&searchword=%EA%B8%B0%EC%88%A0%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=85bcf105-116a-44aa-a2ec-b16ebd86fb5d,2024-12-07 13:11:06,경남 창원시,경력 4~8년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
기술연구,한국생산기술연구원,한국생산기술연구원 학생연구원 모집(인천) - 석/박사 진학 필수,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49538918&location=ts&searchword=%EA%B8%B0%EC%88%A0%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=85bcf105-116a-44aa-a2ec-b16ebd86fb5d,2024-12-07 13:11:10,인천 연수구,경력무관,대졸↑,교육생·기간제,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
기술연구,삼신화학공업㈜,삼신화학공업(주) 안산본사(기술연구소) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49184715&location=ts&searchword=%EA%B8%B0%EC%88%A0%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=85bcf105-116a-44aa-a2ec-b16ebd86fb5d,2024-12-07 13:11:14,경기 안산시 단원구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
기술연구,대성기계공업(주),대성기계공업(주) 미래기술연구센터 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49482959&location=ts&searchword=%EA%B8%B0%EC%88%A0%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=85bcf105-116a-44aa-a2ec-b16ebd86fb5d,2024-12-07 13:11:17,경기 안산시 상록구,경력4년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
기술연구,(주)현대포리텍,[자동차 전장부품 제조업]기술연구소 기획 담당 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523422&location=ts&searchword=%EA%B8%B0%EC%88%A0%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=85bcf105-116a-44aa-a2ec-b16ebd86fb5d,2024-12-07 13:11:20,충북 음성군,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
기술연구,(주)케이엔알시스템,2024년 본사 및 기술연구소 신입/경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463701&location=ts&searchword=%EA%B8%B0%EC%88%A0%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=85bcf105-116a-44aa-a2ec-b16ebd86fb5d,2024-12-07 13:11:23,경기 용인시 처인구,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
기술연구,한국피아이엠(주),"[한국피아이엠(주)] 기술연구소 신입, 경력직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49393843&location=ts&searchword=%EA%B8%B0%EC%88%A0%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=85bcf105-116a-44aa-a2ec-b16ebd86fb5d,2024-12-07 13:11:28,대구 달성군,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
기술연구,신한발브공업(주),[신한발브공업(주)] 기술연구소 설계/해석 전공채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49446739&location=ts&searchword=%EA%B8%B0%EC%88%A0%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=85bcf105-116a-44aa-a2ec-b16ebd86fb5d,2024-12-07 13:11:32,경기 화성시,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
기술연구,(주)씨케이솔루션,[CK솔루션] 기술연구소 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49313877&location=ts&searchword=%EA%B8%B0%EC%88%A0%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=85bcf105-116a-44aa-a2ec-b16ebd86fb5d,2024-12-07 13:11:36,경기 용인시 기흥구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
