search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
네트워크 엔지니어,(주)위버시스템즈,신입/경력사원 채용 모집(경영지원/유선 네트워크 엔지니어/보안 엔지니어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49447399&location=ts&searchword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f7b4aeaf-1d0c-4c49-949c-739ecaefa5d4,2024-12-06 21:45:23,서울 서초구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
네트워크 엔지니어,(주)매그넷,"[매그넷] 네트워크 엔지니어 신입, 경력 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49170102&location=ts&searchword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f7b4aeaf-1d0c-4c49-949c-739ecaefa5d4,2024-12-06 21:45:27,서울 영등포구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
네트워크 엔지니어,굿어스(주),[아산] 네트워크 엔지니어(신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49531048&location=ts&searchword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f7b4aeaf-1d0c-4c49-949c-739ecaefa5d4,2024-12-06 21:45:32,충남 아산시,신입,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
네트워크 엔지니어,씨스존(주),씨스존(주) 신입 네트워크 엔지니어 (CCNA) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49267107&location=ts&searchword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f7b4aeaf-1d0c-4c49-949c-739ecaefa5d4,2024-12-06 21:45:35,서울 송파구,신입,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
네트워크 엔지니어,(주)엘리스그룹,인프라 네트워크 엔지니어 정규직 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49520480&location=ts&searchword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f7b4aeaf-1d0c-4c49-949c-739ecaefa5d4,2024-12-06 21:45:39,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
네트워크 엔지니어,(주)사람인에이치에스,[정규직/을지로입구역/연봉상향] 네트워크엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49378941&location=ts&searchword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f7b4aeaf-1d0c-4c49-949c-739ecaefa5d4,2024-12-06 21:45:44,서울 중구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
네트워크 엔지니어,(주)사람인에이치에스,[정규직/강남/연봉상향] 네트워크엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499051&location=ts&searchword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f7b4aeaf-1d0c-4c49-949c-739ecaefa5d4,2024-12-06 21:45:48,서울 강남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
네트워크 엔지니어,(주)진네트웍스,[정규직] 네트워크 엔지니어 신입사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49417356&location=ts&searchword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f7b4aeaf-1d0c-4c49-949c-739ecaefa5d4,2024-12-06 21:45:52,서울 금천구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
네트워크 엔지니어,(주)아이티로그인,네트워크 엔지니어 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504493&location=ts&searchword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f7b4aeaf-1d0c-4c49-949c-739ecaefa5d4,2024-12-06 21:45:56,서울 용산구,경력5년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
네트워크 엔지니어,일에이엔(주),정보보안 및 네트워크 엔지니어 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534601&location=ts&searchword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f7b4aeaf-1d0c-4c49-949c-739ecaefa5d4,2024-12-06 21:46:00,부산 남구,경력 1~9년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
