search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
디지털마케팅,아이비케이투자증권(주),[IBK투자증권] 고객지원부/디지털마케팅부(해외주식) 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529469&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:17,서울 영등포구,경력1년↑,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,(주)크리에이팁,[글로벌마케팅그룹] 디지털마케팅 AE 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467299&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:21,서울 강남구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,해커스교육그룹,[신입/경력] 온라인 광고 마케팅(디지털마케팅(퍼포먼스 마케팅),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49085391&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:24,서울 서초구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,(주)모바일이앤엠애드,(주)모바일이앤엠애드 디지털마케팅팀 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507167&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:28,서울 송파구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,아이피지덱스트라코리아(유),[글로벌 PR사] 글로벌 브랜드 디지털마케팅 인턴 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450024&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:31,서울 강남구,신입,학력무관,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,(주)프로,2024 하반기 디지털마케팅 기획자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468715&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:34,서울 금천구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,(주)이엠넷,㈜이엠넷 서울본사 디지털마케팅 AE 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49408633&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:37,서울 구로구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,한국타이어앤테크놀로지(주),[경력] 마케팅_디지털마케팅,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507456&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:40,경기 성남시 분당구,경력4년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,(주)아인스미디어,[NICE그룹계열사] 디지털마케팅(AE) 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521469&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:45,서울 금천구,신입,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,(주)마더브레인,(주)마더브레인 디지털마케팅 AE 직급별 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49241682&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:48,서울 서초구,신입·경력,대졸↑,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,(주)우림에프엠지,"디지털마케팅 팀장급 채용 (과,차장)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490849&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:52,서울 동작구,경력 7~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,(주)사람인에이치에스,[가산/정규직] 디지털마케팅 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49348265&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:56,서울 금천구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,주식회사 유디엠,"UDM 디지털마케팅(AE) 팀장급, 채용(에이전시, 온라인마케팅)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463445&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:54:59,서울 금천구,경력 5~8년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,주식회사 유디엠,"UDM 디지털마케팅(AE) 주임급 채용(에이전시, 온라인마케팅)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525410&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:55:03,서울 금천구,경력 2~4년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,(주)코마스인터렉티브,디지털마케팅AE 경력직 모집 [디지털 광고대행사],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49406914&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:55:06,서울 강남구,경력 5~12년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
디지털마케팅,(주)플래니어,디지털마케팅기획자(AE),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49393889&location=ts&searchword=%EB%94%94%EC%A7%80%ED%84%B8%EB%A7%88%EC%BC%80%ED%8C%85&searchType=search&paid_fl=n&search_uuid=aebbc317-f0b1-4f32-91f6-a0d3aaffaa38,2024-12-07 00:55:11,서울 성동구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
