search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
마케팅 매니저,(주)네이콘,데이터 마케팅 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506171&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:25:56,서울 송파구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)엔씨에이치엔터테인먼트,[nCH엔터테인먼트] 아티스트기획 팬마케팅/팬매니저 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483070&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:00,서울 강남구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)씨유이코리아,중국 SNS채널 병원 홍보&마케팅 매니저 모집(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467425&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:04,서울 강남구,신입·경력,초대졸↑,정규직·기간제,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,스톤브릿지파트너스(주),"글로벌 팬마케팅 매니저 (인턴, 신입 가능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534312&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:08,서울 강남구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)서린메디케어,피부과/성형외과 의료기 마케팅 매니저 (과/차장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49365863&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:11,경기 용인시 기흥구,경력10년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)더파운더즈,글로벌 뷰티 화장품 브랜드 / 인플루언서 마케팅 매니저 [ANUA 아누아],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49406523&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:14,서울 강남구,경력1년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)리조트피플,[리조트피플] 브랜드&마케팅 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521856&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:17,인천 연수구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)홈체크,[20억+투자유치] 마케팅 매니저 채용 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540535&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:21,경기 용인시 기흥구,경력 3~10년,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,리디(주),[리디] 글로벌 그로스 마케팅 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508362&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:25,서울 강남구,경력 3~6년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)네이콘,[데이터 마케팅 매니저],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484048&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:29,서울 송파구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,기가바이트 테크놀로지,[GIGABYTE]마케팅 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512715&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:32,서울 용산구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,주식회사 더스타힐,해외 마케팅 매니저 신입/경력 채용 (대만/홍콩),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49425721&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:36,서울 용산구,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,주식회사 더스타힐,해외 마케팅 매니저 신입/경력 채용 (일본),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49425714&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:41,서울 용산구,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,주식회사 더스타힐,인플루언서 마케팅 매니저 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49433945&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:44,서울 용산구,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,타임앤퓨처,[재택업무] 글로벌 유학서비스 마케팅 매니저 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458079&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:48,서울 구로구,경력,대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,와이디정신건강의학과의원(YD),[ 해운대 와이디 퍼포먼스 ]  마케팅 매니저 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495995&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:52,부산 해운대구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)박태환수영장,(주)박태환수영장 마케팅매니저 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49321348&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:26:56,인천 연수구,경력 1~10년,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,유한책임회사 베러아일랜드,실력있고 역량있는 '인플루언서 마케팅 매니저'를 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49491717&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:27:00,부산 남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,헥스(주),헥스(주) 마케팅 매니저 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504326&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:27:04,서울 송파구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)다이노즈,마케팅 매니저 (경력 무관),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49252627&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:27:08,서울 강남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)크리스천메이트,"결혼정보회사 영업/마케팅 매니저 신입 모집(인센티브, 프로모션",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49356025&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:27:12,서울 서초구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)크리스천메이트,"결혼정보회사 영업/마케팅 매니저 경력 모집(인센티브, 프로모션)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49356052&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:27:17,서울 서초구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)사람인에이치에스,[강남/복지우수/고성장] 글로벌 마케팅 매니저 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49351282&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:27:20,서울 강남구,경력8년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)티에스바이오,경력직 마케팅 매니저(파트타임) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49364542&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:27:23,서울 강남구,경력 2~5년,초대졸↑,파트·아르바이트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,거쉬클라우드코리아(주),글로벌 마케팅 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49511887&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:27:26,서울 종로구,경력2년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)더파운더즈,IMC 마케팅 매니저 채용 [아누아_일본],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49407030&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:27:30,서울 강남구,경력 3~15년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
마케팅 매니저,(주)더파운더즈,퍼포먼스 마케팅 매니저 채용 [아누아_일본],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49407071&location=ts&searchword=%EB%A7%88%EC%BC%80%ED%8C%85+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=1a036374-deab-4fc0-a06a-73434cf8fd26,2024-12-07 00:27:35,서울 강남구,경력 3~15년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
