search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
물류관리,쿠팡로지스틱스서비스(유),[입사보너스150만/월최대410만가능]쿠팡CLS 물류관리자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495982&location=ts&searchword=%EB%AC%BC%EB%A5%98%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=03184932-1ad4-45b9-963d-9b49df0d4bd0,2024-12-07 14:44:49,대전 동구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류관리,디에이치엘서플라이체인코리아(주),"[DHL-장지]  물류관리직 (0명, 의료기기)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521909&location=ts&searchword=%EB%AC%BC%EB%A5%98%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=03184932-1ad4-45b9-963d-9b49df0d4bd0,2024-12-07 14:44:52,서울 송파구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류관리,비아이디씨(주),[물류관리] 비아이디씨(주) CFS운영 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506712&location=ts&searchword=%EB%AC%BC%EB%A5%98%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=03184932-1ad4-45b9-963d-9b49df0d4bd0,2024-12-07 14:44:55,부산 강서구,경력무관,대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류관리,(주)플러스테크,"[모덕역5분/연3,000/교통지원]물류관리(지게차)사원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49522886&location=ts&searchword=%EB%AC%BC%EB%A5%98%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=03184932-1ad4-45b9-963d-9b49df0d4bd0,2024-12-07 14:44:58,부산 사상구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류관리,(주)시오,"[의료기기 물류 / 영업] 배송, 창고 관리, 물류관리, 영업",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49477877&location=ts&searchword=%EB%AC%BC%EB%A5%98%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=03184932-1ad4-45b9-963d-9b49df0d4bd0,2024-12-07 14:45:01,부산 금정구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류관리,(주)피코이노베이션,"Java, Spring 개발/물류영업/CS 매니저/영업 제휴/물류관리자",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49401344&location=ts&searchword=%EB%AC%BC%EB%A5%98%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=03184932-1ad4-45b9-963d-9b49df0d4bd0,2024-12-07 14:45:04,서울 서초구,신입·경력,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류관리,(주)파이어프로코리아,물류관리 담당자 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49405893&location=ts&searchword=%EB%AC%BC%EB%A5%98%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=03184932-1ad4-45b9-963d-9b49df0d4bd0,2024-12-07 14:45:09,경기 부천시,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류관리,(주)현대정밀,(주)현대정밀 영업지원(창고/재고/물류관리) 담당 채용(1),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532926&location=ts&searchword=%EB%AC%BC%EB%A5%98%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=03184932-1ad4-45b9-963d-9b49df0d4bd0,2024-12-07 14:45:12,대구 달성군,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류관리,(주)구시코리아,"[경력무관] 물류관리, 창고관리, 재고관리 정규직 채용합니다",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523170&location=ts&searchword=%EB%AC%BC%EB%A5%98%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=03184932-1ad4-45b9-963d-9b49df0d4bd0,2024-12-07 14:45:16,부산 금정구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류관리,(주)제이케이엔코리아,[물류관리] 쿠팡 사이트 관리 및 기타 업무 보조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49513282&location=ts&searchword=%EB%AC%BC%EB%A5%98%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=03184932-1ad4-45b9-963d-9b49df0d4bd0,2024-12-07 14:45:20,부산 연제구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류관리,태림포장(주)마산공장,물류관리 정규직 채용 (주간근무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498836&location=ts&searchword=%EB%AC%BC%EB%A5%98%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=03184932-1ad4-45b9-963d-9b49df0d4bd0,2024-12-07 14:45:25,경남 함안군,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
