search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
물류컨설턴트,쿠팡(주),[쿠팡] 쿠팡 신사업(쿠팡포스) 영업사원 대규모 채용(서울권),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483162&location=ts&searchword=%EB%AC%BC%EB%A5%98%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=560318dd-389e-4576-9873-c90b6fab4e8c,2024-12-08 00:18:14,서울전체,신입·경력,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류컨설턴트,(주)싸이버로지텍,해운 IT솔루션 Business Consultant/Product Owner,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495396&location=ts&searchword=%EB%AC%BC%EB%A5%98%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=560318dd-389e-4576-9873-c90b6fab4e8c,2024-12-08 00:18:18,서울 마포구,경력10년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류컨설턴트,(주)싸이버로지텍,Junior IT Business Consultant (Product Owner),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495389&location=ts&searchword=%EB%AC%BC%EB%A5%98%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=560318dd-389e-4576-9873-c90b6fab4e8c,2024-12-08 00:18:22,서울 마포구,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류컨설턴트,(주)진인프라,각 부문 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451423&location=ts&searchword=%EB%AC%BC%EB%A5%98%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=560318dd-389e-4576-9873-c90b6fab4e8c,2024-12-08 00:18:25,서울 송파구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류컨설턴트,㈜토탈소프트뱅크,토탈소프트뱅크 채용 (CS팀) 유지보수/고객지원 업무 일본,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49373572&location=ts&searchword=%EB%AC%BC%EB%A5%98%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=560318dd-389e-4576-9873-c90b6fab4e8c,2024-12-08 00:18:29,부산 해운대구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류컨설턴트,(주)선진펫,[(주)선진펫] 펫마트 가맹점 영업개설/점포 개발 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504884&location=ts&searchword=%EB%AC%BC%EB%A5%98%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=560318dd-389e-4576-9873-c90b6fab4e8c,2024-12-08 00:18:32,경북 청도군,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류컨설턴트,(주)아이에스티엔,ISTN [SAP S/4HANA Private&Public Cloud 구축 컨설턴트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411653&location=ts&searchword=%EB%AC%BC%EB%A5%98%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=560318dd-389e-4576-9873-c90b6fab4e8c,2024-12-08 00:18:35,서울 송파구,경력5년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류컨설턴트,(주)알엠에쓰플렛폼,사업관리 및 수행PM 경력자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49392709&location=ts&searchword=%EB%AC%BC%EB%A5%98%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=560318dd-389e-4576-9873-c90b6fab4e8c,2024-12-08 00:18:38,서울 마포구,경력5년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류컨설턴트,(주)알엠에쓰플렛폼,IT 서비스 기획 및 설계 인재 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49391820&location=ts&searchword=%EB%AC%BC%EB%A5%98%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=560318dd-389e-4576-9873-c90b6fab4e8c,2024-12-08 00:18:43,서울 마포구,경력3년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
물류컨설턴트,(사)한국컨설팅산업협회,해외 영업 마케팅 컨설턴트 [대기업 임/간부 출신 우대],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49189309&location=ts&searchword=%EB%AC%BC%EB%A5%98%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=560318dd-389e-4576-9873-c90b6fab4e8c,2024-12-08 00:18:47,서울 강남구,신입·경력,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
