search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
법률검토,(주)두잉씨앤에스,주식회사 두잉씨앤에스 법무팀 팀원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512140&location=ts&searchword=%EB%B2%95%EB%A5%A0%EA%B2%80%ED%86%A0&searchType=search&paid_fl=n&search_uuid=fe92f6c1-aafe-4e25-aa6e-c615e9288854,2024-12-07 22:04:11,경기 성남시 분당구,경력 1~5년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법률검토,(주)비바리퍼블리카,[토스페이먼츠] Legal Counsel,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497091&location=ts&searchword=%EB%B2%95%EB%A5%A0%EA%B2%80%ED%86%A0&searchType=search&paid_fl=n&search_uuid=fe92f6c1-aafe-4e25-aa6e-c615e9288854,2024-12-07 22:04:15,서울 강남구,경력3년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법률검토,㈜랩지노믹스,[랩지노믹스] 경영기획본부 경영관리팀 법무 인재 영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517418&location=ts&searchword=%EB%B2%95%EB%A5%A0%EA%B2%80%ED%86%A0&searchType=search&paid_fl=n&search_uuid=fe92f6c1-aafe-4e25-aa6e-c615e9288854,2024-12-07 22:04:18,경기 성남시 분당구,경력 4~8년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법률검토,(주)넥스젠파이낸스대부,[구디역 인근] 법무본부 법률사무원(경력직) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49385677&location=ts&searchword=%EB%B2%95%EB%A5%A0%EA%B2%80%ED%86%A0&searchType=search&paid_fl=n&search_uuid=fe92f6c1-aafe-4e25-aa6e-c615e9288854,2024-12-07 22:04:22,서울 구로구,경력,고졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법률검토,엔에이치농협캐피탈(주),2025년 NH농협캐피탈 신규직원[신입·경력] 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523319&location=ts&searchword=%EB%B2%95%EB%A5%A0%EA%B2%80%ED%86%A0&searchType=search&paid_fl=n&search_uuid=fe92f6c1-aafe-4e25-aa6e-c615e9288854,2024-12-07 22:04:26,전국,경력무관,학력무관,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법률검토,닥터파인드,해외 변호사 해외기업법무 팀원급 매출 2조 우량 빅5제약사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512487&location=ts&searchword=%EB%B2%95%EB%A5%A0%EA%B2%80%ED%86%A0&searchType=search&paid_fl=n&search_uuid=fe92f6c1-aafe-4e25-aa6e-c615e9288854,2024-12-07 22:04:30,서울 동작구,경력 2~6년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법률검토,(주)부동산플래닛파트너스,부동산 자산관리(PM) 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49373950&location=ts&searchword=%EB%B2%95%EB%A5%A0%EA%B2%80%ED%86%A0&searchType=search&paid_fl=n&search_uuid=fe92f6c1-aafe-4e25-aa6e-c615e9288854,2024-12-07 22:04:34,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법률검토,에이치엘만도(주),"[HL만도] 2024년 12월 경력 수시채용(판교, 평택, 미국법인)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526962&location=ts&searchword=%EB%B2%95%EB%A5%A0%EA%B2%80%ED%86%A0&searchType=search&paid_fl=n&search_uuid=fe92f6c1-aafe-4e25-aa6e-c615e9288854,2024-12-07 22:04:37,경기 평택시,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법률검토,케이투코리아(주),"[케이투코리아그룹] 법무, 내부감사 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49187334&location=ts&searchword=%EB%B2%95%EB%A5%A0%EA%B2%80%ED%86%A0&searchType=search&paid_fl=n&search_uuid=fe92f6c1-aafe-4e25-aa6e-c615e9288854,2024-12-07 22:04:41,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법률검토,한국화학연구원,한국화학연구원 정직원(경영행정) 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49515044&location=ts&searchword=%EB%B2%95%EB%A5%A0%EA%B2%80%ED%86%A0&searchType=search&paid_fl=n&search_uuid=fe92f6c1-aafe-4e25-aa6e-c615e9288854,2024-12-07 22:04:43,대전 유성구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
