search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
법무,(주)씨케이솔루션,CK솔루션 경영관리본부 경력직 공개채용 [경영기획팀/회계팀/법무담당/전산담당],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49253835&location=ts&searchword=%EB%B2%95%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=65509e38-77ca-4120-85d1-2b90542d6353,2024-12-07 21:40:19,경기 용인시 기흥구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법무,웹케시(주),"신입/경력직 모집(개발,마케팅,경영기획,법무 등)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535563&location=ts&searchword=%EB%B2%95%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=65509e38-77ca-4120-85d1-2b90542d6353,2024-12-07 21:40:22,서울 영등포구,신입·경력,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법무,법무법인와이케이,"[국내TOP7로펌/법무법인YK] 송무팀, 상담실장직 채용 건",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478926&location=ts&searchword=%EB%B2%95%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=65509e38-77ca-4120-85d1-2b90542d6353,2024-12-07 21:40:26,경기 고양시,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법무,법무법인와이케이,[국내TOP7로펌/법무법인YK] 강남본사 공개채용(비대면 상담/추심/경영지원/기획),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544216&location=ts&searchword=%EB%B2%95%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=65509e38-77ca-4120-85d1-2b90542d6353,2024-12-07 21:40:30,서울 강남구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법무,케이투코리아(주),"[케이투코리아그룹] 법무, 내부감사 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49187334&location=ts&searchword=%EB%B2%95%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=65509e38-77ca-4120-85d1-2b90542d6353,2024-12-07 21:40:34,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법무,에이스휴먼파워(주),[중구/본점] 하나은행 법무지원부 행정사무 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390274&location=ts&searchword=%EB%B2%95%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=65509e38-77ca-4120-85d1-2b90542d6353,2024-12-07 21:40:37,서울 중구,경력무관,학력무관,계약직·파견직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법무,에이스휴먼파워(주),[종각/ASAP] 신한저축은행 리테일 사후관리/ 금융사무/ 법무보조,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481135&location=ts&searchword=%EB%B2%95%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=65509e38-77ca-4120-85d1-2b90542d6353,2024-12-07 21:40:41,서울 중구,경력1년↑,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법무,아이비커리어(주),[코스닥/중견] 다우데이타 본사 법무 사무직 채용(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49505876&location=ts&searchword=%EB%B2%95%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=65509e38-77ca-4120-85d1-2b90542d6353,2024-12-07 21:40:44,서울 마포구,경력무관,학력무관,파견직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법무,법무법인 태성,법무법인 송무직원 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529476&location=ts&searchword=%EB%B2%95%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=65509e38-77ca-4120-85d1-2b90542d6353,2024-12-07 21:40:48,서울 서초구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
법무,(주)지엠이대부,"[외국계] 지엠이대부 경영본부, 법무, 채권추심  채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394560&location=ts&searchword=%EB%B2%95%EB%AC%B4&searchType=search&paid_fl=n&search_uuid=65509e38-77ca-4120-85d1-2b90542d6353,2024-12-07 21:40:52,서울 영등포구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
