search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
변호사,변호사김진형법률사무소,변호사 사무실(법률사무소)사무직원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481774&location=ts&searchword=%EB%B3%80%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e8ef38ea-5c5d-432e-8a19-e02f82570f52,2024-12-07 21:25:59,대구 수성구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
변호사,쿠팡(주),[쿠팡] 사내 변호사 (EHS Legal),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49259074&location=ts&searchword=%EB%B3%80%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e8ef38ea-5c5d-432e-8a19-e02f82570f52,2024-12-07 21:26:02,서울 송파구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
변호사,(주)신한은행,[신한은행] 국내 변호사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518038&location=ts&searchword=%EB%B3%80%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e8ef38ea-5c5d-432e-8a19-e02f82570f52,2024-12-07 21:26:06,서울 중구,신입·경력,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
변호사,(주)잡플러스코리아,[건설사/상장기업]-사내변호사 및 인사담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49389239&location=ts&searchword=%EB%B3%80%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e8ef38ea-5c5d-432e-8a19-e02f82570f52,2024-12-07 21:26:09,서울 서초구,경력 4~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
변호사,법무법인 동주,로펌·변호사·법률·법무광고 마케팅팀 블로그 컨텐츠 마케터,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486923&location=ts&searchword=%EB%B3%80%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e8ef38ea-5c5d-432e-8a19-e02f82570f52,2024-12-07 21:26:12,서울 강남구,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
변호사,법무법인혜암,[법무법인 혜암] 서울 응암역 변호사사무실 송무직(신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49438311&location=ts&searchword=%EB%B3%80%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e8ef38ea-5c5d-432e-8a19-e02f82570f52,2024-12-07 21:26:17,서울 은평구,신입,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
변호사,법무법인혜암,[법무법인 혜암] 서울 응암역 변호사사무실 송무 알바,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49438607&location=ts&searchword=%EB%B3%80%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e8ef38ea-5c5d-432e-8a19-e02f82570f52,2024-12-07 21:26:19,서울 은평구,신입,고졸↑,정규직·아르바이트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
변호사,강앤파트너스 변호사 박성원,[강앤파트너스 공동법률사무소 박성원 변호사] 송무직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516379&location=ts&searchword=%EB%B3%80%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e8ef38ea-5c5d-432e-8a19-e02f82570f52,2024-12-07 21:26:24,서울 송파구,신입,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
변호사,변호사손탁현법률사무소,변호사손탁현손금주법률사무소 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528779&location=ts&searchword=%EB%B3%80%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e8ef38ea-5c5d-432e-8a19-e02f82570f52,2024-12-07 21:26:28,울산 남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
변호사,태연법률사무소,[법률사무원] 대표 변호사님 담당 비서 직원 채용의 건,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530565&location=ts&searchword=%EB%B3%80%ED%98%B8%EC%82%AC&searchType=search&paid_fl=n&search_uuid=e8ef38ea-5c5d-432e-8a19-e02f82570f52,2024-12-07 21:26:32,서울 강남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
