search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
브랜드 매니저,(주)우림에프엠지,"주얼리 기획MD / 브랜드매니저 채용 [스톤헨지, 1년이상]",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49503507&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:38:20,서울 동작구,경력 1~4년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,(주)빅터코퍼레이션,해외영업 (인터내셔널브랜드매니저)  신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534822&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:38:24,서울 용산구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,(주)엘씨드인터내셔널,[화장품/건강기능식품] 브랜드매니저(BM) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49250744&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:38:29,서울 강남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,티에스케이인터내셔널(주),[Muez]코스메틱(화장품) 브랜드매니저(BM)/웹 디자이너 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498416&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:38:33,경기 오산시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,(주)유한건강생활,[유한건강생활] 건강(기능)식품 브랜드 매니저 (BM) 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519012&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:38:36,서울 영등포구,경력 3~8년,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,(주)뮬라,[뮬라웨어] 애슬레저 마케팅팀(브랜드매니저) 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525780&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:38:40,서울 성동구,경력 3~5년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,(주)에프에이모스트,"[앤니즈/더현대서울]디자이너 브랜드 매니저,시니어,주니어 구인",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467942&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:38:43,서울 영등포구,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,(주)와이어트,브랜드 매니저(파트장~팀장) 채용 [닥터포헤어],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492862&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:38:48,서울 강남구,경력7년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,원앤원㈜,[원할머니본사] 외식 브랜드 매니저 경력직 채용 (마케팅 BM),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49366329&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:38:51,서울 성동구,경력5년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,(주)장피셜,"[ 뷰티에스테틱 업계1위, 파메스테틱 ] 브랜드매니저 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497236&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:38:55,서울 중구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,삼경리테일(주),면세화장품 브랜드매니저 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481347&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:38:59,서울 강남구,경력 5~20년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,(주)모다모다,모다모다 브랜드매니저(BM) 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49440315&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:39:02,서울 송파구,경력2년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,(주)비엔코,[누디크] 상품기획 개발 뷰티 BM 브랜드 매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526049&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:39:06,서울 강서구,경력 5~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
브랜드 매니저,(주)인티그레이션,[한의계 대표 스타트업] 브랜드 매니저 (화장품),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49461657&location=ts&searchword=%EB%B8%8C%EB%9E%9C%EB%93%9C+%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=249cc00c-a71d-47bc-98cf-c5f73d67f5a5,2024-12-07 00:39:10,서울 강남구,경력3년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
