search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
사업기획,(주)뉴젠아이엔에스,사업기획 보조 및 경영지원 직원채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530460&location=ts&searchword=%EC%82%AC%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=4046a954-0586-4224-a2ed-950d9fbe7f32,2024-12-06 23:45:55,부산 해운대구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
사업기획,씨에이치디(주),[인턴/정규직전환가능] 반려동물 사업기획 채용(신입/2년이하),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465228&location=ts&searchword=%EC%82%AC%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=4046a954-0586-4224-a2ed-950d9fbe7f32,2024-12-06 23:45:58,경기 고양시 일산동구,신입·경력,학력무관,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
사업기획,한솔로지스틱스(주),[한솔로지스틱스] 글로벌사업기획팀 정규직(경력) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476218&location=ts&searchword=%EC%82%AC%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=4046a954-0586-4224-a2ed-950d9fbe7f32,2024-12-06 23:46:02,서울 중구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
사업기획,(주)서울랜드,2024년 서울랜드 DI사업 부문 사업기획 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49482921&location=ts&searchword=%EC%82%AC%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=4046a954-0586-4224-a2ed-950d9fbe7f32,2024-12-06 23:46:06,서울 강남구,경력10년↑,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
사업기획,(재)씨젠의료재단,씨젠의료재단 마케팅본부 사업기획팀 전문인력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536730&location=ts&searchword=%EC%82%AC%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=4046a954-0586-4224-a2ed-950d9fbe7f32,2024-12-06 23:46:10,서울 성동구,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
사업기획,(주)맨파워그룹코리아,[대기업/드라마] 사업기획 담당,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532818&location=ts&searchword=%EC%82%AC%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=4046a954-0586-4224-a2ed-950d9fbe7f32,2024-12-06 23:46:14,서울 송파구,경력 5~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
사업기획,웨이즈원(주),[웨이즈원(주)] 사업기획 직무 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390325&location=ts&searchword=%EC%82%AC%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=4046a954-0586-4224-a2ed-950d9fbe7f32,2024-12-06 23:46:17,경기 의왕시,경력 2~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
사업기획,(주)이안,[사업기획/프로젝트매니저/정부과제관리] 테크니컬 기획자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49515400&location=ts&searchword=%EC%82%AC%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=4046a954-0586-4224-a2ed-950d9fbe7f32,2024-12-06 23:46:20,서울 금천구,경력5년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
사업기획,와이앤아처(주),[와이앤아처 주식회사]  신사업기획 및 운영 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537095&location=ts&searchword=%EC%82%AC%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=4046a954-0586-4224-a2ed-950d9fbe7f32,2024-12-06 23:46:24,서울 강남구,경력무관,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
사업기획,엔카닷컴(주),B2C 사업기획,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539075&location=ts&searchword=%EC%82%AC%EC%97%85%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=4046a954-0586-4224-a2ed-950d9fbe7f32,2024-12-06 23:46:28,서울 중구,경력 3~5년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
