search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
상품기획자,(주)뉴온,[건강기능식품] 상품기획자(BM) 신입/경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528700&location=ts&searchword=%EC%83%81%ED%92%88%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ab042169-19c0-4d0a-8e5d-b0eb3788b59b,2024-12-07 00:46:10,대구 북구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
상품기획자,(주)부스터스,글로벌 뷰티 브랜드 상품기획자 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49430202&location=ts&searchword=%EC%83%81%ED%92%88%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ab042169-19c0-4d0a-8e5d-b0eb3788b59b,2024-12-07 00:46:15,서울 강남구,경력 3~10년,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
상품기획자,(주)워로브라더스,"상품기획자(소형가전, 차량/캠핑용품) 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498005&location=ts&searchword=%EC%83%81%ED%92%88%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ab042169-19c0-4d0a-8e5d-b0eb3788b59b,2024-12-07 00:46:18,경기 하남시,경력2년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
상품기획자,(주)이삼오구,"[온라인 커머스] 상품기획자(화장품), CX 기획자 경력자 영입",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49263777&location=ts&searchword=%EC%83%81%ED%92%88%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ab042169-19c0-4d0a-8e5d-b0eb3788b59b,2024-12-07 00:46:22,서울 강남구,경력 2~15년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
상품기획자,(주)휴먼트리월드와이드,글로벌(일본) 콘텐츠 상품기획자 (성인 직무교육 플랫폼기업),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516785&location=ts&searchword=%EC%83%81%ED%92%88%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ab042169-19c0-4d0a-8e5d-b0eb3788b59b,2024-12-07 00:46:26,서울 강남구,경력 1~8년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
상품기획자,(주)휴먼트리월드와이드,글로벌(북미권) 콘텐츠 상품기획자 (성인 직무교육 플랫폼기업),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516813&location=ts&searchword=%EC%83%81%ED%92%88%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ab042169-19c0-4d0a-8e5d-b0eb3788b59b,2024-12-07 00:46:31,서울 강남구,경력 1~8년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
상품기획자,왈로우,"상품기획자 (소형가전, 차량/캠핑용품) 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49494328&location=ts&searchword=%EC%83%81%ED%92%88%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ab042169-19c0-4d0a-8e5d-b0eb3788b59b,2024-12-07 00:46:35,경기 하남시,경력2년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
상품기획자,올릿,[미디어커머스] 뷰티/커머스 상품기획자 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512701&location=ts&searchword=%EC%83%81%ED%92%88%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ab042169-19c0-4d0a-8e5d-b0eb3788b59b,2024-12-07 00:46:39,서울 구로구,경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
상품기획자,(주)어빌리티스,[어빌리티스] 이너케어 티 브랜드 오다다 상품기획자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49331506&location=ts&searchword=%EC%83%81%ED%92%88%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ab042169-19c0-4d0a-8e5d-b0eb3788b59b,2024-12-07 00:46:42,서울 마포구,경력2년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
상품기획자,유씨엘(주),유씨엘(주) 화장품 OEM/ODM 상품기획자 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49455087&location=ts&searchword=%EC%83%81%ED%92%88%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=ab042169-19c0-4d0a-8e5d-b0eb3788b59b,2024-12-07 00:46:45,서울 영등포구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
