search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
생산관리,모트라스(주),현대자동차그룹 모트라스(주) 관리직 생산관리 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497865&location=ts&searchword=%EC%83%9D%EC%82%B0%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=f6fa26a7-4dc5-4770-8373-3287510ce1f5,2024-12-07 13:53:23,광주 광산구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
생산관리,(주)이수페타시스,"이수페타시스 채용(환경안전, 공정, 품질보증, 생산관리, 자재)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476684&location=ts&searchword=%EC%83%9D%EC%82%B0%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=f6fa26a7-4dc5-4770-8373-3287510ce1f5,2024-12-07 13:53:27,대구 달성군,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
생산관리,(주)디알 액시온,(주)디알모빌리티 부문별 채용(생산관리),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504302&location=ts&searchword=%EC%83%9D%EC%82%B0%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=f6fa26a7-4dc5-4770-8373-3287510ce1f5,2024-12-07 13:53:31,부산 기장군,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
생산관리,우성전기공업(주),"[중국공장] 각 부문별 직원채용( 품질관리, 생산관리, 금형관리, 금형개발 )",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49462666&location=ts&searchword=%EC%83%9D%EC%82%B0%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=f6fa26a7-4dc5-4770-8373-3287510ce1f5,2024-12-07 13:53:34,중국.홍콩 산동성,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
생산관리,모트라스(주),현대자동차그룹 모트라스(주) 관리직 생산관리 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497919&location=ts&searchword=%EC%83%9D%EC%82%B0%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=f6fa26a7-4dc5-4770-8373-3287510ce1f5,2024-12-07 13:53:38,충남 아산시,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
생산관리,모트라스(주),현대자동차그룹 모트라스(주) 사무직 생산관리 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497940&location=ts&searchword=%EC%83%9D%EC%82%B0%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=f6fa26a7-4dc5-4770-8373-3287510ce1f5,2024-12-07 13:53:41,충남 아산시,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
생산관리,에드워드코리아(주),"생산기술/공정기술/생산관리, 조립공정Engineer 채용(대리-과장)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518727&location=ts&searchword=%EC%83%9D%EC%82%B0%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=f6fa26a7-4dc5-4770-8373-3287510ce1f5,2024-12-07 13:53:45,충남 천안시 서북구,경력 3~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
생산관리,해태에이치티비(주),[해태에이치티비(주)]  천안사업장 생산관리 사무직 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49358034&location=ts&searchword=%EC%83%9D%EC%82%B0%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=f6fa26a7-4dc5-4770-8373-3287510ce1f5,2024-12-07 13:53:48,충남 천안시 동남구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
생산관리,해태에이치티비(주),[해태에이치티비(주)]  익산사업장 생산관리 사무직 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49365184&location=ts&searchword=%EC%83%9D%EC%82%B0%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=f6fa26a7-4dc5-4770-8373-3287510ce1f5,2024-12-07 13:53:51,전북 익산시,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
생산관리,금용기계(주),생산관리 부문 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530951&location=ts&searchword=%EC%83%9D%EC%82%B0%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=f6fa26a7-4dc5-4770-8373-3287510ce1f5,2024-12-07 13:53:56,경북 칠곡군,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
