search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
서비스기획,넛지헬스케어(주),[넛지헬스케어] 서비스기획 채용전환형 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537342&location=ts&searchword=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=y&search_uuid=2822f1ab-df4f-4998-8108-4c655f75f9ef,2024-12-07 23:14:07,서울 강남구,경력무관,대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
서비스기획,현대오토에버(주),스마트오피스 SW플랫폼 서비스기획 및 사업개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396299&location=ts&searchword=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=2822f1ab-df4f-4998-8108-4c655f75f9ef,2024-12-07 23:14:12,서울 강남구,경력3년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
서비스기획,네이버시스템(주),웹개발 / 서비스기획  경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49538689&location=ts&searchword=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=2822f1ab-df4f-4998-8108-4c655f75f9ef,2024-12-07 23:14:15,서울 송파구,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
서비스기획,페이레터㈜,페이레터(주) 서비스기획 신입/경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49443456&location=ts&searchword=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=2822f1ab-df4f-4998-8108-4c655f75f9ef,2024-12-07 23:14:19,서울 강남구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
서비스기획,주식회사 핌아시아,[핌아시아 떠리몰] 이커머스 MD/개발/서비스기획/마케팅/디자인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498404&location=ts&searchword=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=2822f1ab-df4f-4998-8108-4c655f75f9ef,2024-12-07 23:14:23,서울 강남구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
서비스기획,(주)위펀,(주)위펀 - 서비스기획 Lead (Senior),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49374053&location=ts&searchword=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=2822f1ab-df4f-4998-8108-4c655f75f9ef,2024-12-07 23:14:25,서울 강남구,경력5년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
서비스기획,스타법무법인,[대구] 전략기획본부 마케팅파트 서비스기획 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49533762&location=ts&searchword=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=2822f1ab-df4f-4998-8108-4c655f75f9ef,2024-12-07 23:14:29,대구 중구,신입·경력,학력무관,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
서비스기획,(주)이롬넷,(주)이롬넷 PayVerse기획팀 서비스기획 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49377972&location=ts&searchword=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=2822f1ab-df4f-4998-8108-4c655f75f9ef,2024-12-07 23:14:33,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
서비스기획,십일번가(주),[11번가] 서비스기획 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49362640&location=ts&searchword=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=2822f1ab-df4f-4998-8108-4c655f75f9ef,2024-12-07 23:14:37,경기 광명시,경력 3~10년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
서비스기획,십일번가(주),[11번가] 서비스기획 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49355161&location=ts&searchword=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=2822f1ab-df4f-4998-8108-4c655f75f9ef,2024-12-07 23:14:41,경기 광명시,경력3년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
