search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
설비관리,(주)에코앤드림,[코스닥] 이차전지 소재 생산공장 설비관리 업무 경력 채용-청주,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519178&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:17:42,충북 청주시 흥덕구,경력10년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,(주)사람인에이치에스,[높은연봉/정규직/코스피사] 설비관리팀(주임~과장급) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49393403&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:17:45,전남 광양시,경력 1~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,한국전구체(주),고려아연 계열 한국전구체(주) 설비관리 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512083&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:17:48,울산 울주군,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,하이엠케이(주),[LS머트리얼즈 자회사]하이엠케이 영업/회계/설비관리 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49460312&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:17:52,경기 안양시,경력4년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,(주)삼구아이앤씨,마곡 머큐어 호텔 설비관리자 (조장) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49422339&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:17:55,서울 강서구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,(주)아성다이소,다이소 안성물류센터 설비관리팀 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49290445&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:17:58,경기 안성시,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,(주)아성다이소,다이소 안성물류센터 설비관리 현장직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49493489&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:01,경기 안성시,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,동일알루미늄(주),동일알루미늄(주)천안공장 설비관리팀(기계파트)신입사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471581&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:06,충남 천안시 서북구,신입,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,㈜영풍,"[(주)영풍 석포제련소] 생산, 설비관리부문 사원(정규직/기간제)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49174563&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:10,경북 봉화군,경력무관,학력무관,정규직·기간제,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,(주)지오메디칼,(주)지오메디칼 포장팀 경력 채용(생산 및 설비관리),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49444584&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:13,광주 북구,경력2년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,(주)디와이엠솔루션,설비관리 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49406395&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:17,충남 천안시 서북구,경력 3~6년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,와이시피(주),전기시설물  유지보수/자동화 설비관리자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49433954&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:20,부산 사하구,경력5년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,신생공업(주),설비관리팀(공무) 직원 채용의 건,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49509589&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:24,대구 달서구,경력1년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,하나머티리얼즈(주),[UT관리 공무] Utility 설비관리 업무,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49460447&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:29,충남 아산시,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,(주)글로벌컨셉츠코리아,설비관리 신입 경력 정규직 모집(공무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508153&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:32,경기 시흥시,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,(주)대웅,(주)대웅 공무팀 공무(설비관리) 경력직 채용[롯데/제조기업],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49427790&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:36,경기 부천시 원미구,경력5년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,(주)재세능원,재세능원(2차전지 양극재)설비관리팀 운용직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49319526&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:40,충북 충주시,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,(주)삼일씨엔에스,[삼일씨엔에스 군산공장]설비관리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49194219&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:45,전북 군산시,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,디아이시스템(주),설비관리 공무팀 사원모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475107&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:48,경남 김해시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,에코텍알엠(주),시설 유지보수 설비관리팀(공무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49514414&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:52,경기 화성시,경력1년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
설비관리,(주)에스에스케이,[전기설비관리] 전기설비관리 담당자 채용 (공무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49484874&location=ts&searchword=%EC%84%A4%EB%B9%84%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=92b1f891-2c76-4ec8-a882-c91280ad43a2,2024-12-07 14:18:56,충북 음성군,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
