search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
소방설계,(주)대광엔지니어링,전기설계. 통신설계. 소방설계. CAD. 신입및경력 사원을 모집함,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498343&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:49:55,서울 영등포구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)지케이엔지니어링,건축기계설비설계 & 기계소방설계 경력사원 모집.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463724&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:49:59,서울 송파구,경력 3~10년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)지케이이엔지,설계1본부 통신설계/소방설계/전기설계 경력직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535882&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:02,서울 성동구,경력 3~10년,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)에스텍시스템,(주)에스텍시스템 소방사업본부 소방설계 신입사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49191569&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:05,서울 강남구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,동양기산(주),[동양기산] 가스계 소화설비 설계 / 소방설계 / 신규 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49267296&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:09,서울 영등포구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)해치에프엔씨,소방설계(전기) 신입 및 경력자 모집합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49403481&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:12,서울 금천구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)해치에프엔씨,소방설계(기계) 신입 및 경력자 모집합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49403469&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:15,서울 금천구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)서원이엔지,전기설계/소방설계/통신설계 정규직 모집합니다(경력&신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49452541&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:19,경기 시흥시,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)서정이앤지,소방설계분야 신입 및 경력 (기계 및 전기),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49170431&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:23,경기 과천시,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)한국티이씨,건축전기/통신/전기소방설계(CAD) 분야 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49437345&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:26,서울 강서구,경력1년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,대호전기(주),[소방설계] 소방설비기사(기계) 사무직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49428438&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:31,광주 북구,경력 1~10년,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)수양엔지니어링,"건축기계설계,소방설계(cad) 경력 채용 - 정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487045&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:34,서울 강남구,신입,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,삼두종합기술(주),소방설계 경력자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49459733&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:38,울산 남구,경력 7~20년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)건일방재,[건일방재] 소방설계 (기계분야) 경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49353994&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:40,서울 금천구,경력5년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)씨엔아이엔지니어링,기계소방설계 경력직 채용(전기소방 가능자 우대)-경력 5년 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472341&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:45,서울 강남구,경력5년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,동양기산(주),[동양기산] 가스계 소화설비 설계 / 소방설계 / 신입 신규 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478778&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:48,서울 영등포구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,동양기산(주),[동양기산] 가스계 소화설비 설계 / 소방설계 / 설계 인원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478802&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:53,서울 영등포구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)스마트이앤텍,[소방/방재] 소방설계 직원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49372928&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:50:56,부산 동래구,경력 3~5년,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,플러스소방산업(주),[소방/방재] 소방설계 담당 경력직 직원 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49367236&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:51:00,서울 노원구,경력 1~3년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,한북기술단,"건축기계설계 , 기계소방설계 신입사원 및 경력자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467748&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:51:03,경기 의정부시,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,예일엔지니어링기술사사무소,전기통신소방설계 경력자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49511047&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:51:08,경기 수원시 권선구,경력7년↓,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)기광엔지니어링,"전기설계(전기, 통신), 소방설비설계(전기) 신입사원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543560&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:51:11,서울 구로구,신입,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)기광엔지니어링,"전기설계(전기, 통신), 소방설비설계(전기) 경력사원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543574&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:51:16,서울 구로구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)세이프시스템,소방 방재 설계부서 기술직 신입 인원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487531&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:51:19,경기 용인시 수지구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
소방설계,(주)더힐이앤씨,"건축물의 전기, 통신, 소방 설계자를 모집합니다.(신입사원채용)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536972&location=ts&searchword=%EC%86%8C%EB%B0%A9%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=b50a0b4b-6605-4dbb-bd89-849792dbdc21,2024-12-07 18:51:22,서울 금천구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
