search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
시스템 엔지니어,(주)위즈코리아,"㈜위즈코리아/㈜위즈COK SE(시스템 엔지니어), PM 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536432&location=ts&searchword=%EC%8B%9C%EC%8A%A4%ED%85%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=56b8fc58-ec0e-430b-8a46-4d2c17f6d8a6,2024-12-06 21:29:21,서울 강서구,신입·경력,학력무관,정규직·병역특례,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
시스템 엔지니어,한온시스템(주),"한온시스템(주) 열관리, 히트펌프 및 HVAC시스템 엔지니어 경력",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536118&location=ts&searchword=%EC%8B%9C%EC%8A%A4%ED%85%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=56b8fc58-ec0e-430b-8a46-4d2c17f6d8a6,2024-12-06 21:29:24,대전 대덕구,경력 6~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
시스템 엔지니어,(주)사이버다임,클라우드 운영팀 시스템 엔지니어 (운영 지원) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49399976&location=ts&searchword=%EC%8B%9C%EC%8A%A4%ED%85%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=56b8fc58-ec0e-430b-8a46-4d2c17f6d8a6,2024-12-06 21:29:26,서울 송파구,신입,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
시스템 엔지니어,(주)유아이에스,"IT 시스템 엔지니어(서버, 가상화, 클라우드) 신입 및 경력 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49514992&location=ts&searchword=%EC%8B%9C%EC%8A%A4%ED%85%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=56b8fc58-ec0e-430b-8a46-4d2c17f6d8a6,2024-12-06 21:29:31,대전 유성구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
시스템 엔지니어,(주)엘림넷,클라우드 / 시스템엔지니어 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49345886&location=ts&searchword=%EC%8B%9C%EC%8A%A4%ED%85%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=56b8fc58-ec0e-430b-8a46-4d2c17f6d8a6,2024-12-06 21:29:34,서울 금천구,신입,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
시스템 엔지니어,주식회사 엔투원시스템,"네트워크 및 정보보안 시스템 엔지니어 모집(서울, 본사)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49357181&location=ts&searchword=%EC%8B%9C%EC%8A%A4%ED%85%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=56b8fc58-ec0e-430b-8a46-4d2c17f6d8a6,2024-12-06 21:29:38,서울 성동구,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
시스템 엔지니어,(주)사이버텔브릿지,[기술지원] 시스템엔지니어 신입/경력직 채용(부산),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49422679&location=ts&searchword=%EC%8B%9C%EC%8A%A4%ED%85%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=56b8fc58-ec0e-430b-8a46-4d2c17f6d8a6,2024-12-06 21:29:43,부산 중구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
시스템 엔지니어,(주)나일소프트,시스템 엔지니어 (보안제품/리눅스 기술지원) 신입/경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495017&location=ts&searchword=%EC%8B%9C%EC%8A%A4%ED%85%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=56b8fc58-ec0e-430b-8a46-4d2c17f6d8a6,2024-12-06 21:29:46,서울 구로구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
시스템 엔지니어,카페24(주),[매니지드서비스팀] 호스팅 시스템 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49522965&location=ts&searchword=%EC%8B%9C%EC%8A%A4%ED%85%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=56b8fc58-ec0e-430b-8a46-4d2c17f6d8a6,2024-12-06 21:29:50,서울 동작구,경력1년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
시스템 엔지니어,(주)더베스트페이,시스템 엔지니어(인프라),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486196&location=ts&searchword=%EC%8B%9C%EC%8A%A4%ED%85%9C+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=56b8fc58-ec0e-430b-8a46-4d2c17f6d8a6,2024-12-06 21:29:54,서울 강서구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
