search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
애널리스트,월급쟁이부자들(주),데이터 애널리스트 (인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49462240&location=ts&searchword=%EC%95%A0%EB%84%90%EB%A6%AC%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7ab80c61-6c0d-4bd8-8334-a94ea4d99851,2024-12-07 21:11:13,서울 서초구,경력무관,학력무관,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
애널리스트,(주)히포케이메논,[비트코인/가상화폐] 암호화폐 애널리스트 (기본급 250만원+@),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49320815&location=ts&searchword=%EC%95%A0%EB%84%90%EB%A6%AC%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7ab80c61-6c0d-4bd8-8334-a94ea4d99851,2024-12-07 21:11:18,서울 마포구,신입,학력무관,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
애널리스트,(주)트라이즈,[리프경제연구소] 주식리딩방 운영 애널리스트 채용 기본급 250,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49485046&location=ts&searchword=%EC%95%A0%EB%84%90%EB%A6%AC%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7ab80c61-6c0d-4bd8-8334-a94ea4d99851,2024-12-07 21:11:22,서울 영등포구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
애널리스트,아일럼인베스트,벤처투자사 애널리스트 인턴 (정규직 전환 조건),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474383&location=ts&searchword=%EC%95%A0%EB%84%90%EB%A6%AC%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7ab80c61-6c0d-4bd8-8334-a94ea4d99851,2024-12-07 21:11:27,서울 성동구,신입,대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
애널리스트,주식회사페블(PebbleInc.),[인턴] 디지털 자산/가상 자산 리서치 애널리스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525793&location=ts&searchword=%EC%95%A0%EB%84%90%EB%A6%AC%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7ab80c61-6c0d-4bd8-8334-a94ea4d99851,2024-12-07 21:11:31,부산 해운대구,신입,대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
애널리스트,(주)스케일업스쿼드,스타트업의 생태계를 바꿀 데이터 애널리스트/분석가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49420222&location=ts&searchword=%EC%95%A0%EB%84%90%EB%A6%AC%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7ab80c61-6c0d-4bd8-8334-a94ea4d99851,2024-12-07 21:11:35,서울 중구,경력 2~5년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
애널리스트,(주)크로스체크,[크로스체크] 운영실 애널리스트(금융 콘텐츠 원고 작성)  채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49328611&location=ts&searchword=%EC%95%A0%EB%84%90%EB%A6%AC%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7ab80c61-6c0d-4bd8-8334-a94ea4d99851,2024-12-07 21:11:39,서울 강남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
애널리스트,(주)엔터바이브,경제유튜브(25만/평균 시청 8만) 주식 전문가 & 애널리스트 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49412141&location=ts&searchword=%EC%95%A0%EB%84%90%EB%A6%AC%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7ab80c61-6c0d-4bd8-8334-a94ea4d99851,2024-12-07 21:11:42,서울 마포구,경력무관,학력무관,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
애널리스트,(주)아톰릭스랩,아톰릭스랩 블록체인 게임 애널리스트 인턴 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388477&location=ts&searchword=%EC%95%A0%EB%84%90%EB%A6%AC%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7ab80c61-6c0d-4bd8-8334-a94ea4d99851,2024-12-07 21:11:46,서울 강남구,신입,고졸↑,파트·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
애널리스트,인지컴퍼니,[비트코인/가상화폐] 암호화폐 애널리스트 유튜버모집(초보가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49177530&location=ts&searchword=%EC%95%A0%EB%84%90%EB%A6%AC%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=7ab80c61-6c0d-4bd8-8334-a94ea4d99851,2024-12-07 21:11:51,서울 성동구,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
