search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
약사,(주)한독,QC/CD/기술팀/제조약사/ IT보안담당/건강기능식품 마케팅 등 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527774&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:16,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,(주)제뉴원사이언스,제조/품질관리약사 모집(경력무관),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519572&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:21,세종특별자치시,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,(주)제노스,의약품제조팀(안전관리약사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49520688&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:25,경기 수원시 영통구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,대한약품공업(주),대한약품공업주식회사 약사 모집 (경기도 안산),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49503567&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:29,경기 안산시 단원구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,삼일제약,[삼일제약] PV약사 채용 (본사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518077&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:32,서울 서초구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,대구제이케이(JK)병원,12월 오픈예정 [대구제이케이(JK)병원] 16시간 약사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49491783&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:36,대구 수성구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,씨엠맘삼성병원,"병동약사님 , 약국보조선생님 구인",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49430982&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:40,광주 동구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,대웅바이오(주),[대웅바이오] 안성공장 제조/품질관리 약사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49505527&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:44,경기 안성시,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,(주)다산제약,관리약사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49376746&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:47,충남 아산시,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,한국프라임제약(주),한국프라임제약(주) 안전관리약사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472399&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:50,서울 영등포구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,충북대학교병원,2024년 12월 기간제근무자 모집 공고(야간전담약사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532774&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:54,충북 청주시 서원구,경력무관,학력무관,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,알보젠코리아(주),알보젠코리아주식회사 OPERATION QA Specialist 채용(약사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450782&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:29:58,경기 화성시,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,(주)스카우트,Generic 개발약사 or 의료기기 안전관리약사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525615&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:01,서울 강남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,(주)팜월드,의약품 창고 관리약사 모집합니다 (경력무관),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49295055&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:05,경기 의왕시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,(주)비앤씨코리아,약사모집(제조책임자) 유연근무,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49454015&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:10,충북 제천시,경력무관,학력무관,정규직·파트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,템프인(주),[재택/월200만/일1시간/약사]외국계기업(의약분야) 수입관리약사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49362902&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:14,서울 강남구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,템프인(주),[강남/~8000만/약사/정규직]외국계기업(의료장비) RA(팀장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49422502&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:18,서울 강남구,경력8년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,구포성심병원,[구포성심병원] 약제팀 약사 채용 (경력무관),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49480448&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:21,부산 북구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,의료법인 백세의료재단 백세요양병원,백세요양병원에서 약사님을 모십니다.(주16시간)보조있음,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463753&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:25,부산 수영구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,삼양화학공업(주),의약품 품질관리 상근약사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49407189&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:29,경남 양산시,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,(의)원전의료재단,대전 보니파시오병원 약사 모집공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527817&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:34,대전 대덕구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,한빛요양병원,한빛요양병원 약사 구인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530560&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:37,경남 진주시,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,(학)을지학원대전을지대학교병원,"대전을지대학교병원 약제부 야간,주말,주간전담 약사 모집공고",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536306&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:42,대전 서구,경력무관,초대졸↑,파트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,(의)현백의료재단사상고려병원,주16시간 근무 약사님 초빙합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526247&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:45,부산 사상구,경력무관,학력무관,정규직·파트,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,에스알한의원부설원외탕전소,[한약사] SR원외탕전실 정규직 약사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468482&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:50,경기 안성시,경력2년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,닥터파인드,대구 CS 약사 팀원급 매출 2조 우량 빅5제약사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512273&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:54,대구 수성구,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,(의)성은의료재단 연산요양병원,연산요양병원에서 약사님을 모십니다(배산역 6번출구),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521378&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:30:57,부산 연제구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,차의과학대학교부속 구미차병원,[구미차병원] 약제팀 주간/야간 약사 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527637&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:31:00,경북 구미시,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,소나무병원,[신설] 소나무병원 약사님 구인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500883&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:31:05,부산 사하구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
약사,행복한재활의학과의원,2024 행복한 H 병원 약제팀 약사님 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49349668&location=ts&searchword=%EC%95%BD%EC%82%AC&searchType=search&paid_fl=n&search_uuid=715a1b79-839a-4375-a83c-0e87fe513f3e,2024-12-07 19:31:09,대구 수성구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
