search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
영상편집자,(주)노블컴퍼니,2025 상반기 영상편집자 채용형인턴 (정규직전환가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540667&location=ts&searchword=%EC%98%81%EC%83%81%ED%8E%B8%EC%A7%91%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87689aab-22ff-44ca-b2b6-ae11d1569a0a,2024-12-07 05:31:40,서울 강동구,경력무관,고졸↑,계약직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영상편집자,엘바(ELBA),영상편집자 (사원급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49215419&location=ts&searchword=%EC%98%81%EC%83%81%ED%8E%B8%EC%A7%91%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87689aab-22ff-44ca-b2b6-ae11d1569a0a,2024-12-07 05:31:44,서울 마포구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영상편집자,(주)팝펀미디어,유튜브 '크보졸업생' 채널에서 영상편집자 모집 (야구 관련),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49166182&location=ts&searchword=%EC%98%81%EC%83%81%ED%8E%B8%EC%A7%91%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87689aab-22ff-44ca-b2b6-ae11d1569a0a,2024-12-07 05:31:47,서울 중구,경력1년↑,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영상편집자,(주)코랜,[재택] 영상편집자 채용 (촬영: 대구),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49367672&location=ts&searchword=%EC%98%81%EC%83%81%ED%8E%B8%EC%A7%91%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87689aab-22ff-44ca-b2b6-ae11d1569a0a,2024-12-07 05:31:50,대구 수성구,경력무관,학력무관,프리랜서,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영상편집자,(주)코랜,[영상편집] 유튜브 영상편집자 모집 (기획촬영편집),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49370467&location=ts&searchword=%EC%98%81%EC%83%81%ED%8E%B8%EC%A7%91%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87689aab-22ff-44ca-b2b6-ae11d1569a0a,2024-12-07 05:31:53,대구 수성구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영상편집자,(주)8체질몰,[영상편집] 영상편집자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49338547&location=ts&searchword=%EC%98%81%EC%83%81%ED%8E%B8%EC%A7%91%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87689aab-22ff-44ca-b2b6-ae11d1569a0a,2024-12-07 05:31:56,대구 남구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영상편집자,(주)엠제이코리아,[판교/중견게임사/환경上/복지上] 퍼즐게임 영상편집자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49412215&location=ts&searchword=%EC%98%81%EC%83%81%ED%8E%B8%EC%A7%91%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87689aab-22ff-44ca-b2b6-ae11d1569a0a,2024-12-07 05:32:01,경기 성남시 분당구,경력1년↑,초대졸↑,파견직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영상편집자,(주)엠제이코리아,[판교/환경上/복지上] 중견게임사 영상편집자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499251&location=ts&searchword=%EC%98%81%EC%83%81%ED%8E%B8%EC%A7%91%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87689aab-22ff-44ca-b2b6-ae11d1569a0a,2024-12-07 05:32:04,경기 성남시 분당구,경력1년↑,초대졸↑,파견직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영상편집자,(주)스탁플러스,"24년도 하반기 유튜브,인스타 [롱폼,숏폼] 영상편집자 공고",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49248767&location=ts&searchword=%EC%98%81%EC%83%81%ED%8E%B8%EC%A7%91%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87689aab-22ff-44ca-b2b6-ae11d1569a0a,2024-12-07 05:32:08,서울 구로구,경력,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
영상편집자,(주)컬러풀솔루션,[역삼오피스] 영상편집자 PD 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49370568&location=ts&searchword=%EC%98%81%EC%83%81%ED%8E%B8%EC%A7%91%EC%9E%90&searchType=search&paid_fl=n&search_uuid=87689aab-22ff-44ca-b2b6-ae11d1569a0a,2024-12-07 05:32:11,서울 강남구,신입·경력,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
