search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
의료기기,(주)미브레스,미용기기 및 의료기기 제품 개발 연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463223&location=ts&searchword=%EC%9D%98%EB%A3%8C%EA%B8%B0%EA%B8%B0&searchType=search&paid_fl=y&search_uuid=287e1fdb-5c55-4dfc-8a83-22e4eca79207,2024-12-07 19:37:22,경기 광명시,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
의료기기,디만트코리아(주),덴마크 의료기기 대표 기업 2024년 하반기 공개 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49453235&location=ts&searchword=%EC%9D%98%EB%A3%8C%EA%B8%B0%EA%B8%B0&searchType=search&paid_fl=n&search_uuid=287e1fdb-5c55-4dfc-8a83-22e4eca79207,2024-12-07 19:37:26,서울 중구,신입·경력,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
의료기기,(주)제일메디칼코퍼레이션,[제일메디칼] 의료기기 각 부문별 사원모집 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528429&location=ts&searchword=%EC%9D%98%EB%A3%8C%EA%B8%B0%EA%B8%B0&searchType=search&paid_fl=n&search_uuid=287e1fdb-5c55-4dfc-8a83-22e4eca79207,2024-12-07 19:37:30,서울 구로구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
의료기기,정림의료기산업(주),의료기기 생산 (자동화 조립기 운영) 관리자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49509978&location=ts&searchword=%EC%9D%98%EB%A3%8C%EA%B8%B0%EA%B8%B0&searchType=search&paid_fl=n&search_uuid=287e1fdb-5c55-4dfc-8a83-22e4eca79207,2024-12-07 19:37:34,충북 진천군,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
의료기기,(주)푸르고바이오로직스,바이오/의료기기 생산직 정규직 채용[경력],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492639&location=ts&searchword=%EC%9D%98%EB%A3%8C%EA%B8%B0%EA%B8%B0&searchType=search&paid_fl=n&search_uuid=287e1fdb-5c55-4dfc-8a83-22e4eca79207,2024-12-07 19:37:37,경기 성남시 중원구,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
의료기기,신한메디칼(주),의료기기 생산관리 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519042&location=ts&searchword=%EC%9D%98%EB%A3%8C%EA%B8%B0%EA%B8%B0&searchType=search&paid_fl=n&search_uuid=287e1fdb-5c55-4dfc-8a83-22e4eca79207,2024-12-07 19:37:41,서울 성동구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
의료기기,디에이치엘서플라이체인코리아(주),"[DHL-장지]  물류관리직 (0명, 의료기기)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521909&location=ts&searchword=%EC%9D%98%EB%A3%8C%EA%B8%B0%EA%B8%B0&searchType=search&paid_fl=n&search_uuid=287e1fdb-5c55-4dfc-8a83-22e4eca79207,2024-12-07 19:37:44,서울 송파구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
의료기기,(주)현대바이오랜드,현대바이오랜드 의료기기 품질관리 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49464605&location=ts&searchword=%EC%9D%98%EB%A3%8C%EA%B8%B0%EA%B8%B0&searchType=search&paid_fl=n&search_uuid=287e1fdb-5c55-4dfc-8a83-22e4eca79207,2024-12-07 19:37:48,충북 청주시 청원구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
의료기기,(주)덴티스,(주)덴티스 의료기기 출하 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532321&location=ts&searchword=%EC%9D%98%EB%A3%8C%EA%B8%B0%EA%B8%B0&searchType=search&paid_fl=n&search_uuid=287e1fdb-5c55-4dfc-8a83-22e4eca79207,2024-12-07 19:37:53,대구 동구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
의료기기,청화메디파워(주),의료기기 품질관리(사무직) 담당자 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518960&location=ts&searchword=%EC%9D%98%EB%A3%8C%EA%B8%B0%EA%B8%B0&searchType=search&paid_fl=n&search_uuid=287e1fdb-5c55-4dfc-8a83-22e4eca79207,2024-12-07 19:37:56,전남 장성군,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
