search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
이러닝,(주)맑은소프트,웹개발/솔루션개발/이러닝시스템개발 신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499388&location=ts&searchword=%EC%9D%B4%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=0d35bc18-ef00-42f0-ac5a-6d531b24de77,2024-12-07 22:31:06,서울 구로구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
이러닝,(주)맑은소프트,이러닝시스템 웹퍼블리셔 신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499455&location=ts&searchword=%EC%9D%B4%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=0d35bc18-ef00-42f0-ac5a-6d531b24de77,2024-12-07 22:31:11,서울 구로구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
이러닝,(주)퍼플아카데미,영어교육 이러닝 학습 콘텐츠 연구개발 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527739&location=ts&searchword=%EC%9D%B4%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=0d35bc18-ef00-42f0-ac5a-6d531b24de77,2024-12-07 22:31:14,서울 양천구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
이러닝,(주)에스테이트,[이러닝] 에스테이트 콘텐츠팀 정규직 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49240205&location=ts&searchword=%EC%9D%B4%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=0d35bc18-ef00-42f0-ac5a-6d531b24de77,2024-12-07 22:31:18,서울 강서구,경력 1~10년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
이러닝,위너넷평생교육원,"이러닝 교육콘텐츠 영상제작 및 편집, 촬영 담당자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516770&location=ts&searchword=%EC%9D%B4%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=0d35bc18-ef00-42f0-ac5a-6d531b24de77,2024-12-07 22:31:23,서울 서초구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
이러닝,(주)큐피플,교육 이러닝 콘텐츠 기획팀,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465327&location=ts&searchword=%EC%9D%B4%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=0d35bc18-ef00-42f0-ac5a-6d531b24de77,2024-12-07 22:31:27,서울 금천구,경력무관,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
이러닝,(주)플립온코리아,[플립온코리아]교육용(이러닝) 콘텐츠 디자이너 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540310&location=ts&searchword=%EC%9D%B4%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=0d35bc18-ef00-42f0-ac5a-6d531b24de77,2024-12-07 22:31:31,서울 영등포구,경력 1~9년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
이러닝,(주)엑스퍼트컨설팅,[원격교육]이러닝 과정관리 및 운영담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49510300&location=ts&searchword=%EC%9D%B4%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=0d35bc18-ef00-42f0-ac5a-6d531b24de77,2024-12-07 22:31:33,서울 송파구,경력무관,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
이러닝,(주)티비씨,TBC 온라인(이러닝)교육 운영담당 신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49327795&location=ts&searchword=%EC%9D%B4%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=0d35bc18-ef00-42f0-ac5a-6d531b24de77,2024-12-07 22:31:38,대구 수성구,신입·경력,초대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
이러닝,(주)에듀넷,"[에듀넷] 이러닝 교육운영/ 행정(B2B, B2C) 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49287208&location=ts&searchword=%EC%9D%B4%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=0d35bc18-ef00-42f0-ac5a-6d531b24de77,2024-12-07 22:31:40,경기 안양시 동안구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
