search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
인사담당자,씨에스쉐어링(주),[마곡 본사] 인사담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49353888&location=ts&searchword=%EC%9D%B8%EC%82%AC%EB%8B%B4%EB%8B%B9%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0497eb44-5c9b-41ab-be1b-e4ec4b41c95a,2024-12-06 22:01:34,서울 강서구,경력 1~5년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
인사담당자,(주)휴넷,[휴넷/ 주 4일] 인사담당자 [정규직/신입],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488428&location=ts&searchword=%EC%9D%B8%EC%82%AC%EB%8B%B4%EB%8B%B9%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0497eb44-5c9b-41ab-be1b-e4ec4b41c95a,2024-12-06 22:01:37,서울 구로구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
인사담당자,(주)그린바이오,(주)그린바이오 인사담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49533150&location=ts&searchword=%EC%9D%B8%EC%82%AC%EB%8B%B4%EB%8B%B9%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0497eb44-5c9b-41ab-be1b-e4ec4b41c95a,2024-12-06 22:01:41,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
인사담당자,(주)에코인슈텍,"(주)에코인슈텍 본사 총무,인사담당자(HR) 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541004&location=ts&searchword=%EC%9D%B8%EC%82%AC%EB%8B%B4%EB%8B%B9%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0497eb44-5c9b-41ab-be1b-e4ec4b41c95a,2024-12-06 22:01:45,경남 양산시,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
인사담당자,(주)발렉스특수물류,[여의도/팬택계열] 발렉스특수물류 경영지원팀 인사담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508953&location=ts&searchword=%EC%9D%B8%EC%82%AC%EB%8B%B4%EB%8B%B9%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0497eb44-5c9b-41ab-be1b-e4ec4b41c95a,2024-12-06 22:01:48,서울 영등포구,신입·경력,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
인사담당자,에스넷시스템(주),"인사담당자 (경력 10년 이상, 15년 이하) 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49418680&location=ts&searchword=%EC%9D%B8%EC%82%AC%EB%8B%B4%EB%8B%B9%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0497eb44-5c9b-41ab-be1b-e4ec4b41c95a,2024-12-06 22:01:51,서울 강남구,경력 10~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
인사담당자,(주)맨파워그룹코리아,[LG AI연구원/마곡/자체계약직] 인사담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49505947&location=ts&searchword=%EC%9D%B8%EC%82%AC%EB%8B%B4%EB%8B%B9%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0497eb44-5c9b-41ab-be1b-e4ec4b41c95a,2024-12-06 22:01:54,서울 강서구,경력2년↑,고졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
인사담당자,(주)밸로프,(주)밸로프 인사팀 인사담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49228259&location=ts&searchword=%EC%9D%B8%EC%82%AC%EB%8B%B4%EB%8B%B9%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0497eb44-5c9b-41ab-be1b-e4ec4b41c95a,2024-12-06 22:01:58,서울 금천구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
인사담당자,(주)SG글로벌,SG글로벌 인사담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474434&location=ts&searchword=%EC%9D%B8%EC%82%AC%EB%8B%B4%EB%8B%B9%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0497eb44-5c9b-41ab-be1b-e4ec4b41c95a,2024-12-06 22:02:02,경기 성남시 분당구,경력 1~5년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
인사담당자,(주)스위트스팟,[인사담당자] HRM 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49452563&location=ts&searchword=%EC%9D%B8%EC%82%AC%EB%8B%B4%EB%8B%B9%EC%9E%90&searchType=search&paid_fl=n&search_uuid=0497eb44-5c9b-41ab-be1b-e4ec4b41c95a,2024-12-06 22:02:06,서울 성동구,경력 3~10년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
