search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
임상연구,(주)비보존제약,"부문별 신입/경력 공개채용(마케팅/생산,품질관리/임상연구개발)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411662&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:05:48,경기 화성시,신입·경력,고졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,바이오스펙트럼(주),"㈜더마클 피부임상연구센터 인재초빙/ 피부임상연구원/QA/영업(신분당선,초역세권,강남에서 22분)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49493013&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:05:52,경기 용인시,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,삼성서울병원,임상시험센터 계약직 임상연구직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543950&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:05:56,서울 강남구,경력무관,초대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(주)샤페론,임상연구소 부서원 - 경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526706&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:05:59,서울 강남구,경력 7~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(주)대웅제약,[대웅] 2024 하반기 전문연구요원 모집 (CPL-임상연구),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49400657&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:02,서울 강남구,경력무관,석사↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(주)미래컴퍼니,[미래컴퍼니/서울] 헬스케어(의료기기) - 임상연구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49371059&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:06,서울 송파구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,의료법인 우리의료재단,임상연구팀 CRC 임상병리사 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497266&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:10,경기 김포시,경력 1~1년,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,잠보소프트,동물복제 임상연구원 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541089&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:15,서울 금천구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,KSRC (H&BIO),KSRC 한국피부임상연구센터 건강기능식품 연구원 채용(사세확장),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49224925&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:17,경기 성남시 분당구,경력 5~8년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(주)레모넥스,[레모넥스] 임상연구원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502829&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:22,서울 서초구,경력2년↑,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(의)석경의료재단,센트럴종합병원 임상연구센터 CRC/QA/IRB/연구 행정 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478909&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:26,경기 시흥시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(주)뉴트라코어,[건강기능식품] 임상개발팀 임상연구원(CRA) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524134&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:29,경기 수원시 영통구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,라해의원,[줄기세포연구소] 임상연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49264457&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:32,서울 강남구,경력무관,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,국립암센터,국립암센터 박사/박사 후 연구원 (기초-중개-임상연구),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489777&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:36,경기 고양시 일산동구,경력,박사,기간제·무기계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(주)케이씨피부임상연구센터,(주)케이씨피부임상연구센터 관리팀 신입 및 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49376476&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:39,서울 영등포구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(주)메쥬,[원주] MEZOO 임상연구원(연구간호사/임상병리사) 정규직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49211821&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:42,강원 원주시,경력1년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(의)사과나무의료재단,사과나무의료재단 의생명연구소 임상연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49407810&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:45,경기 고양시 일산서구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(주)글로벌표준인증원,[글로벌표준인증원] 안티에이징랩 임상연구원 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49462154&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:47,서울 금천구,경력,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,잠보소프트,[동물복제 임상연구원] 임상시험 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529409&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:52,서울 금천구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,주식회사베리브레인,임상연구사업을 위한 project 팀원 채용공고(계약직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49429730&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:06:56,서울 서대문구,경력무관,대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(의)석경의료재단,센트럴종합병원 임상연구센터(신체검사 담당자)모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467010&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:00,경기 시흥시,경력무관,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,딥카디오(주),딥카디오와 함께할 임상연구보조요원 간호사(RN)를 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390886&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:03,인천 연수구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,대한소아혈액종양학회,CRA(임상연구원) 정규직 채용(경력사원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495447&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:07,서울 송파구,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,한국피부과학연구원(주),[가산디지털단지] 임상연구소 고객관리 담당자 채용 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49440393&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:10,서울 금천구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,시너지파트너즈(주),의료기기 임상연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481863&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:15,서울 서초구,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(주)에어스,의료기기 임상연구자 경력자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49273733&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:19,대구 북구,경력 2~10년,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,팜커넥팅,[바이오제약사] 중개연구/임상연구(팀장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49480586&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:22,서울 성동구,경력5년↑,석사↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(의)인화재단한국병원,임상연구 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508656&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:26,충북 청주시 상당구,경력 3~3년,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,(주)핀커스코리아,[화장품 피부임상연구소] 영업 컨설턴트 경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489263&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:30,서울 강남구,경력5년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,더헌터스앤컴퍼니(주),외국계 화장품 분석서비스 및 임상연구지원 (수도권 영업),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530402&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:34,서울 강남구,경력 1~10년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,한국피부과학연구원(주),화장품 피부임상시험 연구원 채용 (신입/경력) [가산디지털단지],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504560&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:37,서울 금천구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
임상연구,부민병원,"부민병원(서울) 임상시험센터 연구간호사, 병리사, 행정직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537140&location=ts&searchword=%EC%9E%84%EC%83%81%EC%97%B0%EA%B5%AC&searchType=search&paid_fl=n&search_uuid=d9da9ff1-d28f-4034-8531-48d6437e1ffe,2024-12-07 19:07:41,서울 강서구,경력무관,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
