search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
자산운용,(주)이앤에프어드바이저,[신입/경력] 자산운용전략 컨설턴트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49187206&location=ts&searchword=%EC%9E%90%EC%82%B0%EC%9A%B4%EC%9A%A9&searchType=search&paid_fl=n&search_uuid=03637c05-00cc-451c-8f90-55789a9090aa,2024-12-07 20:55:43,서울 영등포구,경력무관,석사↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자산운용,(주)에이치티디앤씨,[경력] ㈜HTD&C 부동산 자산운용 인재 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49240355&location=ts&searchword=%EC%9E%90%EC%82%B0%EC%9A%B4%EC%9A%A9&searchType=search&paid_fl=n&search_uuid=03637c05-00cc-451c-8f90-55789a9090aa,2024-12-07 20:55:47,서울 강남구,경력 5~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자산운용,(주)토마토투자자문,[토마토투자자문] 자산운용본부 대체투자팀 신입·경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49334952&location=ts&searchword=%EC%9E%90%EC%82%B0%EC%9A%B4%EC%9A%A9&searchType=search&paid_fl=n&search_uuid=03637c05-00cc-451c-8f90-55789a9090aa,2024-12-07 20:55:51,서울 마포구,신입·경력,대졸↑,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자산운용,브레인자산운용(주),[브레인자산운용] 주식운용 및 리서치 신입/경력직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518865&location=ts&searchword=%EC%9E%90%EC%82%B0%EC%9A%B4%EC%9A%A9&searchType=search&paid_fl=n&search_uuid=03637c05-00cc-451c-8f90-55789a9090aa,2024-12-07 20:55:55,서울 영등포구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자산운용,알파자산운용(주),[알파자산운용] PE본부 인턴 채용(~채용 시까지),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49176724&location=ts&searchword=%EC%9E%90%EC%82%B0%EC%9A%B4%EC%9A%A9&searchType=search&paid_fl=n&search_uuid=03637c05-00cc-451c-8f90-55789a9090aa,2024-12-07 20:55:59,서울 영등포구,신입,대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자산운용,크라운락자산운용(주),자산운용사 운용지원(오퍼레이션) 직무 경력무관 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49446679&location=ts&searchword=%EC%9E%90%EC%82%B0%EC%9A%B4%EC%9A%A9&searchType=search&paid_fl=n&search_uuid=03637c05-00cc-451c-8f90-55789a9090aa,2024-12-07 20:56:03,서울 종로구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자산운용,(주)얼터너티브투자자문자산운용,부동산 공인중개사 채용 (투자자산운용사 우대),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49514660&location=ts&searchword=%EC%9E%90%EC%82%B0%EC%9A%B4%EC%9A%A9&searchType=search&paid_fl=n&search_uuid=03637c05-00cc-451c-8f90-55789a9090aa,2024-12-07 20:56:06,서울 강남구,경력무관,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자산운용,에이플랜자산운용주식회사,"에이플랜자산운용 부동산금융,공모주펀드 운용 백업 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49505718&location=ts&searchword=%EC%9E%90%EC%82%B0%EC%9A%B4%EC%9A%A9&searchType=search&paid_fl=n&search_uuid=03637c05-00cc-451c-8f90-55789a9090aa,2024-12-07 20:56:09,서울 강남구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자산운용,주식회사 지니어스,[국내중견IT기업] 자산운용/투자심사팀 Staff (신입~3년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499648&location=ts&searchword=%EC%9E%90%EC%82%B0%EC%9A%B4%EC%9A%A9&searchType=search&paid_fl=n&search_uuid=03637c05-00cc-451c-8f90-55789a9090aa,2024-12-07 20:56:11,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자산운용,주식회사 지니어스,자산운용 투자 담당 사원 대리급- 그룹 지주사1,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49513866&location=ts&searchword=%EC%9E%90%EC%82%B0%EC%9A%B4%EC%9A%A9&searchType=search&paid_fl=n&search_uuid=03637c05-00cc-451c-8f90-55789a9090aa,2024-12-07 20:56:15,서울 강남구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
