search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
자재관리,(주)에이맨,자재관리/구매자재/엔지니어/사무보조(중국인) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49436923&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:36:46,경기 안산시 단원구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,국림피엔텍(주),자재관리 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492084&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:36:49,경남 양산시,경력2년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,(주)티에이치엔,[(주)티에이치엔] 자재관리팀 신입/경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49381783&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:36:53,대구 달서구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,인더스트리얼테크놀로지앤서비스코리아(주),자재관리팀 Inventory Controller 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517879&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:36:57,부산 기장군,경력 2~10년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,(주)져스텍,구매/자재관리 담당자 모집공고(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529725&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:01,경기 평택시,경력 4~12년,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,녹차원,(금산) 식품공장 자재관리 및  입출고 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535014&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:06,충남 금산군,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,(주)오라컴,오라컴 제조혁신본부 / 자재관리 정규직(신입) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49419122&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:10,경기 평택시,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,(주)햇빛일루콤,[정규직:울산] 생산관리/자재관리 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502704&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:15,울산 북구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,(주)굿스굿,한화이글스 야구배트보관함 제작 '제조 및 자재관리 직원모집',https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507032&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:18,충남 계룡시,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,한국공장(주),[마산자유무역지역 / 외국계법인] 구매/자재관리 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516898&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:22,경남 창원시,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,삼보오토텍(주),자재관리팀 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49463138&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:25,대구 달서구,경력3년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,(주)네스트,[관리팀] 자재관리 사무직 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504217&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:30,울산 북구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,(주)모토닉,(주)모토닉 신입 사원 채용 공고-자재관리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49509327&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:33,대구 달서구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,모두랩,구매 / 자재관리 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49514428&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:37,경기 화성시,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,(주)동광솔루션,생산관리(자재관리)/품질보증/생산기술(설비보전)/생산(현장)관리(PRESS) 신입/경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524509&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:41,경남 양산시,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,오토텍,ERP 구매 자재관리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543338&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:44,경남 창원시,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
자재관리,피피에이치알,상여금300% 코스닥기업 [인천공장/화성공장] [SMT-수삽조립.입출고관리.자재관리.오퍼레이터] 대규모 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496081&location=ts&searchword=%EC%9E%90%EC%9E%AC%EA%B4%80%EB%A6%AC&searchType=search&paid_fl=n&search_uuid=ca6b8866-867b-4df6-bbad-59ac27334e6c,2024-12-07 14:37:48,경기 화성시,신입·경력,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
