search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
재무분석,(재)그린피스,재무분석가(Finance Analyst) 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534905&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:09:52,서울 용산구,경력5년↑,대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)커리어케어,중견 제조기업 전략기획실 재무분석 담당,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504009&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:09:56,경기 화성시,경력 10~20년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)피플케어코리아,M&A/재무분석 (회계사) - 2차전지 상장사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468987&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:09:59,충남 천안시 동남구,경력 8~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)스마일게이트홀딩스,[스마일게이트 홀딩스][재무] 데이터 분석 담당 (인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492761&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:02,경기 성남시 분당구,신입,학력무관,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)한국스탠다드차타드은행,[기간제] SC제일은행 재무기획분석부 지불 업무 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488208&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:06,서울 종로구,경력무관,대졸↑,기간제·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,주식회사 지니어스,재무 투자 손익분석 fp&a 부장 이사급- 그룹 계열사1,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523345&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:10,서울 강남구,경력10년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)베스트에치알 (Best HR),바이오 연료회사 재무관리 - 세무회계/자금/경영분석,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542749&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:15,서울 마포구,경력 3~8년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)유창금속,재무팀 원가/회계 관리담당 채용(원가-손익분석),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49328164&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:18,경기 안산시 단원구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)스카우트,외국계 기내식제조공급사 재무기획 분석(FP&A) Analyst,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495440&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:21,서울 강남구,경력 4~6년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)케이비앤파트너즈,PEF설립 지주사 재무회계 및 경영분석,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49545718&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:25,서울 용산구,경력 3~8년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)백그라운드,/글로벌 생활가전 외국계 기업/ 재무기획&분석,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501260&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:30,서울 서초구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,용마로지스(주),"[동아쏘시오그룹사] 2024년 11월, 각 부문별 신입 및 경력 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49473410&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:33,경기 김포시,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,다이닝브랜즈그룹(주),2024 다이닝브랜즈그룹 대졸 신입사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49448095&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:36,서울 송파구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,한국이콜랩(유),[외국계 화학] 각 부문 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49453909&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:39,서울 송파구,신입·경력,고졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)에스앤아이코퍼레이션,"[S&I] 시설/시공관리(기계,전기,소방), 기술영업, 회계, 행정 정규직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486642&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:43,서울 강서구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,동국제약(주),동국제약 신입/경력 채용(헬스케어/건식/개발/영업/마케팅/관리) ~ 12/8,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495520&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:46,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,메리츠화재해상보험(주),2024년 메리츠화재 하반기 각 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525317&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:50,서울전체,신입·경력,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)현진스포텍,[현진스포텍] 각 부문별 경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527379&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:53,서울 영등포구,경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)한양정밀,본사 각 사업부 임원 및 사무직 직원 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517978&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:56,경기 김포시,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,오스템임플란트(주),2024년 하반기 각 분야 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543442&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:10:59,전국,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)아모텍,㈜아모텍 2024년 하반기 신입/경력 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49331811&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:11:02,서울 서초구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)아이센스,㈜아이센스 2024년 신입/경력 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475890&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:11:06,서울 서초구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
재무분석,(주)동구바이오제약,동구바이오제약 부문별 수시채용 모집(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475432&location=ts&searchword=%EC%9E%AC%EB%AC%B4%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=1f570737-9148-4533-bb04-49aab9e5db94,2024-12-07 20:11:10,서울 송파구,경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
