search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
전기설계,산일전기(주),변압기 전기설계 신입/경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539524&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:41:57,경기 안산시 단원구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,아이솔라에너지(주),아이솔라에너지(주) 설계팀 전기설계분야 경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486695&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:00,서울 마포구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)하나기연,[전기설계] 전기 설계 담당자 채용 공고(경력&신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49385783&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:03,서울 강남구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)유일컨설턴트,전기설계 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542103&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:07,서울 금천구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,신한전설(주),전기설계 캐드원 모집(CAD),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468128&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:10,서울 영등포구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)씨엔에이치엔지니어링,씨엔에이치엔지니어링 전기설계 및 자격증 소지자 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49158030&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:14,서울 금천구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)기광엔지니어링,"전기설계(전기, 통신), 소방설비설계(전기) 신입사원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543560&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:17,서울 구로구,신입,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)기광엔지니어링,"전기설계(전기, 통신), 소방설비설계(전기) 경력사원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543574&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:21,서울 구로구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)아이투에스엔지니어링,플랜트 전기설계 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471522&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:24,서울 금천구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)대광엔지니어링,전기설계. 통신설계. 소방설계. CAD. 신입및경력 사원을 모집함,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498343&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:28,서울 영등포구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)갭텍,대기환경플랜트(플랜트전기/전기설계外 1개 부문) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49510397&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:31,경기 수원시 권선구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)삼대전기,"전기설계, 전기기사, 전기 정규직 모집(신입, 경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49245056&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:34,경기 김포시,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,한화첨단소재(주),[한화첨단소재] 음성사업장 공무팀(전기설계) 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49437301&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:37,충북 음성군,경력3년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)에이디티,자동화설비 전기설계 전장설계 경력자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49370797&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:41,경기 안산시 단원구,경력 3~15년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)한영넉스,생산기술 자동화 장비  PLC / JIG전기설계  엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49395197&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:45,인천 미추홀구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)한성시스코,(주)한성시스코 전기설계팀 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495922&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:49,대전 유성구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,신일전기(주),신일전기(주) 전기설계 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49531931&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:52,경남 김해시,경력 1~5년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)수양엔지니어링,건축전기설계(cad) 신입 및 경력 채용 - 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49469710&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:42:56,서울 강남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,상진기술엔지니어링,2024년도 상진기술엔지니어링(주) 전기설계 신입/경력 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49383867&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:43:00,서울 금천구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)유환,"설계 CAD [전기설계,태양광] 경력/신입 정규직 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534396&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:43:04,부산 기장군,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)인성씨앤아이,[PLC 전기설계 시운전] 전기제어 신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49252267&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:43:07,부산 강서구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)지케이이엔지,설계1본부 통신설계/소방설계/전기설계 경력직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535882&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:43:11,서울 성동구,경력 3~10년,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)예다종합설계감리사무소,전기설계 경력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49308608&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:43:15,서울 영등포구,경력1년↑,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,㈜럭스코,(주)럭스코 산업용(육상) 배전반 전기설계 담당 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432774&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:43:18,울산 북구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전기설계,(주)신한티이씨,[전기설계] 2025년도 건축전기설계 분야 경력직원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49515437&location=ts&searchword=%EC%A0%84%EA%B8%B0%EC%84%A4%EA%B3%84&searchType=search&paid_fl=n&search_uuid=96c59650-2687-45d7-a1f1-921eae5d4cb7,2024-12-07 18:43:22,서울 금천구,경력5년↑,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
