search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
전략기획,(주)플랜닥스,전략기획 부문 경력직 채용 [IT 플랫폼 플랜닥스],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526011&location=ts&searchword=%EC%A0%84%EB%9E%B5%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=y&search_uuid=208ca3ae-55c0-44d9-9641-224b45f45e69,2024-12-06 23:02:25,서울 송파구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략기획,(주)바이오포트코리아,전략기획 중간관리자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506236&location=ts&searchword=%EC%A0%84%EB%9E%B5%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=208ca3ae-55c0-44d9-9641-224b45f45e69,2024-12-06 23:02:29,서울 송파구,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략기획,풍림무약,[풍림무약] 기업가치실(전략기획) 채용의 건(신입~5년 이내),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486006&location=ts&searchword=%EC%A0%84%EB%9E%B5%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=208ca3ae-55c0-44d9-9641-224b45f45e69,2024-12-06 23:02:34,서울 중구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략기획,(주)더비엔아이,서울 전략기획 컨설턴트 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49353192&location=ts&searchword=%EC%A0%84%EB%9E%B5%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=208ca3ae-55c0-44d9-9641-224b45f45e69,2024-12-06 23:02:37,서울 강남구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략기획,(주)위드혜윰,전략기획 컨설턴트 신입 및 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49455232&location=ts&searchword=%EC%A0%84%EB%9E%B5%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=208ca3ae-55c0-44d9-9641-224b45f45e69,2024-12-06 23:02:40,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략기획,(주)에스제이에셋파트너스,전략기획실 경력 직원모집 [경력자/정규직],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512764&location=ts&searchword=%EC%A0%84%EB%9E%B5%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=208ca3ae-55c0-44d9-9641-224b45f45e69,2024-12-06 23:02:44,서울 강남구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략기획,(주)제이앤컴퍼니,(주)제이앤컴퍼니 전략기획팀 직원 채용(총무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492330&location=ts&searchword=%EC%A0%84%EB%9E%B5%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=208ca3ae-55c0-44d9-9641-224b45f45e69,2024-12-06 23:02:47,부산 금정구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략기획,(주)스타에이치알,신입환영/신도림역사건물/전략기획실사무직채용/소속전환기회,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49531825&location=ts&searchword=%EC%A0%84%EB%9E%B5%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=208ca3ae-55c0-44d9-9641-224b45f45e69,2024-12-06 23:02:51,서울 구로구,경력무관,고졸↑,파견직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략기획,(주)흥국에프엔비,(주)흥국에프엔비  전략기획팀 영업관리 사원모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532401&location=ts&searchword=%EC%A0%84%EB%9E%B5%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=208ca3ae-55c0-44d9-9641-224b45f45e69,2024-12-06 23:02:55,서울 강남구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략기획,(주)윤성에프앤씨,전략기획 (경력) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49376328&location=ts&searchword=%EC%A0%84%EB%9E%B5%EA%B8%B0%ED%9A%8D&searchType=search&paid_fl=n&search_uuid=208ca3ae-55c0-44d9-9641-224b45f45e69,2024-12-06 23:02:59,서울 강남구,경력 8~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
