search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
전략컨설팅,(주)젠스타메이트,"(주)젠스타메이트 매입매각(CM), 전략컨설팅 경력직 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518199&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:30:22,서울 중구,경력,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)사람인에이치에스,[서울/스타트업/정규직] 전략컨설팅 관리매니저 채용(신입가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468002&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:30:26,서울 종로구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,엘에스지파트너즈(주),운영전략컨설팅펌 컨설턴트 2~8년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471829&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:30:30,서울 강남구,경력 2~8년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)커리어앤유,전략컨설팅 / 3년이상 / 국내대기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499452&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:30:34,경기 성남시 분당구,경력 3~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)커리어앤유,[EPC/에너지 대기업] 전략컨설팅/3년이상(대리과장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544838&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:30:38,경기 성남시 분당구,경력 3~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,베스트네트워크㈜,20. 유명 전략컨설팅펌 PPT디자이너,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539807&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:30:41,서울 강남구,경력 1~3년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,엘리오앤컴퍼니,2024년도 12월 ELIO 경력직 전략컨설턴트 모집(컨설팅 펌 등),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49514830&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:30:44,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)지알케이파트너스,[인턴] 디지털 헬스케어 전략/기획 컨설팅 인턴 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486156&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:30:47,서울 용산구,경력무관,초대졸↑,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)테크란,"기술(IP,지식재산권) 사업화전략 및 컨설팅직원 채용 이공계우대",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396257&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:30:52,서울 강남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,전체와부분(주),"[직접입력] 전략경영 및 IT, 조직 컨설팅 부문 직원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49417031&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:30:56,세종특별자치시,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)이언컨설팅,ESG 경영전략 및 지속가능경영 컨설팅 연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49182026&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:30:59,서울 강남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,HR컨설팅(주),제조 대기업 지주사 전략기획 인하우스컨설팅 임원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49538070&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:03,서울 강서구,경력20년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,엘에스지파트너즈(주),글로벌 경영컨설팅펌 운영전략 컨설팅,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396814&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:07,서울 중구,경력 6~20년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)피플케어코리아,금융DT전략 컨설팅,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537995&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:11,서울 강남구,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,토니서치,(그룹지주사) 전략기획/인하우스컨설팅 과장~부장급 급구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49479653&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:15,서울 강남구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)풀림,그룹사 전기전장회사 전략기획 담당 (과-부장급)-컨설팅펌 출신,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524816&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:18,서울 강서구,경력9년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,인드림홀딩스,전략 기획. 컨설팅 (중견 그룹 지주사 / 차장 ~ 부장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49456002&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:20,서울 강서구,경력 12~20년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)피플케어코리아,"HR 전략 컨설팅 (공공, 대학/교육 섹터)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499823&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:25,서울 강남구,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)케이맨파워,[글로벌 그룹사] 산업 전략 컨설팅 리더 (PL) - 경력 7년이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524263&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:29,서울 강남구,경력7년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)맨토스파워,[대기업/물류회사] 전략기획 경력직(신사업기획/컨설팅경험우대),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49449099&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:32,서울 마포구,경력 3~12년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(사)한국개발전략연구소,한국개발전략연구소(KDS) 개발컨설팅본부 코트디부아르 PAO 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542008&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:37,서울 강남구,경력무관,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)에이치알그룹,"경영전략실장(이사) - 컨설팅사 경력,기업전략업무 수행 경험,외",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49456534&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:39,서울 서초구,경력 10~13년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)엔엠에스컨설팅,SCM 전략 담당(대형가전마트사: 전략기획/컨설팅펌 출신 우대),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500450&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:44,서울 송파구,경력4년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,에이치알브로스,[대기업] 전략 컨설팅 (경력 3년 이상) 분당,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49513682&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:48,경기 성남시 분당구,경력 3~9년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)레페리,[브랜드컨설팅Team] 마케팅 전략기획 AE / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526717&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:53,서울 강남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)에이치알그룹,[국내유명 헬스케어 컨설팅사] 전략 컨설턴트(경력직) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530125&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:31:57,서울 서초구,경력2년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,삼매봉개발(주),[삼매봉개발 주식회사] 컨설팅 및 전략 기획 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49266161&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:01,제주 서귀포시,경력,학력무관,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,엘에스지파트너즈(주),그룹사 인하우스 컨설팅펌 전략컨설턴트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396793&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:05,서울 송파구,경력 6~20년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,제이앤피에이치알컨설팅,"[SW개발, SI, IT컨설팅] 최고 전략 책임자",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49453484&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:09,경기 용인시 수지구,경력9년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,굿커리어,"외국계컨설팅 브랜드전략,전략기획 대리,과장급 구함(굿커리어)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49479285&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:12,서울 강남구,경력 2~12년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,에이치알포유(주),[외투법인] 컨설팅펌 경영전략 컨설턴트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49505119&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:16,서울 강남구,경력 5~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)유니코써치,[국내컨설팅사] 경영전략팀장/경력7-10년내외,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471618&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:19,서울 강남구,경력 7~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,굿커리어,"외국계 컨설팅사 브랜드 전략 대리,과장",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49459102&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:22,서울 강남구,경력 4~11년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)지엔,IoT 보안 컨설팅 전략 수립 총괄 PM 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49522675&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:26,서울 금천구,경력7년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,몽키컨설팅,"몽키컴퍼니 몽키컨설팅 전략기획팀 직원모집 (휴대폰, 이동통신)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49480703&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:28,부산 부산진구,경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)피플케어코리아,Digital Strategy Consulting,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49469240&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:32,서울 강남구,경력1년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,용마로지스(주),"[동아쏘시오그룹사] 2024년 11월, 각 부문별 신입 및 경력 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49473410&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:35,경기 김포시,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,다이닝브랜즈그룹(주),2024 다이닝브랜즈그룹 대졸 신입사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49448095&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:40,서울 송파구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,현대종합금속(주),신입 / 경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49148389&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:44,서울 강남구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,메리츠화재해상보험(주),2024년 메리츠화재 하반기 각 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525317&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=e3875c11-192a-4161-a246-85766f33ed53,2024-12-07 23:32:47,서울전체,신입·경력,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)다우기술,다우기술 경력사원 대규모 인재영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488843&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=7dd07cdf-d553-42ec-8978-cf71b9f5647b,2024-12-07 23:33:06,경기 성남시 분당구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,한국쓰리엠(주),[3M] 한국쓰리엠 신입/경력사원 모집 안내,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48900369&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=7dd07cdf-d553-42ec-8978-cf71b9f5647b,2024-12-07 23:33:09,서울 영등포구,신입·경력,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,에이치엘만도(주),"[HL만도] 2024년 12월 경력 수시채용(판교, 평택, 미국법인)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526962&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=7dd07cdf-d553-42ec-8978-cf71b9f5647b,2024-12-07 23:33:12,경기 평택시,경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,한국이콜랩(유),[외국계 화학] 각 부문 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49453909&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=7dd07cdf-d553-42ec-8978-cf71b9f5647b,2024-12-07 23:33:15,서울 송파구,신입·경력,고졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)시아스,(주)시아스 신입 및 경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496495&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=7dd07cdf-d553-42ec-8978-cf71b9f5647b,2024-12-07 23:33:19,서울 송파구,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
전략컨설팅,(주)현진스포텍,[현진스포텍] 각 부문별 경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527379&location=ts&searchword=%EC%A0%84%EB%9E%B5%EC%BB%A8%EC%84%A4%ED%8C%85&searchType=search&paid_fl=n&search_uuid=7dd07cdf-d553-42ec-8978-cf71b9f5647b,2024-12-07 23:33:23,서울 영등포구,경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
