search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
제약,동국제약(주),동국제약 신입/경력 채용(헬스케어/건식/개발/영업/마케팅/관리) ~ 12/8,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495520&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:53:55,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)동구바이오제약,동구바이오제약 부문별 수시채용 모집(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475432&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:53:58,서울 송파구,경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,신일제약(주),신일제약㈜ 2024년 하반기 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517733&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:01,서울 동대문구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)비씨월드제약,㈜비씨월드제약 / 비씨월드헬스케어 2024년 4분기 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542027&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:04,경기 여주시,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)동구바이오제약,"[동구바이오제약] 생산,공장 부문 수시채용(신입/경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475542&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:08,경기 화성시,신입·경력,학력무관,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,명문제약(주),"명문제약 품질관리팀, 품질보증팀 인재모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49538098&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:12,경기 화성시,경력1년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,동국제약(주),"동국제약 신입/경력 채용(연구소, 생산본부) ~ 12/8",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49493667&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:15,경기 수원시,신입·경력,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,동아제약(주),[동아제약] 브랜드&패키지 디자인 부문 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49538353&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:20,서울 동대문구,경력 6~10년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)유영제약,[유영제약] 품질보증팀 (QA) Data Integrity(DI) 파트 담당자 모,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49376729&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:24,충북 진천군,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)유영제약,[유영제약] 제조팀 포장실 정규직 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49530543&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:27,충북 진천군,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,대우제약(주),대우제약(주) 생산부 무균제제팀에서 직원을 모집합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492489&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:30,부산 사하구,신입,고졸↑,정규직·기간제,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,대우제약(주),대우제약(주) 생산부 주야간 교대근무 직원을 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49513948&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:34,부산 사하구,신입,고졸↑,정규직·기간제,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)파마킹,(주)파마킹 제약영업 정규직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49482896&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:38,경기 성남시,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,삼진제약(주),삼진제약 부문별 상시 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49346942&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:41,서울 강서구,경력,초대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)대웅제약,[대웅제약] 생산부문 완제포장/이물검사 채용(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468121&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:44,경기 화성시,신입·경력,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)대웅제약,[대웅제약] 11월 1차 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483600&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:48,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)대웅제약,[대웅제약] 글로벌 부문 제품기획/개발 관리 경력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529162&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:51,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,하나제약(주),하나제약(주) 서울사무소 BD팀 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507750&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:54,서울 강남구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,오스틴제약(주),안산 제약 생산팀 정규직 모집(생산/연고/제조/성별무관),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49392232&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:54:59,경기 안산시 단원구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)넥스팜코리아,제약회사 생산직 직원모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49520698&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:55:03,충북 청주시 흥덕구,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,㈜유유제약,㈜유유제약 인사실(복지/시설/총무) 신입/경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521929&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:55:07,서울 중구,신입·경력,대졸↑,정규직·인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,삼천당제약(주),삼천당제약(주) 생산부문 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49422222&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:55:10,경기 화성시,경력무관,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)셀비온,[셀비온] 제약회사 생산본부 신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49295628&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:55:13,서울 종로구,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)한국글로벌제약,[한국글로벌제약] 의약품 제조업 생산관리팀 팀원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49511990&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:55:17,충남 서천군,경력 1~5년,고졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,(주)화이트생명과학,[화이트생명과학] 제약 품질관리/품질보증 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409895&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:55:21,경기 화성시,경력1년↑,대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
제약,하이플생명과학(주),제약회사 품질관리팀 신입 및 경력 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49196093&location=ts&searchword=%EC%A0%9C%EC%95%BD&searchType=search&paid_fl=n&search_uuid=c818fea2-a079-4ea2-8159-5253359175b4,2024-12-07 19:55:25,경기 시흥시,신입·경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
