search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
컨설턴트,(주)이노플러스컴퍼니,정부 정책/ 전략기획 컨설턴트 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512583&location=ts&searchword=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=y&search_uuid=75d6028e-edf8-457a-80d7-f88ce319a655,2024-12-07 23:22:11,서울 영등포구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
컨설턴트,(주)더비엔아이,서울 전략기획 컨설턴트 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49353192&location=ts&searchword=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=75d6028e-edf8-457a-80d7-f88ce319a655,2024-12-07 23:22:15,서울 강남구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
컨설턴트,(주)엔디렉션,[탄소중립/순환경제 관련]신입 환경컨설턴트 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523186&location=ts&searchword=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=75d6028e-edf8-457a-80d7-f88ce319a655,2024-12-07 23:22:19,서울 강남구,신입,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
컨설턴트,주식회사 컬러가산다동교동센터,"중국어, 영어, 일본어 사용이 가능한 퍼스널컬러 컨설턴트 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49485837&location=ts&searchword=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=75d6028e-edf8-457a-80d7-f88ce319a655,2024-12-07 23:22:22,서울 마포구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
컨설턴트,스터디코드네트웍스 유한회사,[재택] 온라인 교육 컨설턴트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483405&location=ts&searchword=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=75d6028e-edf8-457a-80d7-f88ce319a655,2024-12-07 23:22:26,서울 서초구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
컨설턴트,플랜엠,기업사회공헌분야 (CSR) 컨설턴트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483424&location=ts&searchword=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=75d6028e-edf8-457a-80d7-f88ce319a655,2024-12-07 23:22:31,서울 종로구,경력 3~7년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
컨설턴트,딜로이트컨설팅(유),[딜로이트 컨설팅] 24년 하반기 각 부문별 컨설턴트 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499188&location=ts&searchword=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=75d6028e-edf8-457a-80d7-f88ce319a655,2024-12-07 23:22:34,서울 영등포구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
컨설턴트,(사)한국능률협회,ESG컨설팅 / 컨설턴트 채용(재택근무/성과급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49389478&location=ts&searchword=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=75d6028e-edf8-457a-80d7-f88ce319a655,2024-12-07 23:22:39,서울 영등포구,경력3년↑,대졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
컨설턴트,(주)날리지웍스,"기술경영(과학기술정책, 기술전략 등) 컨설턴트 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49378274&location=ts&searchword=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=75d6028e-edf8-457a-80d7-f88ce319a655,2024-12-07 23:22:41,서울 강남구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
컨설턴트,(주)사람인에이치에스,[상장사/외국계] 소셜리스닝 데이터 분석 컨설턴트 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49510241&location=ts&searchword=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=75d6028e-edf8-457a-80d7-f88ce319a655,2024-12-07 23:22:45,서울 강남구,경력2년↑,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
