search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
콘텐츠 마케터,(주)람스타일컴퍼니,"[대표가직접쓴공고] CS, CX / 콘텐츠 마케터 / 상품기획소싱",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49263633&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0+%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=47f2af32-6fed-4852-b4fa-1f988761209f,2024-12-07 01:10:38,서울 송파구,신입·경력,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠 마케터,(주)라이프위드코퍼레이션,[피캄] 뷰티/화장품 콘텐츠 마케터 전환형 인턴 (3개월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49327435&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0+%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=47f2af32-6fed-4852-b4fa-1f988761209f,2024-12-07 01:10:41,서울 구로구,경력무관,학력무관,인턴직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠 마케터,(주)필로메디,[필로메디] 콘텐츠 마케터를 찾습니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49191600&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0+%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=47f2af32-6fed-4852-b4fa-1f988761209f,2024-12-07 01:10:46,서울 양천구,신입·경력,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠 마케터,드림스코리아(주),콘텐츠 마케터/콘텐츠 디자이너/MD 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49479632&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0+%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=47f2af32-6fed-4852-b4fa-1f988761209f,2024-12-07 01:10:50,서울 서초구,경력,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠 마케터,비상식적마케팅,비상식적마케팅 주5일 병원 콘텐츠 마케터 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537765&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0+%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=47f2af32-6fed-4852-b4fa-1f988761209f,2024-12-07 01:10:53,울산 중구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠 마케터,(주)테크랩스,브랜드 콘텐츠 마케터 (브랜드엑셀러레이팅사업부),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49410902&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0+%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=47f2af32-6fed-4852-b4fa-1f988761209f,2024-12-07 01:10:57,서울 강남구,경력 1~15년,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠 마케터,(주)알텐코리아,[ALTEN Korea] 콘텐츠 마케터,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541523&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0+%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=47f2af32-6fed-4852-b4fa-1f988761209f,2024-12-07 01:11:00,인천 연수구,경력무관,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠 마케터,넥스큐브코퍼레이션(주),[넥스큐브코퍼레이션] 콘텐츠 마케터(대리) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537435&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0+%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=47f2af32-6fed-4852-b4fa-1f988761209f,2024-12-07 01:11:03,서울 금천구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠 마케터,레드브릭스,[콘텐츠 마케터 채용] SNS 콘텐츠 기획 온라인마케팅 / 브랜드,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523137&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0+%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=47f2af32-6fed-4852-b4fa-1f988761209f,2024-12-07 01:11:08,서울 금천구,경력 2~5년,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠 마케터,(주)스마트인피니,[신입] 스마트인피니 콘텐츠 마케터  & 여행을떠나는이유 에디터,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49426744&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0+%EB%A7%88%EC%BC%80%ED%84%B0&searchType=search&paid_fl=n&search_uuid=47f2af32-6fed-4852-b4fa-1f988761209f,2024-12-07 01:11:11,서울 강남구,신입,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
