search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,benefits,location_detail,salary,deadline
콘텐츠기획자,(주)동행기획,광고마케팅 콘텐츠기획자 AE 경력 - 작가출신 우대,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49359571&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=53319317-6ef2-40ca-97b1-dacd0f6c2246,2024-12-07 05:07:24,서울 강서구,경력 1~3년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠기획자,(주)하카코리아,[하카코리아] 마케팅팀 전략기획자 / 콘텐츠기획자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506745&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=53319317-6ef2-40ca-97b1-dacd0f6c2246,2024-12-07 05:07:28,부산 해운대구,경력무관,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠기획자,(주)레드버튼,[레드버튼] 콘텐츠기획자(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487409&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=53319317-6ef2-40ca-97b1-dacd0f6c2246,2024-12-07 05:07:31,경기 안양시 동안구,경력 2~10년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠기획자,(주)아이비알,[IBR 논현] 콘텐츠기획자 / 퍼포먼스마케터(경력) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490940&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=53319317-6ef2-40ca-97b1-dacd0f6c2246,2024-12-07 05:07:34,서울 강남구,경력무관,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠기획자,한국온라인광고연구소,마케팅 콘텐츠기획자 / 마케팅 전략가  본부기획자 / 경력직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49195817&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=53319317-6ef2-40ca-97b1-dacd0f6c2246,2024-12-07 05:07:37,경기 군포시,경력무관,고졸↑,계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠기획자,(주)비알랩,[(주)비알랩] 서비스/콘텐츠 기획자 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49249837&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=53319317-6ef2-40ca-97b1-dacd0f6c2246,2024-12-07 05:07:40,서울 강남구,경력3년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠기획자,(주)디스트릭트코리아,[디스트릭트] 광고/미디어아트 콘텐츠 기획자(영상기획),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49374762&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=53319317-6ef2-40ca-97b1-dacd0f6c2246,2024-12-07 05:07:43,서울 강남구,경력 3~7년,초대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠기획자,(주)디스트릭트코리아,[디스트릭트] 미디어 아트 콘텐츠 & 전시 기획자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497526&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=53319317-6ef2-40ca-97b1-dacd0f6c2246,2024-12-07 05:07:47,서울 강남구,경력 2~7년,학력무관,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠기획자,(주)안그라픽스,콘텐츠사업부 기획자 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49288261&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=53319317-6ef2-40ca-97b1-dacd0f6c2246,2024-12-07 05:07:52,서울 마포구,경력5년↑,대졸↑,정규직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
콘텐츠기획자,(주) 무아스,[무아스] 제품 상세페이지 스토리 보드/콘텐츠 기획자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526751&location=ts&searchword=%EC%BD%98%ED%85%90%EC%B8%A0%EA%B8%B0%ED%9A%8D%EC%9E%90&searchType=search&paid_fl=n&search_uuid=53319317-6ef2-40ca-97b1-dacd0f6c2246,2024-12-07 05:07:55,서울 송파구,경력 1~3년,초대졸↑,정규직·계약직,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],,,
